condId	desc	type	minValue	maxValue	timesLimit
条件ID	条件描述	比较类型 	值下限	值上限	领奖次数限制
1000	活动时间内累计充值100元	1	1000		-1
999	首次充值任意金额	1	1		1
1002	活动时间内累计充值100元	1	1000		-1
1001	首次充值任意金额	1	1		-1
1004	活动时间内累计充值88元	1	880		1
1003	首次充值任意金额	1	1		-1
1005	活动时间内累计充值50元	1	500		-1
1006	活动时间内累计充值200元	1	2000		-1
1007	活动时间内累计充值1000元	1	10000		-1
1012	活动期间内，累计消费100元宝。	1	100		-1
1013	活动期间内，累计消费1000元宝。	1	1000		-1
1014	活动期间内，累计消费2000元宝。	1	2000		-1
1015	活动期间内，累计充值10元。	1	100		-1
1016	活动期间内，累计充值100元。	1	1000		-1
1017	活动期间内，累计充值200元。	1	2000		-1
1018	活动期间内，累计消费100元宝。	1	100		-1
1019	活动期间内，累计消费1000元宝。	1	1000		-1
1020	活动期间内，累计消费2000元宝。	1	2000		-1
1021	活动期间内，累计消费5000元宝。	1	5000		-1
1022	活动期间内，累计充值10元。	1	100		-1
1023	活动期间内，累计充值100元。	1	1000		-1
1024	活动期间内，累计充值200元。	1	2000		-1
1025	活动期间内，累计充值500元。	1	5000		-1
1026	活动期间内，累计充值100元。	1	1000		-1
1027	活动期间内，累计充值500元。	1	5000		-1
1028	活动期间内，累计充值1000元。	1	10000		-1
1029	活动期间内，累计充值2000元。	1	20000		-1
1033	活动期间内，累计消费100元宝。	1	100		-1
1034	活动期间内，累计消费500元宝。	1	500		-1
1035	活动期间内，累计消费1000元宝。	1	1000		-1
1036	活动期间内，累计消费2000元。	1	2000		-1
1037	活动期间内，累计充值100元。	1	1000		-1
1038	活动期间内，累计充值300元。	1	3000		-1
1039	活动期间内，累计充值500元。	1	5000		-1
1040	活动期间内，累计充值1000元。	1	10000		-1
1041	活动期间内，累计充值2000元。	1	20000		-1
1044	活动期间内，累计充值1000元宝。	1	1000		-1
1045	活动期间内，累计充值5000元宝。	1	5000		-1
1046	活动期间内，累计充值10000元宝。	1	10000		-1
1047	活动期间内，累计充值20000元宝。	1	20000		-1
1048	活动期间内，每日充值10元	1	100		-1
1049	活动期间内，每日充值50元	1	500		-1
1050	活动期间内，每日充值100元	1	1000		-1
1051	活动期间内，每日充值500元	1	5000		-1
1052	活动期间内，每日充值任意金额	1	1		-1
1053	活动期间内，累计消费10000元宝。	1	10000		-1
1054	活动期间内，每日充值1000元	1	10000		-1
					
1055	活动期间内，首次单笔充值10元	1	100		-1
1056	活动期间内，首次单笔充值100元	1	1000		-1
					
					
					
					
1064	活动期间内，每日充值任意金额	1	1		-1
					
1065	活动期间内，累计充值20元。	1	200		-1
1066	活动期间内，累计充值50元。	1	500		-1
1067	活动期间内，累计充值100元。	1	1000		-1
1068	活动期间内，累计充值200元。	1	2000		-1
					
1069	活动期间，神兽达到二阶喵大刀	5	12	22	1
1070	活动期间，神兽达到三阶孙小空	5	23	33	1
1071	活动期间，神兽达到四阶熊大仙	5	34	44	1
1072	活动期间，神兽达到五阶龙在天	5	45	55	1
1073	活动期间，神兽达到六阶地狱魔	5	56	66	1
					
1074	活动期间内，每日充值任意金额	1	1		-1
					
1075	活动期间内，每单笔充值50元（每日可领取10次）	5	500	500	10
1076	活动期间内，每单笔充值100元（每日可领取10次）	5	1000	1000	10
1077	活动期间内，每单笔充值200元（每日可领取10次）	5	2000	2000	10
1078	活动期间内，每单笔充值500元（每日可领取10次）	5	5000	5000	10
					
1079	活动期间，坐骑转生到达万象虎	5	12	22	1
1080	活动期间，坐骑转生到达紫金兽	5	23	33	1
1081	活动期间，坐骑转生到达应龙	5	34	44	1
1082	活动期间，坐骑转生到达兔灵	5	45	55	1
1083	活动期间，坐骑转生到达猫仙	5	56	66	1
					
1084	活动期间内，每日充值任意金额	1	1		-1
					
1085	活动期间内，累计充值50元。	1	500		-1
1086	活动期间内，累计充值100元。	1	1000		-1
1087	活动期间内，累计充值200元。	1	2000		-1
1088	活动期间内，累计充值500元。	1	5000		-1
1089	活动期间内，累计充值1000元。	1	10000		-1
					
1090	活动期间内，每日充值任意金额	1	1		-1
					
1091	连续1天充值100元	1	1000		1
1092	连续2天充值100元	1	1000		1
1093	连续3天充值100元	1	1000		1
1094	连续1天充值500元	1	5000		1
1095	连续2天充值500元	1	5000		1
1096	连续3天充值500元	1	5000		1
1097	连续1天充值1000元	1	10000		1
1098	连续2天充值1000元	1	10000		1
1099	连续3天充值1000元	1	10000		1
					
1100	活动期间，法宝内丹到达4颗2品	7	2	4	1
1101	活动期间，法宝内丹到达8颗2品	7	2	8	1
1102	活动期间，法宝内丹到达4颗3品	7	3	4	1
1103	活动期间，法宝内丹到达8颗3品	7	3	8	1
1104	活动期间，法宝内丹到达4颗4品	7	4	4	1
1105	活动期间，法宝内丹到达8颗4品	7	4	8	1
					
					
1106	活动期间内，累计充值10元。	1	100		-1
1107	活动期间内，累计充值50元。	1	500		-1
1108	活动期间内，累计充值100元。	1	1000		-1
					
1109	活动期间内，累计消费100元。	1	1000		-1
1110	活动期间内，累计消费500元。	1	5000		-1
1111	活动期间内，累计消费1000元。	1	10000		-1
					
1112	活动期间内，时装到达5件蓝色品质	7	3	5	1
1113	活动期间内，时装到达10件蓝色品质	7	3	10	1
1114	活动期间内，时装到达5件紫色品质	7	4	5	1
1115	活动期间内，时装到达10件紫色品质	7	4	10	1
1116	活动期间内，时装到达5件橙色品质	7	5	5	1
1117	活动期间内，时装到达10件橙色品质	7	5	10	1
					
1118	活动期间内，每日充值任意金额	1	1		-1
					
1119	活动期间内，累计充值50元。	1	500		-1
1120	活动期间内，累计充值100元。	1	1000		-1
1121	活动期间内，累计充值200元。	1	2000		-1
1122	活动期间内，累计充值500元。	1	5000		-1
1123	活动期间内，累计充值1000元。	1	10000		-1
					
1124	活动期间，神兽达到三阶孙小空	5	23	33	1
1125	活动期间，神兽达到四阶熊大仙	5	34	44	1
1126	活动期间，神兽达到五阶龙在天	5	45	55	1
1127	活动期间，神兽达到六阶地狱魔	5	56	66	1
1128	活动期间，神兽达到七阶美猴王	5	67	77	1
1129	活动期间，神兽达到八阶霸王兽	5	78	78	1
					
1130	活动期间内，每日充值任意金额	1	1		-1
					
1131	活动期间内，每单笔充值50元（每日可领取10次）	5	500	500	10
1132	活动期间内，每单笔充值100元（每日可领取10次）	5	1000	1000	10
1133	活动期间内，每单笔充值200元（每日可领取10次）	5	2000	2000	10
1134	活动期间内，每单笔充值500元（每日可领取10次）	5	5000	5000	10
1135	活动期间内，每单笔充值1000元（每日可领取10次）	5	10000	10000	10
					
1136	活动期间，坐骑转生到达紫金兽	5	23	33	1
1137	活动期间，坐骑转生到达应龙	5	34	44	1
1138	活动期间，坐骑转生到达兔灵	5	45	55	1
1139	活动期间，坐骑转生到达猫仙	5	56	66	1
1140	活动期间，坐骑转生到达鬼车	5	67	77	1
