rewardId	bindMoney	goldMoney	goldValueType	silverMoney	goods1	num1	bind1	goods2	num2	bind2	goods3	num3	bind3	goods4	num4	bind4	goods5	num5	bind5	goods6	num6	bind6
奖励ID	绑金	金条	金条值类型	游戏币	物品1ID	物品1数量	物品1绑定	物品2ID	物品2数量	物品2绑定	物品3ID	物品3数量	物品3绑定	物品4ID	物品4数量	物品4绑定	物品5ID	物品5数量	物品5绑定	物品6ID	物品6数量	物品6绑定
1000	0	0		0	9217	1	1															
999	0	0		0	9232	1	1															
1002	0	0		0	9217	1	1															
1001	0	0		0	9232	1	1															
1004	0	0		0	9217	1	1															
1003	0	0		0	9232	1	1															
1005	0	0		0	9243	1	1															
1006	0	0		0	9244	1	1															
1007	0	0		0	9245	1	1															
1012	0	0		0	9259	1	1															
1013	0	0		0	9260	1	1															
1014	0	0		0	9261	1	1															
1015	0	0		0	9262	1	1															
1016	0	0		0	9263	1	1															
1017	0	0		0	9264	1	1															
1018	0	0		0	9265	1	1															
1019	0	0		0	9266	1	1															
1020	0	0		0	9267	1	1															
1021	0	0		0	9268	1	1															
1022	0	0		0	9269	1	1															
1023	0	0		0	9270	1	1															
1024	0	0		0	9271	1	1															
1025	0	0		0	9272	1	1															
1026	0	100		0																		
1027	0	750		0																		
1028	0	2000		0																		
1029	0	5000		0																		
1033	0	0		0	72006	20	1	72008	10	1												
1034	0	0		0	72008	60	1	72007	30	1												
1035	0	0		0	72006	100	1	72008	80	1	72007	60	1									
1036	0	0		0	72006	180	1	72008	160	1	72007	100	1									
1037	0	0		0	9277	2	1	73960	2	1												
1038	0	0		0	9277	8	1	73960	8	1												
1039	0	0		0	9277	12	1	73960	12	1												
1040	0	0		0	9277	25	1	73960	25	1												
1041	0	0		0	9277	45	1	73960	45	1												
1044	0	50		0	71033	1	1															
1045	0	500		0	71034	1	1															
1046	0	1500		0	71040	1	1															
1047	0	4000		0	71040	2	1															
1048	0	0		0	9016	20	1	6920414	1	1	71001	10	1	71073	10	1	72004	5	1	71007	5	1
1049	0	0		0	6920455	1	1	9172	2	1	71001	10	1	71073	10	1	2002	2	1	70012	5	1
1050	0	0		0	9417	1	1															
1051	0	0		0	9171	2	1															
1052	0	0		0	9171	4	1															
1053	0	0		0	9149	3	1															
1054	0	0		0	9423	1	1															
1055	0	50		0																		
1056	0	80		0																		
1057	0	120		0																		
1058	0	1000		0																		
1059	0	1500		0																		
1060	0	0		0	9418	1	1															
1061	0	0		0	9419	1	1															
1062	0	0		0	9420	1	1															
1063	0	0		0	9421	1	1															
1064	0	0		0	9422	1	1															
																						
																						
																						
																						
1070	0	0		0	70031	10	1	70041	10	1	70001	20	1									
																						
1071	0	0		0	70031	10	1	70001	10	1												
1072	0	0		0	70031	20	1	70001	20	1												
1073	0	0		0	70031	25	1	70001	30	1												
1074	0	0		0	70031	30	1	70001	50	1												
																						
1075	0	0		0	70031	5	1															
1076	0	0		0	70031	10	1															
1077	0	0		0	70031	20	1															
1078	0	0		0	70031	50	1															
1079	0	0		0	70031	100	1															
																						
1080	0	0		0	70061	10	1	70051	10	1	9016	10	1									
																						
1081	0	0		0	70061	10	1	70051	10	1												
1082	0	0		0	70061	15	1	70051	15	1												
1083	0	0		0	70061	20	1	70051	20	1												
1084	0	0		0	70061	30	1	70051	30	1												
																						
1085	0	0		0	70051	5	1															
1086	0	0		0	70051	10	1															
1087	0	0		0	70051	20	1															
1088	0	0		0	70051	50	1															
1089	0	0		0	70051	100	1															
																						
1090	0	0		0	9172	1	1	71002	5	1												
																						
1091	0	0		0	72006	10	1															
1092	0	0		0	72008	10	1															
1093	0	0		0	72006	10	1	72008	10	1												
1094	0	0		0	72006	10	1	72008	10	1	72007	10	1									
1095	0	0		0	72006	20	1	72008	20	1	72007	20	1									
																						
1096	0	0		0	9213	1	1	20010	10	1	20021	10	1	20004	2	1						
																						
1097	0	0		0	9212	2	1	73962	5	1	20010	2	1									
1098	0	0		0	9212	2	1	73962	10	1	20010	3	1									
1099	0	0		0	9212	3	1	73962	15	1	20010	5	1									
1100	0	0		0	9213	2	1	73962	10	1	20010	5	1									
1101	0	0		0	9213	3	1	73962	15	1	20010	8	1									
1102	0	0		0	9213	5	1	73962	20	1	20010	10	1									
1103	0	0		0	9213	4	1	73962	15	1	20010	10	1									
1104	0	0		0	9213	4	1	73962	20	1	20010	15	1									
1105	0	0		0	9213	8	1	73962	25	1	20010	20	1									
																						
1106	0	0		0	20010	3	1	73962	5	1												
1107	0	0		0	20010	5	1	73962	10	1												
1108	0	0		0	20010	5	1	73962	10	1												
1109	0	0		0	20010	10	1	73962	15	1												
1110	0	0		0	20010	10	1	73962	15	1												
1111	0	0		0	20010	20	1	73962	20	1												
																						
																						
1112	0	0		0	9277	1	1	73960	1	1	9170	3	1	73961	1	1						
1113	0	0		0	9277	1	1	73960	1	1	9171	1	1	73961	1	1						
1114	0	0		0	9277	1	1	73960	1	1	73978	1	1	73961	1	1						
																						
1115	0	0		0	9277	1	1	73960	1	1	73978	1	1	73961	1	1						
1116	0	0		0	9277	5	1	73960	5	1	73978	3	1	73961	1	1						
1117	0	0		0	9277	10	1	73960	10	1	73978	5	1	73961	1	1						
																						
1118	0	0		0	9277	1	1															
1119	0	0		0	9277	3	1															
1120	0	0		0	9277	5	1															
1121	0	0		0	9277	8	1															
1122	0	0		0	9277	10	1															
1123	0	0		0	9277	15	1															
																						
1124	0	0		0	9016	10	1	71002	5	1	71003	5	1									
																						
1125	0	0		0	70041	5	1	70001	20	1												
1126	0	0		0	70041	10	1	70002	20	1												
1127	0	0		0	70041	15	1	70002	30	1												
