等级	经验	2次均分	游戏币	等级	经验	名次下限	名次上限	奖励
25	45700	2771	5541	25	45700	1	1	3
26	45700	3079	6157	30	65300	2	2	2
27	45700	3421	6841	35	82500	3	3	2
28	45700	3801	7601	40	110000	4	10	1
29	45700	4223	8446	45	120000	11	15	1
30	65300	4692	9384	50	216000	16	20	1
31	65300	5112	10224	55	432000	21	25	1
32	65300	5532	11064	60	561600	26	30	1
33	65300	5952	11904	65	730100	31	35	1
34	65300	6372	12744	70	949100	36	40	1
35	82500	6048	12096	75	1233800	41	45	1
36	82500	6468	12936			46	1000	1
37	82500	6888	13776					
38	82500	7308	14616					
39	82500	7728	15456					
40	110000	7145	14290					
41	110000	7745	15490					
42	110000	8345	16690					
43	110000	8945	17890					
44	110000	9545	19090					
45	120000	8957	17914					
46	120000	9377	18754					
47	120000	9797	19594					
48	120000	10217	20434					
49	120000	10637	21274					
50	216000	10652	21304					
51	216000	11072	22144					
52	216000	11492	22984					
53	216000	11912	23824					
54	216000	12332	24664					
55	432000	12510	25020					
56	432000	12750	25500					
57	432000	12990	25980					
58	432000	13230	26460					
59	432000	13470	26940					
60	561600	13856	27712					
61	561600	14156	28312					
62	561600	14456	28912					
63	561600	14756	29512					
64	561600	15056	30112					
65	730100	17054	34108					
66	730100	17354	34708					
67	730100	17654	35308					
68	730100	17954	35908					
69	730100	18254	36508					
70	949100	22251	44502					
71	949100	22551	45102					
72	949100	22851	45702					
73	949100	23151	46302					
74	949100	23451	46902					
75	1233800	23001	46002					
76	1233800	23301	46602					
77	1233800	23601	47202					
78	1233800	23901	47802					
79	1233800	24501	49002					
80	1233800	18781	37562					
