activeId	roleLevel	minIndex	maxIndex	rewardId
活动ID	等级等级	名次下限	名次上限	奖励ID
7	25	1	1	2501
7	25	2	2	2502
7	25	3	3	2503
7	25	4	10	2504
7	25	11	15	2511
7	25	16	20	2516
7	25	21	25	2521
7	25	26	30	2526
7	25	31	35	2531
7	25	36	40	2536
7	25	41	45	2541
7	25	46	1000	2546
7	26	1	1	2601
7	26	2	2	2602
7	26	3	3	2603
7	26	4	10	2604
7	26	11	15	2611
7	26	16	20	2616
7	26	21	25	2621
7	26	26	30	2626
7	26	31	35	2631
7	26	36	40	2636
7	26	41	45	2641
7	26	46	1000	2646
7	27	1	1	2701
7	27	2	2	2702
7	27	3	3	2703
7	27	4	10	2704
7	27	11	15	2711
7	27	16	20	2716
7	27	21	25	2721
7	27	26	30	2726
7	27	31	35	2731
7	27	36	40	2736
7	27	41	45	2741
7	27	46	1000	2746
7	28	1	1	2801
7	28	2	2	2802
7	28	3	3	2803
7	28	4	10	2804
7	28	11	15	2811
7	28	16	20	2816
7	28	21	25	2821
7	28	26	30	2826
7	28	31	35	2831
7	28	36	40	2836
7	28	41	45	2841
7	28	46	1000	2846
7	29	1	1	2901
7	29	2	2	2902
7	29	3	3	2903
7	29	4	10	2904
7	29	11	15	2911
7	29	16	20	2916
7	29	21	25	2921
7	29	26	30	2926
7	29	31	35	2931
7	29	36	40	2936
7	29	41	45	2941
7	29	46	1000	2946
7	30	1	1	3001
7	30	2	2	3002
7	30	3	3	3003
7	30	4	10	3004
7	30	11	15	3011
7	30	16	20	3016
7	30	21	25	3021
7	30	26	30	3026
7	30	31	35	3031
7	30	36	40	3036
7	30	41	45	3041
7	30	46	1000	3046
7	31	1	1	3101
7	31	2	2	3102
7	31	3	3	3103
7	31	4	10	3104
7	31	11	15	3111
7	31	16	20	3116
7	31	21	25	3121
7	31	26	30	3126
7	31	31	35	3131
7	31	36	40	3136
7	31	41	45	3141
7	31	46	1000	3146
7	32	1	1	3201
7	32	2	2	3202
7	32	3	3	3203
7	32	4	10	3204
7	32	11	15	3211
7	32	16	20	3216
7	32	21	25	3221
7	32	26	30	3226
7	32	31	35	3231
7	32	36	40	3236
7	32	41	45	3241
7	32	46	1000	3246
7	33	1	1	3301
7	33	2	2	3302
7	33	3	3	3303
7	33	4	10	3304
7	33	11	15	3311
7	33	16	20	3316
7	33	21	25	3321
7	33	26	30	3326
7	33	31	35	3331
7	33	36	40	3336
7	33	41	45	3341
7	33	46	1000	3346
7	34	1	1	3401
7	34	2	2	3402
7	34	3	3	3403
7	34	4	10	3404
7	34	11	15	3411
7	34	16	20	3416
7	34	21	25	3421
7	34	26	30	3426
7	34	31	35	3431
7	34	36	40	3436
7	34	41	45	3441
7	34	46	1000	3446
7	35	1	1	3501
7	35	2	2	3502
7	35	3	3	3503
7	35	4	10	3504
7	35	11	15	3511
7	35	16	20	3516
7	35	21	25	3521
7	35	26	30	3526
7	35	31	35	3531
7	35	36	40	3536
7	35	41	45	3541
7	35	46	1000	3546
7	36	1	1	3601
7	36	2	2	3602
7	36	3	3	3603
7	36	4	10	3604
7	36	11	15	3611
7	36	16	20	3616
7	36	21	25	3621
7	36	26	30	3626
7	36	31	35	3631
7	36	36	40	3636
7	36	41	45	3641
7	36	46	1000	3646
7	37	1	1	3701
7	37	2	2	3702
7	37	3	3	3703
7	37	4	10	3704
7	37	11	15	3711
7	37	16	20	3716
7	37	21	25	3721
7	37	26	30	3726
7	37	31	35	3731
7	37	36	40	3736
7	37	41	45	3741
7	37	46	1000	3746
7	38	1	1	3801
7	38	2	2	3802
7	38	3	3	3803
7	38	4	10	3804
7	38	11	15	3811
7	38	16	20	3816
7	38	21	25	3821
