bossHp	bindAddRate	moneyAddRate	expAddRate
BOSS剩余血量百分比(上限)	绑金加成	金钱加成	经验加成
100			0
99			0
98			0
97			0
96			0
95			0
94			0
93			0
92			0
91			0
90			0
89			0
88			0
87			0
86			0
85			0
84			0
83			0
82			0
81			0
80			0
79			0
78			0
77			0
76			0
75			0
74			0
73			0
72			0
71			0
70			0
69			0
68			0
67			0
66			0
65			0
64			0
63			0
62			0
61			0
60			0
59			0
58			0
57			0
56			0
55			0
54			0
53			0
52			0
51			0
50			1
49			1
48			1
47			1
46			1
45			1
44			1
43			1
42			1
41			1
40			1
39			1
38			1
37			1
36			1
35			1
34			1
33			1
32			1
31			1
30			1
29			1
28			1
27			1
26			1
25			1
24			1
23			1
22			1
21			1
20			1
19			1
18			1
17			1
16			1
15			1
14			1
13			1
12			1
11			1
10			1
9			1
8			1
7			1
6			1
5			1
4			1
3			1
2			1
1			1
