mapId	minLevel	maxLevel	bindGold	silverMoney	exp	goodsId1	num1	bind1	goodsId2	num2	bind2	goodsId3	num3	bind3
地图ID	最小等级	最大等级	绑金	银币	经验	物品id	数量	绑定类型	物品id	数量	绑定类型	物品id	数量	绑定类型
01_GWGC_a	25	29			0	72001	1	1				70031	1	1
01_GWGC_a	30	34			0	72001	2	1				70031	2	1
01_GWGC_a	35	39			0	72001	3	1				70031	3	1
01_GWGC_a	40	44			0	72001	4	1				70031	4	1
01_GWGC_a	45	49			0	72001	5	1				70031	5	1
01_GWGC_a	50	54			0	72001	6	1	9398	1	1	70031	6	1
01_GWGC_a	55	59			0	72001	7	1	9399	1	1	70031	7	1
01_GWGC_a	60	64			0	72002	2	1	9400	1	1	70032	2	1
01_GWGC_a	65	69			0	72002	3	1	9401	1	1	70032	3	1
01_GWGC_a	70	74			0	72002	4	1	9402	1	1	70032	4	1
01_GWGC_a	75	80			0	72002	5	1	9403	1	1	70032	5	1
