activeId	roleLevel	minIndex	maxIndex	rewardId
活动ID	等级等级	名次下限	名次上限	奖励ID
23	30	1	1	3001
23	30	2	2	3002
23	30	3	3	3003
23	30	4	4	3004
23	30	5	5	3005
23	30	6	6	3006
23	30	7	7	3007
23	30	8	8	3008
23	30	9	9	3009
23	30	10	10	3010
23	30	11	15	3011
23	30	16	20	3016
23	30	21	999	3021
23	31	1	1	3101
23	31	2	2	3102
23	31	3	3	3103
23	31	4	4	3104
23	31	5	5	3105
23	31	6	6	3106
23	31	7	7	3107
23	31	8	8	3108
23	31	9	9	3109
23	31	10	10	3110
23	31	11	15	3111
23	31	16	20	3116
23	31	21	999	3121
23	32	1	1	3201
23	32	2	2	3202
23	32	3	3	3203
23	32	4	4	3204
23	32	5	5	3205
23	32	6	6	3206
23	32	7	7	3207
23	32	8	8	3208
23	32	9	9	3209
23	32	10	10	3210
23	32	11	15	3211
23	32	16	20	3216
23	32	21	999	3221
23	33	1	1	3301
23	33	2	2	3302
23	33	3	3	3303
23	33	4	4	3304
23	33	5	5	3305
23	33	6	6	3306
23	33	7	7	3307
23	33	8	8	3308
23	33	9	9	3309
23	33	10	10	3310
23	33	11	15	3311
23	33	16	20	3316
23	33	21	999	3321
23	34	1	1	3401
23	34	2	2	3402
23	34	3	3	3403
23	34	4	4	3404
23	34	5	5	3405
23	34	6	6	3406
23	34	7	7	3407
23	34	8	8	3408
23	34	9	9	3409
23	34	10	10	3410
23	34	11	15	3411
23	34	16	20	3416
23	34	21	999	3421
23	35	1	1	3501
23	35	2	2	3502
23	35	3	3	3503
23	35	4	4	3504
23	35	5	5	3505
23	35	6	6	3506
23	35	7	7	3507
23	35	8	8	3508
23	35	9	9	3509
23	35	10	10	3510
23	35	11	15	3511
23	35	16	20	3516
23	35	21	999	3521
23	36	1	1	3601
23	36	2	2	3602
23	36	3	3	3603
23	36	4	4	3604
23	36	5	5	3605
23	36	6	6	3606
23	36	7	7	3607
23	36	8	8	3608
23	36	9	9	3609
23	36	10	10	3610
23	36	11	15	3611
23	36	16	20	3616
23	36	21	999	3621
23	37	1	1	3701
23	37	2	2	3702
23	37	3	3	3703
23	37	4	4	3704
23	37	5	5	3705
23	37	6	6	3706
23	37	7	7	3707
23	37	8	8	3708
23	37	9	9	3709
23	37	10	10	3710
23	37	11	15	3711
23	37	16	20	3716
23	37	21	999	3721
23	38	1	1	3801
23	38	2	2	3802
23	38	3	3	3803
23	38	4	4	3804
23	38	5	5	3805
23	38	6	6	3806
23	38	7	7	3807
23	38	8	8	3808
23	38	9	9	3809
23	38	10	10	3810
23	38	11	15	3811
23	38	16	20	3816
23	38	21	999	3821
23	39	1	1	3901
23	39	2	2	3902
23	39	3	3	3903
23	39	4	4	3904
23	39	5	5	3905
23	39	6	6	3906
23	39	7	7	3907
23	39	8	8	3908
23	39	9	9	3909
23	39	10	10	3910
23	39	11	15	3911
23	39	16	20	3916
23	39	21	999	3921
23	40	1	1	4001
23	40	2	2	4002
23	40	3	3	4003
23	40	4	4	4004
23	40	5	5	4005
23	40	6	6	4006
23	40	7	7	4007
23	40	8	8	4008
23	40	9	9	4009
23	40	10	10	4010
23	40	11	15	4011
23	40	16	20	4016
23	40	21	999	4021
23	41	1	1	4101
23	41	2	2	4102
23	41	3	3	4103
23	41	4	4	4104
23	41	5	5	4105
23	41	6	6	4106
23	41	7	7	4107
23	41	8	8	4108
23	41	9	9	4109
23	41	10	10	4110
23	41	11	15	4111
23	41	16	20	4116
23	41	21	999	4121
23	42	1	1	4201
23	42	2	2	4202
23	42	3	3	4203
23	42	4	4	4204
23	42	5	5	4205
23	42	6	6	4206
23	42	7	7	4207
23	42	8	8	4208
23	42	9	9	4209
23	42	10	10	4210
23	42	11	15	4211
23	42	16	20	4216
23	42	21	999	4221
23	43	1	1	4301
23	43	2	2	4302
23	43	3	3	4303
23	43	4	4	4304
23	43	5	5	4305
23	43	6	6	4306
23	43	7	7	4307
23	43	8	8	4308
23	43	9	9	4309
23	43	10	10	4310
23	43	11	15	4311
23	43	16	20	4316
23	43	21	999	4321
23	44	1	1	4401
23	44	2	2	4402
23	44	3	3	4403
23	44	4	4	4404
23	44	5	5	4405
23	44	6	6	4406
23	44	7	7	4407
23	44	8	8	4408
23	44	9	9	4409
23	44	10	10	4410
23	44	11	15	4411
23	44	16	20	4416
23	44	21	999	4421
23	45	1	1	4501
23	45	2	2	4502
23	45	3	3	4503
23	45	4	4	4504
23	45	5	5	4505
23	45	6	6	4506
23	45	7	7	4507
23	45	8	8	4508
23	45	9	9	4509
23	45	10	10	4510
23	45	11	15	4511
23	45	16	20	4516
23	45	21	999	4521
23	46	1	1	4601
23	46	2	2	4602
23	46	3	3	4603
23	46	4	4	4604
23	46	5	5	4605
23	46	6	6	4606
23	46	7	7	4607
23	46	8	8	4608
23	46	9	9	4609
23	46	10	10	4610
23	46	11	15	4611
23	46	16	20	4616
23	46	21	999	4621
23	47	1	1	4701
23	47	2	2	4702
23	47	3	3	4703
23	47	4	4	4704
23	47	5	5	4705
23	47	6	6	4706
23	47	7	7	4707
23	47	8	8	4708
23	47	9	9	4709
23	47	10	10	4710
23	47	11	15	4711
23	47	16	20	4716
23	47	21	999	4721
23	48	1	1	4801
23	48	2	2	4802
23	48	3	3	4803
23	48	4	4	4804
23	48	5	5	4805
23	48	6	6	4806
23	48	7	7	4807
23	48	8	8	4808
23	48	9	9	4809
23	48	10	10	4810
23	48	11	15	4811
23	48	16	20	4816
23	48	21	999	4821
23	49	1	1	4901
23	49	2	2	4902
23	49	3	3	4903
23	49	4	4	4904
23	49	5	5	4905
23	49	6	6	4906
23	49	7	7	4907
23	49	8	8	4908
23	49	9	9	4909
23	49	10	10	4910
23	49	11	15	4911
23	49	16	20	4916
23	49	21	999	4921
23	50	1	1	5001
23	50	2	2	5002
23	50	3	3	5003
23	50	4	4	5004
23	50	5	5	5005
23	50	6	6	5006
23	50	7	7	5007
23	50	8	8	5008
23	50	9	9	5009
23	50	10	10	5010
23	50	11	15	5011
23	50	16	20	5016
23	50	21	999	5021
23	51	1	1	5101
23	51	2	2	5102
23	51	3	3	5103
23	51	4	4	5104
23	51	5	5	5105
23	51	6	6	5106
23	51	7	7	5107
23	51	8	8	5108
23	51	9	9	5109
23	51	10	10	5110
23	51	11	15	5111
23	51	16	20	5116
23	51	21	999	5121
23	52	1	1	5201
23	52	2	2	5202
23	52	3	3	5203
23	52	4	4	5204
23	52	5	5	5205
23	52	6	6	5206
23	52	7	7	5207
23	52	8	8	5208
23	52	9	9	5209
23	52	10	10	5210
23	52	11	15	5211
23	52	16	20	5216
23	52	21	999	5221
23	53	1	1	5301
23	53	2	2	5302
23	53	3	3	5303
23	53	4	4	5304
23	53	5	5	5305
23	53	6	6	5306
23	53	7	7	5307
23	53	8	8	5308
23	53	9	9	5309
23	53	10	10	5310
23	53	11	15	5311
23	53	16	20	5316
23	53	21	999	5321
23	54	1	1	5401
23	54	2	2	5402
23	54	3	3	5403
23	54	4	4	5404
23	54	5	5	5405
23	54	6	6	5406
23	54	7	7	5407
23	54	8	8	5408
23	54	9	9	5409
23	54	10	10	5410
23	54	11	15	5411
23	54	16	20	5416
23	54	21	999	5421
23	55	1	1	5501
23	55	2	2	5502
23	55	3	3	5503
23	55	4	4	5504
23	55	5	5	5505
23	55	6	6	5506
23	55	7	7	5507
23	55	8	8	5508
23	55	9	9	5509
23	55	10	10	5510
23	55	11	15	5511
23	55	16	20	5516
23	55	21	999	5521
23	56	1	1	5601
23	56	2	2	5602
23	56	3	3	5603
23	56	4	4	5604
23	56	5	5	5605
23	56	6	6	5606
23	56	7	7	5607
23	56	8	8	5608
23	56	9	9	5609
23	56	10	10	5610
23	56	11	15	5611
23	56	16	20	5616
23	56	21	999	5621
23	57	1	1	5701
23	57	2	2	5702
23	57	3	3	5703
23	57	4	4	5704
23	57	5	5	5705
23	57	6	6	5706
23	57	7	7	5707
23	57	8	8	5708
23	57	9	9	5709
23	57	10	10	5710
23	57	11	15	5711
23	57	16	20	5716
23	57	21	999	5721
23	58	1	1	5801
23	58	2	2	5802
23	58	3	3	5803
23	58	4	4	5804
23	58	5	5	5805
23	58	6	6	5806
23	58	7	7	5807
23	58	8	8	5808
23	58	9	9	5809
23	58	10	10	5810
23	58	11	15	5811
23	58	16	20	5816
23	58	21	999	5821
23	59	1	1	5901
23	59	2	2	5902
23	59	3	3	5903
23	59	4	4	5904
23	59	5	5	5905
23	59	6	6	5906
23	59	7	7	5907
23	59	8	8	5908
23	59	9	9	5909
23	59	10	10	5910
23	59	11	15	5911
23	59	16	20	5916
23	59	21	999	5921
23	60	1	1	6001
23	60	2	2	6002
23	60	3	3	6003
23	60	4	4	6004
23	60	5	5	6005
23	60	6	6	6006
23	60	7	7	6007
23	60	8	8	6008
23	60	9	9	6009
23	60	10	10	6010
23	60	11	15	6011
23	60	16	20	6016
23	60	21	999	6021
23	61	1	1	6101
23	61	2	2	6102
23	61	3	3	6103
23	61	4	4	6104
23	61	5	5	6105
23	61	6	6	6106
23	61	7	7	6107
23	61	8	8	6108
23	61	9	9	6109
23	61	10	10	6110
23	61	11	15	6111
23	61	16	20	6116
23	61	21	999	6121
23	62	1	1	6201
23	62	2	2	6202
23	62	3	3	6203
23	62	4	4	6204
23	62	5	5	6205
23	62	6	6	6206
23	62	7	7	6207
23	62	8	8	6208
23	62	9	9	6209
23	62	10	10	6210
23	62	11	15	6211
23	62	16	20	6216
23	62	21	999	6221
23	63	1	1	6301
23	63	2	2	6302
23	63	3	3	6303
23	63	4	4	6304
23	63	5	5	6305
23	63	6	6	6306
23	63	7	7	6307
23	63	8	8	6308
23	63	9	9	6309
23	63	10	10	6310
23	63	11	15	6311
23	63	16	20	6316
23	63	21	999	6321
23	64	1	1	6401
23	64	2	2	6402
23	64	3	3	6403
23	64	4	4	6404
23	64	5	5	6405
23	64	6	6	6406
23	64	7	7	6407
23	64	8	8	6408
23	64	9	9	6409
23	64	10	10	6410
23	64	11	15	6411
23	64	16	20	6416
23	64	21	999	6421
23	65	1	1	6501
23	65	2	2	6502
23	65	3	3	6503
23	65	4	4	6504
23	65	5	5	6505
23	65	6	6	6506
23	65	7	7	6507
23	65	8	8	6508
23	65	9	9	6509
23	65	10	10	6510
23	65	11	15	6511
23	65	16	20	6516
23	65	21	999	6521
23	66	1	1	6601
23	66	2	2	6602
23	66	3	3	6603
23	66	4	4	6604
23	66	5	5	6605
23	66	6	6	6606
23	66	7	7	6607
23	66	8	8	6608
23	66	9	9	6609
23	66	10	10	6610
23	66	11	15	6611
23	66	16	20	6616
23	66	21	999	6621
23	67	1	1	6701
23	67	2	2	6702
23	67	3	3	6703
23	67	4	4	6704
23	67	5	5	6705
23	67	6	6	6706
23	67	7	7	6707
23	67	8	8	6708
23	67	9	9	6709
23	67	10	10	6710
23	67	11	15	6711
23	67	16	20	6716
23	67	21	999	6721
23	68	1	1	6801
23	68	2	2	6802
23	68	3	3	6803
23	68	4	4	6804
23	68	5	5	6805
23	68	6	6	6806
23	68	7	7	6807
23	68	8	8	6808
23	68	9	9	6809
23	68	10	10	6810
23	68	11	15	6811
23	68	16	20	6816
23	68	21	999	6821
23	69	1	1	6901
23	69	2	2	6902
23	69	3	3	6903
23	69	4	4	6904
23	69	5	5	6905
23	69	6	6	6906
23	69	7	7	6907
23	69	8	8	6908
23	69	9	9	6909
23	69	10	10	6910
23	69	11	15	6911
23	69	16	20	6916
23	69	21	999	6921
23	70	1	1	7001
23	70	2	2	7002
23	70	3	3	7003
23	70	4	4	7004
23	70	5	5	7005
23	70	6	6	7006
23	70	7	7	7007
23	70	8	8	7008
23	70	9	9	7009
23	70	10	10	7010
23	70	11	15	7011
23	70	16	20	7016
23	70	21	999	7021
23	71	1	1	7101
23	71	2	2	7102
23	71	3	3	7103
23	71	4	4	7104
23	71	5	5	7105
23	71	6	6	7106
23	71	7	7	7107
23	71	8	8	7108
23	71	9	9	7109
23	71	10	10	7110
23	71	11	15	7111
23	71	16	20	7116
23	71	21	999	7121
23	72	1	1	7201
23	72	2	2	7202
23	72	3	3	7203
23	72	4	4	7204
23	72	5	5	7205
23	72	6	6	7206
23	72	7	7	7207
23	72	8	8	7208
23	72	9	9	7209
23	72	10	10	7210
23	72	11	15	7211
23	72	16	20	7216
23	72	21	999	7221
23	73	1	1	7301
23	73	2	2	7302
23	73	3	3	7303
23	73	4	4	7304
23	73	5	5	7305
23	73	6	6	7306
23	73	7	7	7307
23	73	8	8	7308
23	73	9	9	7309
23	73	10	10	7310
23	73	11	15	7311
23	73	16	20	7316
23	73	21	999	7321
23	74	1	1	7401
23	74	2	2	7402
23	74	3	3	7403
23	74	4	4	7404
23	74	5	5	7405
23	74	6	6	7406
23	74	7	7	7407
23	74	8	8	7408
23	74	9	9	7409
23	74	10	10	7410
23	74	11	15	7411
23	74	16	20	7416
23	74	21	999	7421
23	75	1	1	7501
23	75	2	2	7502
23	75	3	3	7503
23	75	4	4	7504
23	75	5	5	7505
23	75	6	6	7506
23	75	7	7	7507
23	75	8	8	7508
23	75	9	9	7509
23	75	10	10	7510
23	75	11	15	7511
23	75	16	20	7516
23	75	21	999	7521
23	76	1	1	7601
23	76	2	2	7602
23	76	3	3	7603
23	76	4	4	7604
23	76	5	5	7605
23	76	6	6	7606
23	76	7	7	7607
23	76	8	8	7608
23	76	9	9	7609
23	76	10	10	7610
23	76	11	15	7611
23	76	16	20	7616
23	76	21	999	7621
23	77	1	1	7701
23	77	2	2	7702
23	77	3	3	7703
23	77	4	4	7704
23	77	5	5	7705
23	77	6	6	7706
23	77	7	7	7707
23	77	8	8	7708
23	77	9	9	7709
23	77	10	10	7710
23	77	11	15	7711
23	77	16	20	7716
23	77	21	999	7721
23	78	1	1	7801
23	78	2	2	7802
23	78	3	3	7803
23	78	4	4	7804
23	78	5	5	7805
23	78	6	6	7806
23	78	7	7	7807
23	78	8	8	7808
23	78	9	9	7809
23	78	10	10	7810
23	78	11	15	7811
23	78	16	20	7816
23	78	21	999	7821
23	79	1	1	7901
23	79	2	2	7902
23	79	3	3	7903
23	79	4	4	7904
23	79	5	5	7905
23	79	6	6	7906
23	79	7	7	7907
23	79	8	8	7908
23	79	9	9	7909
23	79	10	10	7910
23	79	11	15	7911
23	79	16	20	7916
23	79	21	999	7921
23	80	1	1	7901
23	80	2	2	7902
23	80	3	3	7903
23	80	4	4	7904
23	80	5	5	7905
23	80	6	6	7906
23	80	7	7	7907
23	80	8	8	7908
23	80	9	9	7909
23	80	10	10	7910
23	80	11	15	7911
23	80	16	20	7916
23	80	21	999	7921
