boxId	vipLevel	minLevel	maxLevel	silverMoney	bindMoney	exp	goodsId1	goodsNum1	bind1	goodsId2	goodsNum2	bind2	goodsId3	goodsNum3	bind3	times
宝箱ID	VIP等级	最小\n角色等级	最大\n角色等级	游戏币	绑金	经验	物品1ID	物品1数量	绑定\n类型	物品2ID	物品2数量	绑定\n类型	物品3ID	物品3数量	绑定\n类型	倍率
1	1	81	81													
1	2	81	81													
1	3	81	81													
1	4	81	81													
1	5	81	81													
1	6	81	81													
1	7	81	81													
1	8	81	81													
1	9	81	81													
1	10	81	81													
2	1	81	81													
2	2	81	81													
2	3	81	81													
2	4	81	81													
2	5	81	81													
2	6	81	81													
2	7	81	81													
2	8	81	81													
2	9	81	81													
2	10	81	81													
3	1	81	81													
3	2	81	81													
3	3	81	81													
3	4	81	81													
3	5	81	81													
3	6	81	81													
3	7	81	81													
3	8	81	81													
3	9	81	81													
3	10	81	81													
4	1	81	81													
4	2	81	81													
4	3	81	81													
4	4	81	81													
4	5	81	81													
4	6	81	81													
4	7	81	81													
4	8	81	81													
4	9	81	81													
4	10	81	81													
5	1	81	81													
5	2	81	81													
5	3	81	81													
5	4	81	81													
5	5	81	81													
5	6	81	81													
5	7	81	81													
5	8	81	81													
5	9	81	81													
5	10	81	81													
