rollTimes	goldMoney	bindingGoldMoney	tips
付费投掷次数	金条	绑金	提示信息
1	2	-1	本次投掷需要花费2元宝，试试今天的手气吧。
2	4	-1	本次投掷需要花费4元宝，试试今天的手气吧。
3	8	-1	本次投掷需要花费8元宝，试试今天的手气吧。
4	16	-1	本次投掷需要花费16元宝，试试今天的手气吧。
5	32	-1	本次投掷需要花费32元宝，试试今天的手气吧。
6	64	-1	本次投掷需要花费64元宝，试试今天的手气吧。
7	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
8	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
9	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
10	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
11	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
12	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
13	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
14	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
15	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
16	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
17	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
18	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
19	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
20	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
21	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
22	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
23	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
24	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
25	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
26	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
27	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
28	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
29	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
30	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
31	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
32	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
33	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
34	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
35	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
36	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
37	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
38	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
39	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
40	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
41	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
42	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
43	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
44	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
45	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
46	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
47	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
48	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
49	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
50	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
51	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
52	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
53	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
54	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
55	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
56	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
57	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
58	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
59	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
60	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
61	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
62	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
63	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
64	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
65	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
66	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
67	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
68	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
69	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
70	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
71	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
72	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
73	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
74	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
75	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
76	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
77	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
