gridId	minLevel	maxLevel	imageId	event1Id	event1Prob	event2Id	event2Prob	event3Id	event3Prob	event4Id	event4Prob	event5Id	event5Prob	event6Id	event6Prob
格子ID	最小角色等级	最大角色等级	图标ID	事件1ID	事件1概率	事件2ID	事件2概率	事件3ID	事件3概率	事件4ID	事件4概率	事件5ID	事件5概率	事件6ID	事件6概率
0	27	34	285	10177	100										
1	27	34	286	10133	25	10134	25	10135	25	10136	25				
2	27	34	290	10001	50	10254	50	10189	25	10190	25	10191	25	10192	25
3	27	34	293	10003	25	10254	25	10133	25	10134	25	10135	25	10136	25
4	27	34	291	10001	50	10254	50	10189	25	10190	25	10191	25	10192	25
5	27	34	287	10133	25	10134	25	10135	25	10136	25				
6	27	34	294	10180	100										
7	27	34	292	10003	50	10004	50	10192	25	10193	25	10194	25	10195	25
8	27	34	293	10003	25	10254	25	10133	25	10134	25	10135	25	10136	25
9	27	34	286	10133	25	10134	25	10135	25	10136	25				
10	27	34	288	10178	100										
11	27	34	292	10003	50	10004	50	10192	25	10193	25	10194	25	10195	25
12	27	34	286	10133	25	10134	25	10135	25	10136	25				
13	27	34	293	10003	25	10254	25	10133	25	10134	25	10135	25	10136	25
14	27	34	286	10133	25	10134	25	10135	25	10136	25				
15	27	34	290	10001	50	10254	50	10194	25	10195	25	10194	25	10195	25
16	27	34	26	10179	100										
17	27	34	287	10133	25	10134	25	10135	25	10136	25				
18	27	34	293	10003	25	10254	25	10133	25	10134	25	10135	25	10136	25
19	27	34	292	10003	50	10004	50	10191	25	10192	25	10194	25	10195	25
0	35	39	285	10177	100										
1	35	39	286	10137	25	10138	25	10139	25	10140	25				
2	35	39	290	10013	50	10014	50	10019	25	10020	25	10021	25	10022	25
3	35	39	293	10015	25	10016	25	10137	25	10196	25	10197	25	10198	25
4	35	39	291	10013	50	10014	50	10019	25	10020	25	10021	25	10022	25
5	35	39	287	10137	25	10138	25	10139	25	10140	25				
6	35	39	294	10180	100										
7	35	39	292	10015	25	10016	25	10017	25	10018	25	10023	25	10024	25
8	35	39	293	10015	25	10016	25	10137	25	10199	25	10200	25	10201	25
9	35	39	286	10137	25	10138	25	10139	25	10140	25				
10	35	39	288	10178	100										
11	35	39	292	10015	25	10016	25	10017	25	10018	25	10023	25	10024	25
12	35	39	286	10137	25	10138	25	10139	25	10140	25				
13	35	39	293	10015	25	10016	25	10137	25	10196	25	10197	25	10198	25
