index	minLevel	maxLevel	eventId1	odds1	eventId2	odds2	eventId3	odds3	eventId4	odds4	eventId5	odds5	eventId6	odds6	eventId7	odds7	eventId8	odds8	eventId9	odds9	eventId10	odds10	eventId11	odds11	eventId12	odds12	eventId13	odds13	eventId14	odds14	eventId15	odds15	eventId16	odds16	eventId17	odds17	eventId18	odds18	eventId19	odds19	eventId20	odds20
七星位置	最小角色等级	最大角色等级	任务1ID	任务1概率	任务2ID	任务2概率	任务3ID	任务3概率	任务4ID	任务4概率	任务5ID	任务5概率	任务6ID	任务6概率	任务7ID	任务7概率	任务8ID	任务8概率	任务9ID	任务9概率	任务10ID	任务10概率	任务11ID	任务11概率	任务12ID	任务12概率	任务13ID	任务13概率	任务14ID	任务14概率	任务15ID	任务15概率	任务16ID	任务16概率	任务17ID	任务17概率	任务18ID	任务18概率	任务19ID	任务19概率	任务20ID	任务20概率
0	34	39	4751	10	4752	5	4755	10	4756	5	4758	10	4501	10	9505	10	3513	10	3514	5	3517	10	3518	5	3521	10																
1	34	39	4751	10	4752	5	4755	10	4756	5	4758	10	4501	10	9505	10	3513	10	3514	5	3517	10	3518	5	3521	10																
2	34	39	4751	10	4752	5	4755	10	4756	5	4758	10	4501	10	9505	10	3513	10	3514	5	3517	10	3518	5	3521	10																
3	34	39	4751	10	4752	5	4755	10	4756	5	4758	10	4501	10	9505	10	3513	10	3514	5	3517	10	3518	5	3521	10																
4	34	39	4751	10	4752	5	4755	10	4756	5	4758	10	4501	10	9505	10	3513	10	3514	5	3517	10	3518	5	3521	10																
5	34	39	4751	10	4752	5	4755	10	4756	5	4758	10	4501	10	9505	10	3513	10	3514	5	3517	10	3518	5	3521	10																
6	34	39	4751	10	4752	5	4755	10	4756	5	4758	10	4501	10	9505	10	3513	10	3514	5	3517	10	3518	5	3521	10																
																																										
0	40	44	4752	7	4753	4	4756	7	4757	4	4502	7	4503	4	9509	10	9510	7	9501	10	9502	7	9506	7	9507	4	3514	7	3515	4	3518	7	3519	4	3521	10	3522	7	3525	10	3526	7
1	40	44	4752	7	4753	4	4756	7	4757	4	4502	7	4503	4	9509	10	9510	7	9501	10	9502	7	9506	7	9507	4	3514	7	3515	4	3518	7	3519	4	3521	10	3522	7	3525	10	3526	7
2	40	44	4752	7	4753	4	4756	7	4757	4	4502	7	4503	4	9509	10	9510	7	9501	10	9502	7	9506	7	9507	4	3514	7	3515	4	3518	7	3519	4	3521	10	3522	7	3525	10	3526	7
3	40	44	4752	7	4753	4	4756	7	4757	4	4502	7	4503	4	9509	10	9510	7	9501	10	9502	7	9506	7	9507	4	3514	7	3515	4	3518	7	3519	4	3521	10	3522	7	3525	10	3526	7
4	40	44	4752	7	4753	4	4756	7	4757	4	4502	7	4503	4	9509	10	9510	7	9501	10	9502	7	9506	7	9507	4	3514	7	3515	4	3518	7	3519	4	3521	10	3522	7	3525	10	3526	7
5	40	44	4752	7	4753	4	4756	7	4757	4	4502	7	4503	4	9509	10	9510	7	9501	10	9502	7	9506	7	9507	4	3514	7	3515	4	3518	7	3519	4	3521	10	3522	7	3525	10	3526	7
6	40	44	4752	7	4753	4	4756	7	4757	4	4502	7	4503	4	9509	10	9510	7	9501	10	9502	7	9506	7	9507	4	3514	7	3515	4	3518	7	3519	4	3521	10	3522	7	3525	10	3526	7
																																										
0	45	49	4753	5	4754	3	4757	5	4758	3	4503	5	4504	3	9510	5	9511	5	9502	5	9503	5	9507	5	9508	3	3515	5	3516	3	3519	5	3520	3	3522	5	3523	5	3526	5	3527	5
