index	minLevel	maxLevel	bindMoney	silverMoney	exp	goodsId1	goodsNum1	bind1	goodsId2	goodsNum2	bind2	goodsId3	goodsNum3	bind3	goodsId4	goodsNum4	bind4	goodsId5	goodsNum5	bind5
七星位置	最小角色等级	最大角色等级	绑金	游戏币	经验	奖励物品1	奖励1数量	绑定\n类型	奖励物品2	奖励2数量	绑定\n类型	奖励物品3	奖励3数量	绑定\n类型	奖励物品4	奖励4数量	绑定\n类型	奖励物品5	奖励5数量	绑定\n类型
0	34	39				72001	5	1												
1	34	39				70012	5	1												
2	34	39				70041	5	1												
3	34	39				2001	1	1												
4	34	39				70051	5	1												
5	34	39				9019	2	1												
6	34	39				70022	5	1												
7	34	39	20			72004	2	1	71007	2	1									
																				
0	40	49				72002	2	1												
1	40	49				70012	5	1												
2	40	49				70041	5	1												
3	40	49				9211	3	1												
4	40	49				70051	5	1												
5	40	49				9019	3	1												
6	40	49				70022	5	1												
7	40	49	20			72004	2	1	71007	3	1									
																				
0	50	59				72002	2	1												
1	50	59				70013	5	1												
2	50	59				70041	5	1												
3	50	59				9211	3	1												
4	50	59				70051	5	1												
5	50	59				9019	5	1												
6	50	59				70022	5	1												
7	50	59	20			72004	2	1	71007	3	1									
																				
0	60	80				72002	2	1												
1	60	80				70014	5	1												
2	60	80				70041	5	1												
3	60	80				9211	3	1												
4	60	80				70051	5	1												
5	60	80				9019	5	1												
6	60	80				70021	5	1												
7	60	80	20			72005	1	1	71007	3	1									
