roleLevel	rewardType	rewardNumber
角色等级	奖励类型	奖励数量
1	5	20000
2	5	20000
3	5	20000
4	5	20000
5	5	20000
6	5	20000
7	5	20000
8	5	20000
9	5	20000
10	5	20000
11	5	20000
12	5	20000
13	5	20000
14	5	20000
15	5	20000
16	5	20000
17	5	20000
18	5	20000
19	5	20000
20	5	20000
21	5	20000
22	5	20000
23	5	20000
24	5	20000
25	5	20000
26	5	20000
27	5	20000
28	5	20000
29	5	20000
30	5	20000
31	5	20000
32	5	20000
33	5	20000
34	5	20000
35	5	20000
36	5	20000
37	5	20000
38	5	20000
39	5	20000
40	5	20000
41	5	20000
42	5	20000
43	5	20000
44	5	20000
45	5	20000
46	5	20000
47	5	20000
48	5	20000
49	5	20000
50	5	20000
51	5	20000
52	5	20000
53	5	20000
54	5	20000
55	5	20000
56	5	20000
57	5	20000
58	5	20000
59	5	20000
60	5	20000
1	14	20000
2	14	20000
3	14	20000
4	14	20000
5	14	20000
6	14	20000
7	14	20000
8	14	20000
9	14	20000
10	14	20000
11	14	20000
12	14	20000
13	14	20000
14	14	20000
15	14	20000
16	14	20000
17	14	20000
18	14	20000
19	14	20000
20	14	20000
21	14	20000
22	14	20000
23	14	20000
24	14	20000
25	14	20000
26	14	20000
27	14	20000
28	14	20000
29	14	20000
30	14	20000
31	14	20000
32	14	20000
33	14	20000
34	14	20000
35	14	20000
36	14	20000
37	14	20000
38	14	20000
39	14	20000
40	14	20000
41	14	20000
42	14	20000
43	14	20000
44	14	20000
45	14	20000
46	14	20000
47	14	20000
48	14	20000
49	14	20000
50	14	20000
51	14	20000
52	14	20000
53	14	20000
54	14	20000
55	14	20000
56	14	20000
57	14	20000
58	14	20000
59	14	20000
60	14	20000
