level	s1v1Exp	f1v1Exp	snvnExp	fnvnExp
等级	单人擂台赛胜利方获得基础经验	单人擂台赛失败方获得基础经验	多人擂台赛胜利方获得基础经验	多人擂台赛失败方获得基础经验
1	37	37	4	2
2	73	73	7	4
3	110	110	11	6
4	147	147	15	8
5	183	183	18	9
6	220	220	22	11
7	257	257	26	13
8	293	293	29	15
9	330	330	33	17
10	367	367	37	19
11	403	403	40	20
12	440	440	44	22
13	477	477	48	24
14	513	513	51	26
15	550	550	55	28
16	587	587	59	30
17	623	623	62	31
18	660	660	66	33
19	697	697	70	35
20	733	733	73	37
21	770	770	77	39
22	807	807	81	41
23	843	843	84	42
24	880	880	88	44
25	917	917	92	46
26	953	953	95	48
27	990	990	99	50
28	1027	1027	103	52
29	1063	1063	106	53
30	1100	1100	110	55
31	2037	2037	204	102
32	2103	2103	210	105
33	2169	2169	217	109
34	2234	2234	223	112
35	2300	2300	230	115
36	2880	2880	288	144
37	2960	2960	296	148
38	3040	3040	304	152
39	3120	3120	312	156
40	3200	3200	320	160
41	4009	4009	401	201
42	4107	4107	411	206
43	4204	4204	420	210
44	4302	4302	430	215
45	4400	4400	440	220
46	5704	5704	570	285
47	5828	5828	583	292
48	5952	5952	595	298
49	6076	6076	608	304
50	6200	6200	620	310
51	7975	7975	798	399
52	8131	8131	813	407
53	8287	8287	829	415
54	8444	8444	844	422
55	8600	8600	860	430
56	11293	11293	1129	565
57	11495	11495	1150	575
58	11697	11697	1170	585
59	11898	11898	1190	595
60	12100	12100	1210	605
61	15860	15860	1586	793
62	16120	16120	1612	806
63	16380	16380	1638	819
64	16640	16640	1664	832
65	16900	16900	1690	845
66	22346	22346	2235	1118
67	22684	22684	2268	1134
68	23023	23023	2302	1151
69	23361	23361	2336	1168
70	23700	23700	2370	1185
71	31429	31429	3143	1572
72	31872	31872	3187	1594
73	32315	32315	3232	1616
74	32757	32757	3276	1638
75	33200	33200	3320	1660
76	35625	35625	3563	1782
77	36094	36094	3609	1805
78	36563	36563	3656	1828
79	37031	37031	3703	1852
80	37500	37500	3750	1875
