minLevel	maxLevel	startRank	endRank	exp	goodsId	goodsNum	bindType
等级下限\n[闭区间]	等级上限\n[闭区间]	开始名次\n[闭区间]	结束名次\n[闭区间]	经验值	奖励物品ID	奖励物品数目	绑定类型
25	29	1	1	45700	9087	1	1
25	29	2	2	41130	9088	1	1
25	29	3	3	36560	9089	1	1
25	29	4	10	33130	9090	1	1
25	29	11	20	29710	9091	1	1
25	29	21	50	26280	9092	1	1
25	29	51	100	22850	9093	1	1
25	29	101	9999	22850	9094	1	1
30	34	1	1	65300	9087	1	1
30	34	2	2	58770	9088	1	1
30	34	3	3	52240	9089	1	1
30	34	4	10	47340	9090	1	1
30	34	11	20	42450	9091	1	1
30	34	21	50	37550	9092	1	1
30	34	51	100	32650	9093	1	1
30	34	101	9999	32650	9094	1	1
35	39	1	1	82500	9087	1	1
35	39	2	2	74250	9088	1	1
35	39	3	3	66000	9089	1	1
35	39	4	10	59810	9090	1	1
35	39	11	20	53630	9091	1	1
35	39	21	50	47440	9092	1	1
35	39	51	100	41250	9093	1	1
35	39	101	9999	41250	9094	1	1
40	44	1	1	110000	9087	1	1
40	44	2	2	99000	9088	1	1
40	44	3	3	88000	9089	1	1
40	44	4	10	79750	9090	1	1
40	44	11	20	71500	9091	1	1
40	44	21	50	63250	9092	1	1
40	44	51	100	55000	9093	1	1
40	44	101	9999	55000	9094	1	1
45	49	1	1	120000	9087	1	1
45	49	2	2	108000	9088	1	1
45	49	3	3	96000	9089	1	1
45	49	4	10	87000	9090	1	1
45	49	11	20	78000	9091	1	1
45	49	21	50	69000	9092	1	1
45	49	51	100	60000	9093	1	1
45	49	101	9999	60000	9094	1	1
50	54	1	1	216000	9087	1	1
50	54	2	2	194400	9088	1	1
50	54	3	3	172800	9089	1	1
50	54	4	10	156600	9090	1	1
50	54	11	20	140400	9091	1	1
50	54	21	50	124200	9092	1	1
50	54	51	100	108000	9093	1	1
50	54	101	9999	108000	9094	1	1
55	59	1	1	432000	9087	1	1
55	59	2	2	388800	9088	1	1
55	59	3	3	345600	9089	1	1
55	59	4	10	313200	9090	1	1
55	59	11	20	280800	9091	1	1
55	59	21	50	248400	9092	1	1
55	59	51	100	216000	9093	1	1
55	59	101	9999	216000	9094	1	1
60	64	1	1	561600	9087	1	1
60	64	2	2	505440	9088	1	1
60	64	3	3	449280	9089	1	1
60	64	4	10	407160	9090	1	1
60	64	11	20	365040	9091	1	1
60	64	21	50	322920	9092	1	1
60	64	51	100	280800	9093	1	1
60	64	101	9999	280800	9094	1	1
65	69	1	1	730100	9087	1	1
65	69	2	2	657090	9088	1	1
65	69	3	3	584080	9089	1	1
65	69	4	10	529320	9090	1	1
65	69	11	20	474570	9091	1	1
65	69	21	50	419810	9092	1	1
65	69	51	100	365050	9093	1	1
65	69	101	9999	365050	9094	1	1
70	74	1	1	949100	9087	1	1
70	74	2	2	854190	9088	1	1
70	74	3	3	759280	9089	1	1
70	74	4	10	688100	9090	1	1
70	74	11	20	616920	9091	1	1
70	74	21	50	545730	9092	1	1
70	74	51	100	474550	9093	1	1
70	74	101	9999	474550	9094	1	1
75	80	1	1	1233800	9087	1	1
75	80	2	2	1110420	9088	1	1
75	80	3	3	987040	9089	1	1
75	80	4	10	894510	9090	1	1
75	80	11	20	801970	9091	1	1
75	80	21	50	709440	9092	1	1
75	80	51	100	616900	9093	1	1
75	80	101	9999	616900	9094	1	1
