minLevel	maxLevel	startRank	endRank	exp	gameMoney	goodsId1	goodsNum1	bindType1	goodsId2	goodsNum2	bindType2	goodsId3	goodsNum3	bindType3
等级下限\n[闭区间]	等级上限\n[闭区间]	开始名次\n[闭区间]	结束名次\n[闭区间]	经验值	游戏币	奖励物品ID	奖励物品数目	绑定类型	奖励物品ID	奖励物品数目	绑定类型	奖励物品ID	奖励物品数目	绑定类型
28	29	1	1		100000	20004	4	1	72004	5	1			
28	29	2	2		80000	20004	3	1	72004	3	1			
28	29	3	3		60000	20004	2	1	72004	2	1			
28	29	4	5		50000	20004	1	1	72004	1	1			
28	29	6	10		40000	20004	1	1	72004	1	1			
28	29	11	15		35000	20004	1	1	72004	1	1			
28	29	16	20		30000	20004	1	1	72004	1	1			
28	29	21	25		25000	20004	1	1						
28	29	26	30		20000	20004	1	1						
30	34	1	1		120000	20004	4	1	72004	5	1			
30	34	2	2		96000	20004	3	1	72004	3	1			
30	34	3	3		72000	20004	2	1	72004	2	1			
30	34	4	5		60000	20004	1	1	72004	1	1			
30	34	6	10		48000	20004	1	1	72004	1	1			
30	34	11	15		42000	20004	1	1	72004	1	1			
30	34	16	20		36000	20004	1	1	72004	1	1			
30	34	21	25		30000	20004	1	1						
30	34	26	30		24000	20004	1	1						
35	39	1	1		144000	20004	4	1	72004	5	1			
35	39	2	2		115000	20004	3	1	72004	3	1			
35	39	3	3		86000	20004	2	1	72004	2	1			
35	39	4	5		72000	20004	1	1	72004	1	1			
35	39	6	10		58000	20004	1	1	72004	1	1			
35	39	11	15		50000	20004	1	1	72004	1	1			
35	39	16	20		43000	20004	1	1	72004	1	1			
35	39	21	25		36000	20004	1	1						
35	39	26	30		29000	20004	1	1						
40	44	1	1		173000	20004	4	1	72004	5	1			
40	44	2	2		138000	20004	3	1	72004	3	1			
40	44	3	3		103000	20004	2	1	72004	2	1			
40	44	4	5		86000	20004	1	1	72004	1	1			
40	44	6	10		70000	20004	1	1	72004	1	1			
40	44	11	15		60000	20004	1	1	72004	1	1			
40	44	16	20		52000	20004	1	1	72004	1	1			
40	44	21	25		43000	20004	1	1						
40	44	26	30		35000	20004	1	1						
45	49	1	1		208000	20004	4	1	72005	5	1			
45	49	2	2		166000	20004	3	1	72005	3	1			
45	49	3	3		124000	20004	2	1	72005	2	1			
45	49	4	5		103000	20004	1	1	72004	5	1			
45	49	6	10		84000	20004	1	1	72004	3	1			
45	49	11	15		72000	20004	1	1	72004	2	1			
45	49	16	20		62000	20004	1	1	72004	1	1			
45	49	21	25		52000	20004	1	1	72004	1	1			
45	49	26	30		42000	20004	1	1	72004	1	1			
50	54	1	1		250000	20004	4	1	72005	5	1			
50	54	2	2		199000	20004	3	1	72005	3	1			
50	54	3	3		149000	20004	2	1	72005	2	1			
50	54	4	5		124000	20004	1	1	72004	5	1			
50	54	6	10		101000	20004	1	1	72004	3	1			
50	54	11	15		86000	20004	1	1	72004	2	1			
50	54	16	20		74000	20004	1	1	72004	1	1			
50	54	21	25		62000	20004	1	1	72004	1	1			
50	54	26	30		50000	20004	1	1	72004	1	1			
55	59	1	1		300000	20004	4	1	72005	5	1			
55	59	2	2		239000	20004	3	1	72005	3	1			
55	59	3	3		179000	20004	2	1	72005	2	1			
55	59	4	5		149000	20004	1	1	72004	5	1			
55	59	6	10		121000	20004	1	1	72004	3	1			
55	59	11	15		103000	20004	1	1	72004	2	1			
55	59	16	20		89000	20004	1	1	72004	1	1			
55	59	21	25		74000	20004	1	1	72004	1	1			
55	59	26	30		60000	20004	1	1	72004	1	1			
60	64	1	1		360000	20004	4	1	72005	5	1			
60	64	2	2		287000	20004	3	1	72005	3	1			
60	64	3	3		215000	20004	2	1	72005	2	1			
60	64	4	5		179000	20004	1	1	72004	5	1			
60	64	6	10		145000	20004	1	1	72004	3	1			
60	64	11	15		124000	20004	1	1	72004	2	1			
60	64	16	20		107000	20004	1	1	72004	1	1			
60	64	21	25		89000	20004	1	1	72004	1	1			
60	64	26	30		72000	20004	1	1	72004	1	1			
65	69	1	1		432000	20004	4	1	72005	5	1			
65	69	2	2		344000	20004	3	1	72005	3	1			
65	69	3	3		258000	20004	2	1	72005	2	1			
65	69	4	5		215000	20004	1	1	72005	5	1			
65	69	6	10		174000	20004	1	1	72005	3	1			
65	69	11	15		149000	20004	1	1	72005	2	1			
65	69	16	20		128000	20004	1	1	72005	1	1			
65	69	21	25		107000	20004	1	1	72005	1	1			
65	69	26	30		86000	20004	1	1	72005	1	1			
70	74	1	1		518000	20004	4	1	72005	5	1			
70	74	2	2		413000	20004	3	1	72005	3	1			
70	74	3	3		310000	20004	2	1	72005	2	1			
70	74	4	5		258000	20004	1	1	72005	5	1			
70	74	6	10		209000	20004	1	1	72005	3	1			
70	74	11	15		179000	20004	1	1	72005	2	1			
70	74	16	20		154000	20004	1	1	72005	1	1			
70	74	21	25		128000	20004	1	1	72005	1	1			
70	74	26	30		103000	20004	1	1	72005	1	1			
75	80	1	1		622000	20004	4	1	72005	5	1			
75	80	2	2		496000	20004	3	1	72005	3	1			
75	80	3	3		372000	20004	2	1	72005	2	1			
75	80	4	5		310000	20004	1	1	72005	5	1			
75	80	6	10		251000	20004	1	1	72005	3	1			
75	80	11	15		215000	20004	1	1	72005	2	1			
75	80	16	20		185000	20004	1	1	72005	1	1			
75	80	21	25		154000	20004	1	1	72005	1	1			
75	80	26	30		124000	20004	1	1	72005	1	1			
