index	minLevel	maxLevel	goodsId1	goodsNum1	bind1	goodsId2	goodsNum2	bind2	goodsId3	goodsNum3	bind3
累计登录\n的次数	等级下限	等级上限	奖励1ID	奖励1数量	奖励1\n绑定类型	奖励2ID	奖励2数量	奖励2\n绑定类型	奖励3ID	奖励2数量	奖励3\n绑定类型
1	1	44	71001	1	1						
2	1	44	71073	1	1						
3	1	44	72001	1	1						
4	1	44	71005	1	1						
5	1	44	71007	1	1						
6	1	44	70031	1	1						
7	1	44	70061	1	1						
											
1	45	54	71001	1	1						
2	45	54	71073	1	1						
3	45	54	71002	1	1						
4	45	54	71005	1	1						
5	45	54	71007	1	1						
6	45	54	70031	1	1						
7	45	54	70061	1	1						
											
1	55	80	71002	1	1						
2	55	80	71003	1	1						
3	55	80	72002	1	1						
4	55	80	72004	1	1						
5	55	80	71007	1	1						
6	55	80	70041	1	1						
7	55	80	70051	1	1						
