level	exp	zp	baseGold	baseBindGold	baseSilver	maxMinute	baseMinute
等级	每分钟获得的经验	每分钟获得的真气	每分钟消耗金条基础数	每分钟消耗绑金基础数	每分钟消耗银币基础数	最大计算经验的分钟数	开始计算经验的基本分钟数
1	13	0	0	0	83	10080	0
2	25	0	0	0	83	10080	0
3	37	0	0	0	83	10080	0
4	49	0	0	0	83	10080	0
5	62	0	0	0	83	10080	0
6	74	0	0	0	83	10080	0
7	86	0	0	0	83	10080	0
8	98	0	0	0	83	10080	0
9	111	0	0	0	83	10080	0
10	123	0	0	0	83	10080	0
11	135	1	0	0	83	10080	0
12	147	1	0	0	83	10080	0
13	159	1	0	0	83	10080	0
14	172	1	0	0	83	10080	0
15	184	1	0	0	83	10080	0
16	196	1	0	0	83	10080	0
17	208	1	0	0	83	10080	0
18	221	1	0	0	83	10080	0
19	233	1	0	0	83	10080	0
20	245	1	0	0	83	10080	0
21	257	2	0	0	83	10080	0
22	270	2	0	0	83	10080	0
23	282	2	0	0	83	10080	0
24	294	2	0	0	83	10080	0
25	306	2	0	0	83	10080	0
26	318	2	0	0	83	10080	0
27	331	2	0	0	83	10080	0
28	343	2	0	0	83	10080	0
29	355	2	0	0	83	10080	0
30	367	2	0	0	83	10080	0
31	380	2	0	0	83	10080	0
32	392	2	0	0	83	10080	0
33	404	2	0	0	83	10080	0
34	416	2	0	0	83	10080	0
35	428	4	0	0	83	10080	0
36	436	4	0	0	83	10080	0
37	444	4	0	0	83	10080	0
38	452	4	0	0	83	10080	0
39	460	4	0	0	83	10080	0
40	467	5	0	0	83	10080	0
41	542	5	0	0	83	10080	0
42	617	5	0	0	83	10080	0
43	692	5	0	0	83	10080	0
44	767	5	0	0	83	10080	0
45	840	7	0	0	108	10080	0
46	1008	7	0	0	108	10080	0
47	1176	7	0	0	108	10080	0
48	1344	7	0	0	108	10080	0
49	1512	7	0	0	108	10080	0
50	1680	8	0	0	133	10080	0
51	1781	8	0	0	133	10080	0
52	1882	8	0	0	133	10080	0
53	1983	8	0	0	133	10080	0
54	2084	8	0	0	133	10080	0
55	2184	10	0	0	158	10080	0
56	2315	10	0	0	158	10080	0
57	2446	10	0	0	158	10080	0
58	2577	10	0	0	158	10080	0
59	2708	10	0	0	158	10080	0
60	2839	11	0	0	183	10080	0
61	3009	11	0	0	183	10080	0
62	3179	11	0	0	183	10080	0
63	3349	11	0	0	183	10080	0
64	3519	11	0	0	183	10080	0
65	3691	13	0	0	208	10080	0
66	3912	13	0	0	208	10080	0
67	4133	13	0	0	208	10080	0
68	4354	13	0	0	208	10080	0
69	4575	13	0	0	208	10080	0
70	4798	14	0	0	233	10080	0
71	5086	14	0	0	233	10080	0
72	5374	14	0	0	233	10080	0
73	5662	14	0	0	233	10080	0
74	5950	14	0	0	233	10080	0
75	6238	16	0	0	258	10080	0
76	6590	16	0	0	258	10080	0
77	6942	16	0	0	258	10080	0
78	7294	16	0	0	258	10080	0
79	7646	16	0	0	258	10080	0
80	8000	17	0	0	291	10080	0
