ruleId	npcId	mapX	mapY	dir	minrefreshsecond	maxrefreshsecond	killPoint
ruleId	npcId	出生X	出生Y	朝向	最小刷新时间	最大刷新时间	积分
1	01gcz001	768	350	2			500
1	01gcz002	1087	354	2			40
1	01gcz002	768	191	2			40
1	01gcz002	761	509	2			40
1	01gcz002	443	350	2			40
1	01gcz003	900	619	2	180	180	100
1	01gcz004	1123	997	2	180	180	100
1	01gcz005	1205	513	2			100
1	01gcz006	1709	630	2			40
1	01gcz006	1614	674	2			40
1	01gcz006	1510	727	2			40
1	01gcz006	1407	779	2			40
1	01gcz006	1299	842	2			40
1	01gcz006	1183	894	2			40
1	01gcz007	1964	704	2			40
1	01gcz007	1670	860	2			40
1	01gcz007	1325	1031	2			40
1	01gcz007	2211	817	2			40
1	01gcz007	1908	984	2			40
1	01gcz007	1602	1166	2			40
1	01gcz007	2523	981	2			40
1	01gcz007	2224	1133	2			40
1	01gcz007	1882	1309	2			40
1	01gcz008	3007	1531	2			200
1	01gcz009	2325	1520	2	180	180	100
1	01gcz009	3359	1029	2	180	180	100
1	01gcz010	3748	724	2	180	180	40
1	01gcz010	1299	1918	2	180	180	40
1	01gcz011	449	1190	2	180	180	40
1	01gcz012	457	1387	2	180	180	40
1	01gcz013	709	1083	2	1	1	40
1	01gcz013	903	1176	2	1	1	40
1	01gcz013	1063	1257	2	1	1	40
1	01gcz013	1047	1453	2	1	1	40
1	01gcz013	883	1546	2	1	1	40
1	01gcz013	702	1641	2	1	1	40
1	01gcz013	295	1327	2	1	1	40
1	01gcz014	2767	2248	2	1	1	40
1	01gcz014	3070	2214	2	1	1	40
1	01gcz014	3336	2129	2	1	1	40
1	01gcz014	3356	2285	2	1	1	40
1	01gcz014	4568	2003	2	1	1	40
1	01gcz014	4351	2168	2	1	1	40
1	01gcz015	4054	2178	2	180	180	40
1	01gcz016	3952	2001	2	180	180	40
1	01gcz017	3537	1430	2	180	180	100
1	01gcz018	2791	1829	2	180	180	100
1	01gcz019	4668	1007	2	180	180	40
1	01gcz020	2009	2160	2	180	180	40
1	01gcz029	1867	1626	2	180	180	40
							
2	02gcz001	768	350	2			500
2	02gcz002	1087	354	2			40
2	02gcz002	768	191	2			40
2	02gcz002	761	509	2			40
2	02gcz002	443	350	2			40
2	02gcz003	900	619	2	180	180	100
2	02gcz004	1123	997	2	180	180	100
2	02gcz005	1205	513	2			100
2	02gcz006	1709	630	2			40
2	02gcz006	1614	674	2			40
2	02gcz006	1510	727	2			40
2	02gcz006	1407	779	2			40
2	02gcz006	1299	842	2			40
2	02gcz006	1183	894	2			40
2	02gcz007	1964	704	2			40
2	02gcz007	1670	860	2			40
2	02gcz007	1325	1031	2			40
2	02gcz007	2211	817	2			40
2	02gcz007	1908	984	2			40
2	02gcz007	1602	1166	2			40
2	02gcz007	2523	981	2			40
2	02gcz007	2224	1133	2			40
2	02gcz007	1882	1309	2			40
2	02gcz008	3007	1531	2			200
2	02gcz009	2325	1520	2	180	180	100
2	02gcz009	3359	1029	2	180	180	100
2	02gcz010	3748	724	2	180	180	40
2	02gcz010	1299	1918	2	180	180	40
2	02gcz011	449	1190	2	180	180	40
2	02gcz012	457	1387	2	180	180	40
2	02gcz013	709	1083	2	1	1	40
2	02gcz013	903	1176	2	1	1	40
2	02gcz013	1063	1257	2	1	1	40
2	02gcz013	1047	1453	2	1	1	40
2	02gcz013	883	1546	2	1	1	40
2	02gcz013	702	1641	2	1	1	40
2	02gcz013	295	1327	2	1	1	40
2	02gcz014	2767	2248	2	1	1	40
2	02gcz014	3070	2214	2	1	1	40
2	02gcz014	3336	2129	2	1	1	40
2	02gcz014	3356	2285	2	1	1	40
2	02gcz014	4568	2003	2	1	1	40
2	02gcz014	4351	2168	2	1	1	40
2	02gcz015	4054	2178	2	180	180	40
2	02gcz016	3952	2001	2	180	180	40
2	02gcz017	3537	1430	2	180	180	100
2	02gcz018	2791	1829	2	180	180	100
2	02gcz019	4668	1007	2	180	180	40
2	02gcz020	2009	2160	2	180	180	40
2	02gcz029	1867	1626	2	180	180	40
							
3	03gcz001	768	350	2			500
3	03gcz002	1087	354	2			40
3	03gcz002	768	191	2			40
3	03gcz002	761	509	2			40
3	03gcz002	443	350	2			40
3	03gcz003	900	619	2	180	180	100
3	03gcz004	1123	997	2	180	180	100
3	03gcz005	1205	513	2			100
3	03gcz006	1709	630	2			40
3	03gcz006	1614	674	2			40
3	03gcz006	1510	727	2			40
3	03gcz006	1407	779	2			40
3	03gcz006	1299	842	2			40
3	03gcz006	1183	894	2			40
3	03gcz007	1964	704	2			40
3	03gcz007	1670	860	2			40
3	03gcz007	1325	1031	2			40
3	03gcz007	2211	817	2			40
3	03gcz007	1908	984	2			40
3	03gcz007	1602	1166	2			40
3	03gcz007	2523	981	2			40
3	03gcz007	2224	1133	2			40
3	03gcz007	1882	1309	2			40
3	03gcz008	3007	1531	2			200
3	03gcz009	2325	1520	2	180	180	100
3	03gcz009	3359	1029	2	180	180	100
3	03gcz010	3748	724	2	180	180	40
3	03gcz010	1299	1918	2	180	180	40
3	03gcz011	449	1190	2	180	180	40
3	03gcz012	457	1387	2	180	180	40
3	03gcz013	709	1083	2	1	1	40
3	03gcz013	903	1176	2	1	1	40
3	03gcz013	1063	1257	2	1	1	40
3	03gcz013	1047	1453	2	1	1	40
3	03gcz013	883	1546	2	1	1	40
3	03gcz013	702	1641	2	1	1	40
3	03gcz013	295	1327	2	1	1	40
3	03gcz014	2767	2248	2	1	1	40
3	03gcz014	3070	2214	2	1	1	40
3	03gcz014	3336	2129	2	1	1	40
3	03gcz014	3356	2285	2	1	1	40
