ruleId	silverMoney	contribute	bindingGoldMoney	zp	goodsId1	goodsNum1	goodsBind1	goodsId2	goodsNum2	goodsBind2	goodsId3	goodsNum3	goodsBind3	mailTitle	mailContent
规则ID	银币	贡献度	绑金	真气	物品1	物品1数量	物品1绑定类型	物品2	物品2数量	物品2绑定类型	物品3	物品3数量	物品3绑定类型	邮件标题	邮件内容
1		2000		100000	9289	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]1[\C]ffffffff[C]位，您可以获得以下奖励：
2		1800		90000	9290	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]2[\C]ffffffff[C]位，您可以获得以下奖励：
3		1680		84000	9291	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]3[\C]ffffffff[C]位，您可以获得以下奖励：
4		1600		80000	9292	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]4[\C]ffffffff[C]位，您可以获得以下奖励：
5		1520		76000	9293	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]5[\C]ffffffff[C]位，您可以获得以下奖励：
6		1440		72000	9294	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]6[\C]ffffffff[C]位，您可以获得以下奖励：
7		1360		68000	9295	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]7[\C]ffffffff[C]位，您可以获得以下奖励：
8		1280		64000	9296	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]8[\C]ffffffff[C]位，您可以获得以下奖励：
9		1200		60000	9297	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]9[\C]ffffffff[C]位，您可以获得以下奖励：
