minWinCount	maxWinCount	position	ruleId
最小连胜次数	最大连胜次数	职位	规则ID
1	1	0	101
1	1	1	102
1	1	2	103
1	1	3	104
2	2	0	105
2	2	1	106
2	2	2	107
2	2	3	108
3	3	0	109
3	3	1	110
3	3	2	111
3	3	3	112
4	4	0	113
4	4	1	114
4	4	2	115
4	4	3	116
5	5	0	117
5	5	1	118
5	5	2	119
5	5	3	120
6	6	0	121
6	6	1	122
6	6	2	123
6	6	3	124
7	7	0	125
7	7	1	126
7	7	2	127
7	7	3	128
8	8	0	129
8	8	1	130
8	8	2	131
8	8	3	132
9	9	0	133
9	9	1	134
9	9	2	135
9	9	3	136
10	10	0	137
10	10	1	138
10	10	2	139
10	10	3	140
11	999	0	141
11	999	1	142
11	999	2	143
11	999	3	144
