ruleId	npcId	mapX	mapY	dir	minrefreshsecond	maxrefreshsecond	killPoint
ruleId	npcId	出生X	出生Y	朝向	最小刷新时间	最大刷新时间	积分
1	01gcz001	1893	982	2			500
1	01gcz002	2212	986	2			40
1	01gcz002	1893	823	2			40
1	01gcz002	1886	1141	2			40
1	01gcz002	1568	982	2			40
1	01gcz003	1550	1199	2			100
1	01gcz005	2330	1145	2			100
1	01gcz006	2147	1354	2			40
1	01gcz006	2052	1398	2			40
1	01gcz006	1948	1451	2			40
1	01gcz006	1845	1503	2			40
1	01gcz006	1737	1566	2			40
1	01gcz006	1621	1618	2			40
1	01gcz008	3007	1531	2			200
1	01gcz009	2325	1520	2			100
1	01gcz009	3359	1029	2			100
1	01gcz010	3748	724	2			40
1	01gcz010	1299	1918	2			40
1	01gcz011	1464	321	2			40
1	01gcz012	803	615	2			40
1	01gcz013	1076	743	2	1	1	40
1	01gcz013	1176	691	2	1	1	40
1	01gcz013	1285	640	2	1	1	40
1	01gcz013	1374	593	2	1	1	40
1	01gcz013	1462	551	2	1	1	40
1	01gcz013	1549	508	2	1	1	40
1	01gcz014	2767	2248	2	1	1	40
1	01gcz014	3070	2214	2	1	1	40
1	01gcz014	3336	2129	2	1	1	40
1	01gcz014	3356	2285	2	1	1	40
1	01gcz014	4568	2003	2	1	1	40
1	01gcz014	4351	2168	2	1	1	40
1	01gcz014	3715	2282	2	1	1	40
1	01gcz014	4331	2210	2	1	1	40
1	01gcz015	4054	2178	2			40
1	01gcz016	3952	2001	2			40
1	01gcz017	3537	1430	2			100
1	01gcz018	2791	1829	2			100
1	01gcz019	4668	1007	2	180	180	40
1	01gcz020	2009	2160	2	180	180	40
1	01gcz029	1867	1626	2	180	180	40
							
2	02gcz001	1893	982	2			500
2	02gcz002	2212	986	2			40
2	02gcz002	1893	823	2			40
2	02gcz002	1886	1141	2			40
2	02gcz002	1568	982	2			40
2	02gcz003	1550	1199	2			100
2	02gcz005	2330	1145	2			100
2	02gcz006	2147	1354	2			40
2	02gcz006	2052	1398	2			40
2	02gcz006	1948	1451	2			40
2	02gcz006	1845	1503	2			40
2	02gcz006	1737	1566	2			40
2	02gcz006	1621	1618	2			40
2	02gcz008	3007	1531	2			200
2	02gcz009	2325	1520	2			100
2	02gcz009	3359	1029	2			100
2	02gcz010	3748	724	2			40
2	02gcz010	1299	1918	2			40
2	02gcz011	1464	321	2			40
2	02gcz012	803	615	2			40
2	02gcz013	1076	743	2	1	1	40
2	02gcz013	1176	691	2	1	1	40
2	02gcz013	1285	640	2	1	1	40
2	02gcz013	1374	593	2	1	1	40
2	02gcz013	1462	551	2	1	1	40
2	02gcz013	1549	508	2	1	1	40
2	02gcz014	2767	2248	2	1	1	40
2	02gcz014	3070	2214	2	1	1	40
2	02gcz014	3336	2129	2	1	1	40
2	02gcz014	3356	2285	2	1	1	40
2	02gcz014	4568	2003	2	1	1	40
2	02gcz014	4351	2168	2	1	1	40
2	02gcz014	3715	2282	2	1	1	40
2	02gcz014	4331	2210	2	1	1	40
2	02gcz015	4054	2178	2			40
2	02gcz016	3952	2001	2			40
2	02gcz017	3537	1430	2			100
2	02gcz018	2791	1829	2			100
2	02gcz019	4668	1007	2	180	180	40
2	02gcz020	2009	2160	2	180	180	40
2	02gcz029	1867	1626	2	180	180	40
							
3	03gcz001	1893	982	2			500
3	03gcz002	2212	986	2			40
3	03gcz002	1893	823	2			40
3	03gcz002	1886	1141	2			40
3	03gcz002	1568	982	2			40
3	03gcz003	1550	1199	2			100
3	03gcz005	2330	1145	2			100
3	03gcz006	2147	1354	2			40
3	03gcz006	2052	1398	2			40
3	03gcz006	1948	1451	2			40
3	03gcz006	1845	1503	2			40
3	03gcz006	1737	1566	2			40
3	03gcz006	1621	1618	2			40
3	03gcz008	3007	1531	2			200
3	03gcz009	2325	1520	2			100
3	03gcz009	3359	1029	2			100
3	03gcz010	3748	724	2			40
3	03gcz010	1299	1918	2			40
3	03gcz011	1464	321	2			40
3	03gcz012	803	615	2			40
3	03gcz013	1076	743	2	1	1	40
3	03gcz013	1176	691	2	1	1	40
3	03gcz013	1285	640	2	1	1	40
3	03gcz013	1374	593	2	1	1	40
3	03gcz013	1462	551	2	1	1	40
3	03gcz013	1549	508	2	1	1	40
3	03gcz014	2767	2248	2	1	1	40
3	03gcz014	3070	2214	2	1	1	40
3	03gcz014	3336	2129	2	1	1	40
3	03gcz014	3356	2285	2	1	1	40
3	03gcz014	4568	2003	2	1	1	40
3	03gcz014	4351	2168	2	1	1	40
3	03gcz014	3715	2282	2	1	1	40
3	03gcz014	4331	2210	2	1	1	40
3	03gcz015	4054	2178	2			40
3	03gcz016	3952	2001	2			40
3	03gcz017	3537	1430	2			100
3	03gcz018	2791	1829	2			100
3	03gcz019	4668	1007	2	180	180	40
3	03gcz020	2009	2160	2	180	180	40
3	03gcz029	1867	1626	2	180	180	40
							
4	04gcz001	1893	982	2			500
4	04gcz002	2212	986	2			40
4	04gcz002	1893	823	2			40
4	04gcz002	1886	1141	2			40
4	04gcz002	1568	982	2			40
4	04gcz003	1550	1199	2			100
4	04gcz005	2330	1145	2			100
4	04gcz006	2147	1354	2			40
4	04gcz006	2052	1398	2			40
4	04gcz006	1948	1451	2			40
4	04gcz006	1845	1503	2			40
4	04gcz006	1737	1566	2			40
4	04gcz006	1621	1618	2			40
4	04gcz008	3007	1531	2			200
4	04gcz009	2325	1520	2			100
4	04gcz009	3359	1029	2			100
4	04gcz010	3748	724	2			40
4	04gcz010	1299	1918	2			40
4	04gcz011	1464	321	2			40
4	04gcz012	803	615	2			40
4	04gcz013	1076	743	2	1	1	40
4	04gcz013	1176	691	2	1	1	40
4	04gcz013	1285	640	2	1	1	40
4	04gcz013	1374	593	2	1	1	40
4	04gcz013	1462	551	2	1	1	40
4	04gcz013	1549	508	2	1	1	40
4	04gcz014	2767	2248	2	1	1	40
4	04gcz014	3070	2214	2	1	1	40
4	04gcz014	3336	2129	2	1	1	40
4	04gcz014	3356	2285	2	1	1	40
4	04gcz014	4568	2003	2	1	1	40
4	04gcz014	4351	2168	2	1	1	40
4	04gcz014	3715	2282	2	1	1	40
4	04gcz014	4331	2210	2	1	1	40
4	04gcz015	4054	2178	2			40
4	04gcz016	3952	2001	2			40
4	04gcz017	3537	1430	2			100
4	04gcz018	2791	1829	2			100
4	04gcz019	4668	1007	2	180	180	40
4	04gcz020	2009	2160	2	180	180	40
4	04gcz029	1867	1626	2	180	180	40
							
5	05gcz001	1893	982	2			500
5	05gcz002	2212	986	2			40
5	05gcz002	1893	823	2			40
5	05gcz002	1886	1141	2			40
5	05gcz002	1568	982	2			40
5	05gcz003	1550	1199	2			100
5	05gcz005	2330	1145	2			100
5	05gcz006	2147	1354	2			40
5	05gcz006	2052	1398	2			40
5	05gcz006	1948	1451	2			40
5	05gcz006	1845	1503	2			40
5	05gcz006	1737	1566	2			40
5	05gcz006	1621	1618	2			40
5	05gcz008	3007	1531	2			200
5	05gcz009	2325	1520	2			100
5	05gcz009	3359	1029	2			100
5	05gcz010	3748	724	2			40
5	05gcz010	1299	1918	2			40
5	05gcz011	1464	321	2			40
5	05gcz012	803	615	2			40
5	05gcz013	1076	743	2	1	1	40
5	05gcz013	1176	691	2	1	1	40
5	05gcz013	1285	640	2	1	1	40
5	05gcz013	1374	593	2	1	1	40
5	05gcz013	1462	551	2	1	1	40
5	05gcz013	1549	508	2	1	1	40
5	05gcz014	2767	2248	2	1	1	40
5	05gcz014	3070	2214	2	1	1	40
