activeId	itemId	name	rewardDesc	allRewardDesc	statStartTime	statEndTime	statStartTimeRel	statEndTimeRel	timeDesc	ruleId
子活动ID	子子ID	活动名	活动描述	活动描述	开始时间	结束时间	相对开始时间	相对结束时间	显示名称	条件ID
1	1	等级	当天各职业等级排名第一	当天角色等级达到25级以上			1	1	第一天	1
1	2	战斗力	当天各职业结算时战斗力排名第一	当天战斗力结算时达到1500以上			2	2	第二天	2
1	3	封神榜	当天各职业封神榜活动积分排名第一	当天积分达到50分以上			3	3	第三天	3
1	4	坐骑	当天坐骑结算时战斗力排名前三	当天坐骑结算时战斗力达到200以上			4	4	第四天	4
1	5	消费	当天消费元宝数排名前三	当天消费1元宝			5	5	第五天	5
1	6	门派	当天门派等级排名前三的掌门	当天角色等级达到38级以上			6	6	第六天	6
1	7	充值	当天充值排名前三	当天充值1元			7	7	第七天	7
1	8	战斗力	当天各职业结算时战斗力排名前一	当天结算时战斗力达到3500以上			8	8	第八天	8
1	9	声望	当天三阵营声望排名第一	当天等级达到45级以上			9	9	第九天	9
1	10	九重天	当天各职业九重天排名第一(代打不计)	当天九重天通关第一界神霄殿(代打不计)			10	10	第十天	10
