rewardKey	career	bindMoney	silverMoney	goods1	num1	bind1	goods2	num2	bind2	goods3	num3	bind3	goods4	num4	bind4	goods5	num5	bind5	mailTitle	mailContent
奖励key	职业	绑金	游戏币	物品id	物品数量	绑定类型	物品id	物品数量	绑定类型	物品id	物品数量	绑定类型	物品id	物品数量	绑定类型	物品id	物品数量	绑定类型	奖励邮件标题	奖励邮件内容
11	0			6300505	1	1													开服十天嘉年华活动	开服十天嘉年华活动，等级排名奖励
11	1			6301505	1	1													开服十天嘉年华活动	开服十天嘉年华活动，等级排名奖励
11	2			6302505	1	1													开服十天嘉年华活动	开服十天嘉年华活动，等级排名奖励
12	0			6300505	1	1													开服十天嘉年华活动	开服十天嘉年华活动，等级排名奖励
12	1			6301505	1	1													开服十天嘉年华活动	开服十天嘉年华活动，等级排名奖励
12	2			6302505	1	1													开服十天嘉年华活动	开服十天嘉年华活动，等级排名奖励
13	0			6300505	1	1													开服十天嘉年华活动	开服十天嘉年华活动，等级排名奖励
13	1			6301505	1	1													开服十天嘉年华活动	开服十天嘉年华活动，等级排名奖励
13	2			6302505	1	1													开服十天嘉年华活动	开服十天嘉年华活动，等级排名奖励
14	0			2002	2	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，等级全员奖励
14	1			2002	2	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，等级全员奖励
14	2			2002	2	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，等级全员奖励
21	0			6300507	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
21	1			6301507	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
21	2			6302507	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
22	0			6300507	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
22	1			6301507	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
22	2			6302507	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
23	0			6300507	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
23	1			6301507	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
23	2			6302507	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
24	0			71073	8	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，战斗力全员奖励
24	1			71073	8	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，战斗力全员奖励
24	2			71073	8	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，战斗力全员奖励
31	0			6300509	1	1													开服十天嘉年华活动	开服十天嘉年华活动，封神榜排名奖励
31	1			6301509	1	1													开服十天嘉年华活动	开服十天嘉年华活动，封神榜排名奖励
31	2			6302509	1	1													开服十天嘉年华活动	开服十天嘉年华活动，封神榜排名奖励
32	0			6300509	1	1													开服十天嘉年华活动	开服十天嘉年华活动，封神榜排名奖励
32	1			6301509	1	1													开服十天嘉年华活动	开服十天嘉年华活动，封神榜排名奖励
32	2			6302509	1	1													开服十天嘉年华活动	开服十天嘉年华活动，封神榜排名奖励
33	0			6300509	1	1													开服十天嘉年华活动	开服十天嘉年华活动，封神榜排名奖励
33	1			6301509	1	1													开服十天嘉年华活动	开服十天嘉年华活动，封神榜排名奖励
33	2			6302509	1	1													开服十天嘉年华活动	开服十天嘉年华活动，封神榜排名奖励
34	0			72001	8	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，封神榜全员奖励
34	1			72001	8	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，封神榜全员奖励
34	2			72001	8	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，封神榜全员奖励
41	0			6300503	1	1													开服十天嘉年华活动	开服十天嘉年华活动，坐骑排名奖励
41	1			6301503	1	1													开服十天嘉年华活动	开服十天嘉年华活动，坐骑排名奖励
41	2			6302503	1	1													开服十天嘉年华活动	开服十天嘉年华活动，坐骑排名奖励
42	0			6300503	1	1													开服十天嘉年华活动	开服十天嘉年华活动，坐骑排名奖励
42	1			6301503	1	1													开服十天嘉年华活动	开服十天嘉年华活动，坐骑排名奖励
42	2			6302503	1	1													开服十天嘉年华活动	开服十天嘉年华活动，坐骑排名奖励
43	0			6300503	1	1													开服十天嘉年华活动	开服十天嘉年华活动，坐骑排名奖励
43	1			6301503	1	1													开服十天嘉年华活动	开服十天嘉年华活动，坐骑排名奖励
43	2			6302503	1	1													开服十天嘉年华活动	开服十天嘉年华活动，坐骑排名奖励
44	0			71005	8	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，坐骑全员奖励
44	1			71005	8	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，坐骑全员奖励
44	2			71005	8	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，坐骑全员奖励
51	0			6300501	1	1													开服十天嘉年华活动	开服十天嘉年华活动，消费排名奖励
51	1			6301501	1	1													开服十天嘉年华活动	开服十天嘉年华活动，消费排名奖励
51	2			6302501	1	1													开服十天嘉年华活动	开服十天嘉年华活动，消费排名奖励
52	0			6300501	1	1													开服十天嘉年华活动	开服十天嘉年华活动，消费排名奖励
52	1			6301501	1	1													开服十天嘉年华活动	开服十天嘉年华活动，消费排名奖励
52	2			6302501	1	1													开服十天嘉年华活动	开服十天嘉年华活动，消费排名奖励
53	0			6300501	1	1													开服十天嘉年华活动	开服十天嘉年华活动，消费排名奖励
53	1			6301501	1	1													开服十天嘉年华活动	开服十天嘉年华活动，消费排名奖励
53	2			6302501	1	1													开服十天嘉年华活动	开服十天嘉年华活动，消费排名奖励
54	0			9019	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，消费全员奖励
54	1			9019	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，消费全员奖励
54	2			9019	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，消费全员奖励
61	0			6300506	1	1													开服十天嘉年华活动	开服十天嘉年华活动，门派排名奖励
61	1			6301506	1	1													开服十天嘉年华活动	开服十天嘉年华活动，门派排名奖励
61	2			6302506	1	1													开服十天嘉年华活动	开服十天嘉年华活动，门派排名奖励
62	0			6300506	1	1													开服十天嘉年华活动	开服十天嘉年华活动，门派排名奖励
62	1			6301506	1	1													开服十天嘉年华活动	开服十天嘉年华活动，门派排名奖励
62	2			6302506	1	1													开服十天嘉年华活动	开服十天嘉年华活动，门派排名奖励
63	0			6300506	1	1													开服十天嘉年华活动	开服十天嘉年华活动，门派排名奖励
63	1			6301506	1	1													开服十天嘉年华活动	开服十天嘉年华活动，门派排名奖励
63	2			6302506	1	1													开服十天嘉年华活动	开服十天嘉年华活动，门派排名奖励
64	0			70031	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，门派全员奖励
64	1			70031	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，门派全员奖励
64	2			70031	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，门派全员奖励
71	0			6300500	1	1													开服十天嘉年华活动	开服十天嘉年华活动，充值排名奖励
71	1			6301500	1	1													开服十天嘉年华活动	开服十天嘉年华活动，充值排名奖励
71	2			6302500	1	1													开服十天嘉年华活动	开服十天嘉年华活动，充值排名奖励
72	0			6300500	1	1													开服十天嘉年华活动	开服十天嘉年华活动，充值排名奖励
72	1			6301500	1	1													开服十天嘉年华活动	开服十天嘉年华活动，充值排名奖励
72	2			6302500	1	1													开服十天嘉年华活动	开服十天嘉年华活动，充值排名奖励
73	0			6300500	1	1													开服十天嘉年华活动	开服十天嘉年华活动，充值排名奖励
73	1			6301500	1	1													开服十天嘉年华活动	开服十天嘉年华活动，充值排名奖励
73	2			6302500	1	1													开服十天嘉年华活动	开服十天嘉年华活动，充值排名奖励
74	0			70061	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，充值全员奖励
74	1			70061	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，充值全员奖励
74	2			70061	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，充值全员奖励
81	0			6300502	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
81	1			6301502	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
81	2			6302502	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
82	0			6300502	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
82	1			6301502	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
82	2			6302502	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
83	0			6300502	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
83	1			6301502	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
83	2			6302502	1	1													开服十天嘉年华活动	开服十天嘉年华活动，战斗力排名奖励
84	0			20003	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，战斗力全员奖励
84	1			20003	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，战斗力全员奖励
84	2			20003	4	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，战斗力全员奖励
91	0			6300504	1	1													开服十天嘉年华活动	开服十天嘉年华活动，声望排名奖励
91	1			6301504	1	1													开服十天嘉年华活动	开服十天嘉年华活动，声望排名奖励
91	2			6302504	1	1													开服十天嘉年华活动	开服十天嘉年华活动，声望排名奖励
92	0			6300504	1	1													开服十天嘉年华活动	开服十天嘉年华活动，声望排名奖励
92	1			6301504	1	1													开服十天嘉年华活动	开服十天嘉年华活动，声望排名奖励
92	2			6302504	1	1													开服十天嘉年华活动	开服十天嘉年华活动，声望排名奖励
93	0			6300504	1	1													开服十天嘉年华活动	开服十天嘉年华活动，声望排名奖励
93	1			6301504	1	1													开服十天嘉年华活动	开服十天嘉年华活动，声望排名奖励
93	2			6302504	1	1													开服十天嘉年华活动	开服十天嘉年华活动，声望排名奖励
94	0			72006	3	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，声望全员奖励
94	1			72006	3	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，声望全员奖励
94	2			72006	3	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，声望全员奖励
101	0			6300508	1	1													开服十天嘉年华活动	开服十天嘉年华活动，九重天排名奖励
101	1			6301508	1	1													开服十天嘉年华活动	开服十天嘉年华活动，九重天排名奖励
101	2			6302508	1	1													开服十天嘉年华活动	开服十天嘉年华活动，九重天排名奖励
102	0			6300508	1	1													开服十天嘉年华活动	开服十天嘉年华活动，九重天排名奖励
102	1			6301508	1	1													开服十天嘉年华活动	开服十天嘉年华活动，九重天排名奖励
102	2			6302508	1	1													开服十天嘉年华活动	开服十天嘉年华活动，九重天排名奖励
103	0			6300508	1	1													开服十天嘉年华活动	开服十天嘉年华活动，九重天排名奖励
103	1			6301508	1	1													开服十天嘉年华活动	开服十天嘉年华活动，九重天排名奖励
103	2			6302508	1	1													开服十天嘉年华活动	开服十天嘉年华活动，九重天排名奖励
104	0			72007	3	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，九重天全员奖励
104	1			72007	3	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，九重天全员奖励
104	2			72007	3	1	9155	1	1										开服十天嘉年华活动	开服十天嘉年华活动，九重天全员奖励
