玉皇宝箱	神仙宝箱	童子宝箱
72007	72006	9014
72006	72008	9015
72008	71042	71005
70013	71007	77779
71007	72004	77777
77781	72002	71042
72004	70031	72001
72002	70061	70031
70032	20003	70061
70062	20004	20001
20003	9170	20002
20004	9016	73912
71045	73912	73912
71046	9016	9015
71047	71053	9015
71058	71054	71048
71059	71055	71049
71060	71056	71050
71061	71057	71051
71062	70022	71052
		
9014		
1		
600		
1		
小金票		
9015		
1		
600		
1		
珍贵小金卷		
71005		
1		
600		
1		
紫色洗练石		
77779		
1		
600		
1		
复活药		
77777		
2		
600		
1		
传送卷轴		
71042		
1		
600		
1		
大喇叭		
72002		
1		
500		
1		
初级强化石		
70031		
1		
400		
1		
幻兽初级进阶		
70061		
1		
400		
1		
坐骑初级进阶		
20001		
1		
600		
1		
1000真气包子		
20002		
1		
500		
1		
2000真气包子		
73912		
2		
500		
1		
宝石升级材料		
73912		
4		
500		
1		
宝石升级材料		
73913		
2		
500		
1		
内丹残卷		
73913		
4		
500		
1		
内丹残卷		
71048		
1		
400		
1		
《九天圣书》残页1		
71049		
1		
400		
1		
《九天圣书》残页2		
71050		
1		
400		
1		
《九天圣书》残页3		
71051		
1		
400		
1		
《九天圣书》残页4		
71052		
1		
400		
1		
《九天圣书》残页5		
