攻击	防御	生命	暴击	移动速度	攻击	防御	生命	暴击	移动速度
2000		12000		2000	20000	0	6000	0	5000
4500		27000		4000					
7500		45000		6000					
11000		66000		8000					
15000		90000		10000					
20000		120000		12000					
25000		150000		14000					
30000		180000		16000					
35000		210000		18000					
40000		240000		20000					
									
									
									
1000	,	1000,							
2250	,	1000,2250,							
3750	,	1000,2250,3750,							
5500	,	1000,2250,3750,5500,							
7500	,	1000,2250,3750,5500,7500,							
10000	,	1000,2250,3750,5500,7500,10000,							
12500	,	1000,2250,3750,5500,7500,10000,12500,							
15000	,	1000,2250,3750,5500,7500,10000,12500,15000,							
17500	,	1000,2250,3750,5500,7500,10000,12500,15000,17500,							
20000	,	1000,2250,3750,5500,7500,10000,12500,15000,17500,20000,							
