mapId	refreshTime	chestType	chestNum	rangeIds	broadcast
地图ID	刷新时间(单位s)\n	刷出宝箱类型	刷出宝箱数量	刷新区域ID\n多个用,(英文半角)隔开	广播内容
01_SXFD_shenxianfudi	10	1	6	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	童子宝箱降临神仙福地啦，快来试试手气吧！
01_SXFD_shenxianfudi	10	2	6	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	
01_SXFD_shenxianfudi	10	3	6	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	
01_SXFD_shenxianfudi	300	1	6	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	
01_SXFD_shenxianfudi	300	2	6	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	
01_SXFD_shenxianfudi	300	3	6	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	
01_SXFD_shenxianfudi	300	4	5	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	神仙宝箱已经落入神仙福地，快去抢吧。
01_SXFD_shenxianfudi	600	1	6	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	
01_SXFD_shenxianfudi	600	2	6	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	
01_SXFD_shenxianfudi	600	3	6	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	
01_SXFD_shenxianfudi	600	5	1	4	玉皇宝箱落入神仙福地，静待有缘人。
					
01_DLD_daluandou	180	11	2	101102103104105	小伤害宝箱出现了，开启累计伤害+350
01_DLD_daluandou	180	12	1	101102103104105	大伤害宝箱出现了，开启累计伤害+1000
01_DLD_daluandou	240	11	2	101102103104105	小伤害宝箱出现了，开启累计伤害+350
01_DLD_daluandou	240	12	1	101102103104105	大伤害宝箱出现了，开启累计伤害+1000
01_DLD_daluandou	300	11	3	101102103104105	小伤害宝箱出现了，开启累计伤害+350
