chestType	chestName	progressTime	resId	broadcast	buffId	hurt	magicSoul	openGoodsNum	goodsId1	goodsNum1	prob1	bind1	goodsId2	goodsNum2	prob2	bind2	goodsId3	goodsNum3	prob3	bind3	goodsId4	goodsNum4	prob4	bind4	goodsId5	goodsNum5	prob5	bind5	goodsId6	goodsNum6	prob6	bind6	goodsId7	goodsNum7	prob7	bind7	goodsId8	goodsNum8	prob8	bind8	goodsId9	goodsNum9	prob9	bind9	goodsId10	goodsNum10	prob10	bind10	goodsId11	goodsNum11	prob11	bind11	goodsId12	goodsNum12	prob12	bind12	goodsId13	goodsNum13	prob13	bind13	goodsId14	goodsNum14	prob14	bind14	goodsId15	goodsNum15	prob15	bind15	goodsId16	goodsNum16	prob16	bind16	goodsId17	goodsNum17	prob17	bind17	goodsId18	goodsNum18	prob18	bind18	goodsId19	goodsNum19	prob19	bind19	goodsId20	goodsNum20	prob20	bind20
宝箱类型	宝箱名字	读条时间(单位秒)	宝箱资源ID	是否对开出物品广播\n是 1  否 0	buff\n当前需要添加地图:大师赛	伤害\n当前需要添加地图:小红帽	仙魂	开出物品数量	物品id1	物品数量1	物品权重1	绑定1	物品id2	物品数量2	物品权重2	绑定2	物品id3	物品数量3	物品权重3	绑定3	物品id4	物品数量4	物品权重4	绑定4	物品id5	物品数量5	物品权重5	绑定5	物品id6	物品数量6	物品权重6	绑定6	物品id7	物品数量7	物品权重7	绑定7	物品id8	物品数量8	物品权重8	绑定8	物品id9	物品数量9	物品权重9	绑定9	物品id10	物品数量10	物品权重10	绑定10	物品id11	物品数量11	物品权重11	绑定11	物品id12	物品数量12	物品权重12	绑定12	物品id13	物品数量13	物品权重13	绑定13	物品id14	物品数量14	物品权重14	绑定14	物品id15	物品数量15	物品权重15	绑定15	物品id16	物品数量16	物品权重16	绑定16	物品id17	物品数量17	物品权重17	绑定17	物品id18	物品数量18	物品权重18	绑定18	物品id19	物品数量19	物品权重19	绑定19	物品id20	物品数量20	物品权重20	绑定20
1	童子宝箱	10	19	0				1	9014	1	600	1	9015	1	600	1	71005	1	600	1	77779	1	600	1	77777	2	600	1	71042	1	600	1	72001	1	500	1	70031	1	400	1	70061	1	400	1	20001	1	600	1	20002	1	500	1	73912	2	500	1	73912	4	500	1	9015	1	500	1	9015	2	500	1	71048	1	400	0	71049	1	400	0	71050	1	400	0	71051	1	400	0	71052	1	400	0
2	童子宝箱	10	19	0				1	9014	1	600	1	9015	1	600	1	71005	1	600	1	77779	1	600	1	77777	2	600	1	71042	1	600	1	72001	1	500	1	70031	1	400	1	70061	1	400	1	20001	1	600	1	20002	1	500	1	73912	2	500	1	73912	4	500	1	9015	1	500	1	9015	2	500	1	71053	1	400	0	71054	1	400	0	71055	1	400	0	71056	1	400	0	71057	1	400	0
3	童子宝箱	10	19	0				1	9014	1	600	1	9015	1	600	1	71005	1	600	1	77779	1	600	1	77777	2	600	1	71042	1	600	1	72001	1	500	1	70031	1	400	1	70061	1	400	1	20001	1	600	1	20002	1	500	1	73912	2	500	1	73912	4	500	1	9015	1	500	1	9015	2	500	1	71058	1	400	0	71059	1	400	0	71060	1	400	0	71061	1	400	0	71062	1	400	0
4	神仙宝箱	15	20	1				2	72006	1	200	1	72008	1	200	1	71042	2	600	1	71007	1	300	1	72004	2	300	1	72002	2	400	1	70031	2	400	1	70061	2	400	1	20003	1	300	1	20004	1	200	1	9170	1	300	1	9016	2	300	1	73912	5	800	1	9016	1	800	1	71053	1	800	0	71054	1	800	0	71055	1	800	0	71056	1	800	0	71057	1	800	0	70022	1	500	0
5	玉皇宝箱	20	21	1				3	72007	1	200	1	72006	1	450	1	72008	1	450	1	70013	1	800	1	71007	2	500	1	77781	1	300	1	72004	1	400	1	72002	2	500	1	70032	1	500	1	70062	2	500	1	20003	2	400	1	20004	1	400	1	71045	1	200	0	71046	1	200	0	71047	1	200	0	71058	2	800	0	71059	2	800	0	71060	2	800	0	71061	2	800	0	71062	2	800	0
																																																																																								
11	小伤害宝箱	5	19	0		350																																																																																		
12	大伤害宝箱	13	20	0		1000																																																																																		
																																																																																								
20	命运宝箱	5	20		9099																																																																																			
21	命运宝箱	5	20		9110																																																																																			
22	命运宝箱	5	20		9112																																																																																			
23	命运宝箱	5	20		9114																																																																																			
24	命运宝箱	5	20		9115																																																																																			
25	命运宝箱	5	20		9116																																																																																			
