rangeId	mapId	bornmapgxbegin	bornmapgxend	bornmapgybegin	bornmapgyend
区域ID\n要求ID唯一	地图ID	坐标X最小值	坐标X最大值	坐标Y最小值	坐标Y最大值
1	01_SXFD_shenxianfudi	1356	2107	1437	1725
2	01_SXFD_shenxianfudi	334	1207	865	1233
3	01_SXFD_shenxianfudi	1250	2166	950	1428
4	01_SXFD_shenxianfudi	1700	1700	1170	1170
5	01_SXFD_shenxianfudi	540	933	76	242
6	01_SXFD_shenxianfudi	74	647	300	511
7	01_SXFD_shenxianfudi	66	392	1195	1353
8	01_SXFD_shenxianfudi	248	872	888	1175
9	01_SXFD_shenxianfudi	524	1437	557	1146
10	01_SXFD_shenxianfudi	1081	1661	486	1065
11	01_SXFD_shenxianfudi	1964	2325	137	393
12	01_SXFD_shenxianfudi	2347	2907	74	201
13	01_SXFD_shenxianfudi	2636	3095	173	660
14	01_SXFD_shenxianfudi	2415	2909	1802	2198
15	01_SXFD_shenxianfudi	101	605	1733	1973
16	01_SXFD_shenxianfudi	260	873	1750	2171
17	01_SXFD_shenxianfudi	619	1270	1948	2215
18	01_SXFD_shenxianfudi	1671	2302	1388	1764
19	01_SXFD_shenxianfudi	1924	2519	1049	1559
20	01_SXFD_shenxianfudi	2616	2935	1102	1350
21	01_SXFD_shenxianfudi	1780	2502	887	1262
22	01_SXFD_shenxianfudi	1134	1672	460	908
					
101	01_DLD_daluandou	200	945	137	396
102	01_DLD_daluandou	266	1113	611	865
103	01_DLD_daluandou	232	1035	1150	1408
104	01_DLD_daluandou	1436	1793	303	818
105	01_DLD_daluandou	926	1725	759	1130
					
201	01_dss_dashisai	1356	2107	1437	1725
202	01_dss_dashisai	334	1207	865	1233
203	01_dss_dashisai	1250	2166	950	1428
204	01_dss_dashisai	1700	1700	1170	1170
205	01_dss_dashisai	540	933	76	242
206	01_dss_dashisai	74	647	300	511
207	01_dss_dashisai	66	392	1195	1353
208	01_dss_dashisai	248	872	888	1175
209	01_dss_dashisai	524	1437	557	1146
210	01_dss_dashisai	1081	1661	486	1065
211	01_dss_dashisai	1964	2325	137	393
212	01_dss_dashisai	2347	2907	74	201
213	01_dss_dashisai	2636	3095	173	660
214	01_dss_dashisai	2415	2909	1802	2198
215	01_dss_dashisai	101	605	1733	1973
216	01_dss_dashisai	260	873	1750	2171
217	01_dss_dashisai	619	1270	1948	2215
218	01_dss_dashisai	1671	2302	1388	1764
219	01_dss_dashisai	1924	2519	1049	1559
220	01_dss_dashisai	2616	2935	1102	1350
221	01_dss_dashisai	1780	2502	887	1262
222	01_dss_dashisai	1134	1672	460	908
