id	name	imageId	refreshInteval	unique	masterId	desc	awardsId1	num1	prob1	awardsId2	num2	prob2	awardsId3	num3	prob3
采集点ID	采集点名称		刷新时间	是否唯一	触发任务id										
quest001	帝国简史	0	1	0	308										
quest104	水晶原矿	12	1	0	316										
quest003	阿尼玛	10	1	0	338										
quest002	战意矿石	14	1	0	343										
quest004	白蔷薇	0	1	0	349										
quest005	白骨	0	1	0	344										
quest006	榴莲花	1	1	0	19										
quest007	轩辕精华	6	1	0	1544										
quest008	丧尸草	1	1	0	1536										
quest009	仙药	0	1	0	508										
quest010	石苔	14	1	0	331										
quest011	青木草	10	1	0	531										
quest012	七星海棠	0	1	0	539										
quest013	仙药	0	1	0	1008										
quest014	石苔	14	1	0	1016										
quest015	青木草	10	1	0	1031										
quest016	七星海棠	0	1	0	1039										
quest017	巨鹿采集点17号	0	1	0	13003										
quest018	轩辕洞采集点18号	0	1	0	13008										
quest019	蚩尤采集点19号	0	1	0	13013										
quest020	南疆点20号	0	1	0	13018										
quest021	孟津集点21号	0	1	0	13023										
quest101	精魄残渣	0	6	0	10007										
quest102	精魄残渣	0	6	0	10008										
quest103	精魄残渣	0	6	0	10009										
quest105	化形草	0	1	0	303										
quest106	古墓之灵	1	1	0	1583										
quest107	迷仙草	0	1	0	1618										
quest108	迷仙草	10	1	0	1635										
quest109	阵灵	6	1	0	1639										
quest110	灵芝草	0	1	0	1645										
quest111	墨间石	14	1	0	1652										
quest112	黄连素	0	1	0	1669										
quest113	玄天石	14	1	0	1677										
quest114	人参	0	1	0	1703										
quest115	人参果	1	1	0	1686										
quest116	灵珠草	0	1	0	1725										
quest117	黄莲	1	1	0	1747										
quest118	风珠	13	1	0	1686										
quest119	生姜	0	1	0	1766										
quest120	百年人参	1	1	0	1783										
quest121	莲叶	10	1	0	1796										
quest122	岐黄草	0	1	0	1806										
quest123	古木灯	0	1	0	1813										
quest124	离火草	0	1	0	1818										
quest125	古纹碎片	0	1	0	1837										
quest126	水凌心	0	1	0	1858										
quest127	化石膏	0	1	0	1871										
quest128	水灵之魂	0	1	0	1879										
quest129	龙灵草	0	1	0	1890										
quest130	枯木	0	1	0	1899										
quest131	枯木	0	1	0	3										
															
															
quest300	神界精魄	0	1	1											
quest301	人界精魄	0	1	1											
quest302	妖界精魄	0	1	1											
quest200	霸王仙草	0	1	0											
quest201	白毛杜鹃	0	1	0											
quest202	白云玉	13	1	0											
quest203	紫玉百合	0	1	0	5501										
quest204	橙红石	13	1	0	5523										
quest205	八角金盘	0	1	0	5512										
quest206	白鹤魔芋	0	1	0	5502										
quest207	黑沉砂	0	1	0	5524										
quest208	金晶矿	13	1	0	5513										
quest209	红榴石 	12	1	0	5503										
quest210	蔷薇石 	12	1	0	5525										
quest211	叶蜡石 	12	1	0	5514										
quest212	长石 	12	1	0	5504										
quest213	霞石 	12	1	0	5526										
quest214	透辉石 	12	1	0	5515										
quest215	黑曜石 	12	1	0	5505										
quest216	火玛瑙 	12	1	0	5527										
quest217	匀净赤石 	12	1	0	5516										
quest218	火云石 	12	1	0	5506										
quest219	火元晶 	12	1	0	5528										
quest220	朱雀神石 	12	1	0	5517										
quest221	石英石 	12	1	0	5507										
quest222	尖晶石 	12	1	0	5529										
quest223	锆石 	12	1	0	5518										
quest224	方玉石 	12	1	0	5508										
quest225	重晶石 	12	1	0	5530										
quest226	琥珀 	12	1	0	5519										
quest227	青金石 	12	1	0	5509										
quest228	玄禁石 	12	1	0	5531										
quest229	冰洲石 	12	1	0	5520										
quest230	玄珠 	12	1	0	5510										
quest231	金刚晶 	12	1	0	5532										
quest232	白虎神石 	12	1	0	5521										
quest233	水晶 	12	1	0	5511										
quest234	冰长石 	12	1	0	5533										
quest235	月长石 	12	1	0	5522										
quest236	芒硝石 	12	1	0											
quest237	蓝石 	12	1	0											
quest238	珍珠石 	12	1	0											
quest239	珊瑚 	12	1	0											
quest240	海玛瑙 	12	1	0											
quest241	大泽神砂 	12	1	0											
quest242	玄冰精髓 	12	1	0											
quest243	水云晶 	12	1	0											
quest244	玄武神石 	12	1	0											
quest245	祖母绿 	12	1	0											
quest246	孔雀石 	12	1	0											
quest247	绿松石 	12	1	0											
quest248	葡萄石 	12	1	0											
quest249	橄榄石 	12	1	0											
quest250	萤石 	12	1	0											
quest251	毒重石 	12	1	0											
quest252	天青石 	12	1	0											
quest253	辉绿石 	12	1	0											
quest254	磷页石 	12	1	0											
quest255	木魂晶 	12	1	0											
quest256	青龙神石 	12	1	0											
															
quest257	铁矿	14	1	0	11058										
quest258	铁矿	14	1	0	11068										
quest259	铁矿	14	1	0	11078										
quest260	铁矿	14	1	0	11088										
quest261	铁矿	14	1	0	11098										
quest262	铁矿	14	1	0	11108										
quest263	铁矿	14	1	0	11118										
quest264	铁矿	14	1	0	11128										
quest265	铁矿	14	1	0	11138										
quest266	铁矿	14	1	0	11148										
quest267	铁矿	14	1	0	11158										
quest268	铁矿	14	1	0	11168										
quest269	铁矿	14	1	0	11178										
quest270	铁矿	14	1	0	11188										
quest271	铁矿	14	1	0	11198										
quest272	铁矿	14	1	0	11208										
quest273	硝石矿	12	1	0	11054										
quest274	硝石矿	12	1	0	11064										
quest275	硝石矿	12	1	0	11074										
quest276	硝石矿	12	1	0	11084										
quest277	硝石矿	12	1	0	11094										
quest278	硝石矿	12	1	0	11104										
quest279	硝石矿	12	1	0	11114										
quest280	硝石矿	12	1	0	11124										
quest281	硝石矿	12	1	0	11134										
quest282	硝石矿	12	1	0	11144										
quest283	硝石矿	12	1	0	11154										
quest284	硝石矿	12	1	0	11164										
quest285	硝石矿	12	1	0	11174										
quest286	硝石矿	12	1	0	11184										
quest287	硝石矿	12	1	0	11194										
quest288	硝石矿	12	1	0	11204										
quest289	河蟹	8	10	0	11212		9629	1	60	9630	1	10	9013	1	30
quest290	老鼠洞	15	10	0	11221		73976	1	60	9013	1	40			
