绿色	蓝色	紫色	金色	橙色
八荒	八荒	八荒	八荒	八荒
0	0	0	0	0
6000540				
6000541				
6000542				
6000543				
6000544				
6000545				
6000546				
6000547				
6000548				
6000551				
6000552				
				
6000579	6001079			
6000580	6001080			
6000581	6001081			
6000582	6001082			
6000583	6001083			
6000584	6001084			
6000585	6001085			
6000586	6001086			
6000587	6001087			
6000590	6001090			
6000591	6001091			
				
6000618	6001118	6001618		
6000619	6001119	6001619		
6000620	6001120	6001620		
6000621	6001121	6001621		
6000622	6001122	6001622		
6000623	6001123	6001623		
6000624	6001124	6001624		
6000625	6001125	6001625		
6000626	6001126	6001626		
6000629	6001129	6001629		
6000630	6001130	6001630		
				
6000657	6001157	6001657	6002157	
6000658	6001158	6001658	6002158	
6000659	6001159	6001659	6002159	
6000660	6001160	6001660	6002160	
6000661	6001161	6001661	6002161	
6000662	6001162	6001662	6002162	
6000663	6001163	6001663	6002163	
6000664	6001164	6001664	6002164	
6000665	6001165	6001665	6002165	
6000668	6001168	6001668	6002168	
6000669	6001169	6001669	6002169	
				
6000696	6001196	6001696	6002196	6002696
6000697	6001197	6001697	6002197	6002697
6000698	6001198	6001698	6002198	6002698
6000699	6001199	6001699	6002199	6002699
6000700	6001200	6001700	6002200	6002700
6000701	6001201	6001701	6002201	6002701
6000702	6001202	6001702	6002202	6002702
6000703	6001203	6001703	6002203	6002703
6000704	6001204	6001704	6002204	6002704
6000707	6001207	6001707	6002207	6002707
6000708	6001208	6001708	6002208	6002708
6000735	6001235	6001735	6002235	6002735
6000736	6001236	6001736	6002236	6002736
6000737	6001237	6001737	6002237	6002737
6000738	6001238	6001738	6002238	6002738
6000739	6001239	6001739	6002239	6002739
6000740	6001240	6001740	6002240	6002740
6000741	6001241	6001741	6002241	6002741
6000742	6001242	6001742	6002242	6002742
6000743	6001243	6001743	6002243	6002743
6000746	6001246	6001746	6002246	6002746
6000747	6001247	6001747	6002247	6002747
