groupId	itemId1	num1	weight1	bindType1	itemId2	num2	weight2	bindType2	itemId3	num3	weight3	bindType3	itemId4	num4	weight4	bindType4	itemId5	num5	weight5	bindType5	itemId6	num6	weight6	bindType6	itemId7	num7	weight7	bindType7	itemId8	num8	weight8	bindType8	itemId9	num9	weight9	bindType9	itemId10	num10	weight10	bindType10
掉落组id	掉落物品ID1	掉落数量	权重1	绑定类型1	掉落物品ID2	掉落数量	权重2	绑定类型2	掉落物品ID3	掉落数量	权重3	绑定类型3	掉落物品ID4	掉落数量	权重4	绑定类型4	掉落物品ID5	掉落数量	权重5	绑定类型5	掉落物品ID6	掉落数量	权重6	绑定类型6	掉落物品ID7	掉落数量	权重7	绑定类型7	掉落物品ID8	掉落数量	权重8	绑定类型8	掉落物品ID9	掉落数量	权重9	绑定类型8	掉落物品ID10	掉落数量	权重10	绑定类型10
1011	73901	2	2	1	73901	4	2	1	73901	6	2	1	73901	8	2	1	73901	10	2	1	73901	12	1	1	73901	14	1	1	73901	16	1	1	73901	18	1	1	73901	20	1	1
1012	73901	2	2	1	73901	4	2	1	73901	6	2	1	73901	8	2	1	73901	10	2	1	73901	12	1	1	73901	14	1	1	73901	16	1	1	73901	18	1	1	73901	20	0	1
1013	73901	2	2	1	73901	4	2	1	73901	6	2	1	73901	8	2	1	73901	10	2	1	73901	12	1	1	73901	14	1	1	73901	16	1	1	73901	18	0	1	73901	20	0	1
1014	73901	2	2	1	73901	4	2	1	73901	6	2	1	73901	8	2	1	73901	10	2	1	73901	12	1	1	73901	14	1	1	73901	16	0	1	73901	18	0	1	73901	20	0	1
1015	73901	2	2	1	73901	4	2	1	73901	6	2	1	73901	8	2	1	73901	10	2	1	73901	12	1	1	73901	14	0	1	73901	16	0	1	73901	18	0	1	73901	20	0	1
1016	73901	2	2	1	73901	4	2	1	73901	6	2	1	73901	8	2	1	73901	10	2	1	73901	12	0	1	73901	14	0	1	73901	16	0	1	73901	18	0	1	73901	20	0	1
1021	77779	2	2	1	77777	5	2	1	71034	1	2	1	20001	1	2	1	20002	1	2	1	9231	1	2	1	70031	1	2	1	70061	1	2	1	20003	1	1	1	9231	2	1	1
1022	77779	2	2	1	77777	5	2	1	71034	1	2	1	20001	1	2	1	20002	1	2	1	9231	1	2	1	70031	1	2	1	70061	1	2	1	20003	1	1	1	9231	2	1	1
1023	77779	2	2	1	77777	5	2	1	71034	1	2	1	20001	1	2	1	20002	1	2	1	9231	1	2	1	70031	1	2	1	70061	1	2	1	20003	1	1	1	9231	2	1	1
