gateId	order	goodsId	num
关卡Id	第几张牌	道具ID	道具数量
FBshenxiaodian1	1	77781	1
FBshenxiaodian1	2	77781	2
FBshenxiaodian1	3	77781	4
FBshenxiaodian1	4	77781	8
FBqingxiaodian2	1	77781	1
FBqingxiaodian2	2	77781	2
FBqingxiaodian2	3	77781	4
FBqingxiaodian2	4	77781	8
FBbixiaodian3	1	77781	1
FBbixiaodian3	2	77781	2
FBbixiaodian3	3	77781	4
FBbixiaodian3	4	77781	8
FBdanxiaodian4	1	77781	1
FBdanxiaodian4	2	77781	2
FBdanxiaodian4	3	77781	4
FBdanxiaodian4	4	77781	8
FBjingxiaodian5	1	77781	1
FBjingxiaodian5	2	77781	2
FBjingxiaodian5	3	77781	4
FBjingxiaodian5	4	77781	8
FByuxiaodian6	1	77781	1
FByuxiaodian6	2	77781	2
FByuxiaodian6	3	77781	4
FByuxiaodian6	4	77781	8
FBzhenxiaodian7	1	77781	1
FBzhenxiaodian7	2	77781	2
FBzhenxiaodian7	3	77781	4
FBzhenxiaodian7	4	77781	8
FBzixiaodian8	1	77781	1
FBzixiaodian8	2	77781	2
FBzixiaodian8	3	77781	4
FBzixiaodian8	4	77781	8
FBtaixiaodian9	1	77781	1
FBtaixiaodian9	2	77781	2
FBtaixiaodian9	3	77781	4
FBtaixiaodian9	4	77781	8
