copyId	fallGoodsId
副本id	掉落物品id
1	71009
1	71011
1	71001
1	71073
1	71002
1	71003
1	72001
1	71004
1	9170
1	190001
1	70012
1	70041
1	9231
1	77777
1	77780
1	71033
1	70061
1	70051
2	71011
3	71009
3	71010
4	70041
4	70042
4	70014
4	70013
4	70012
4	70033
4	70032
4	70031
4	70003
4	70002
4	70001
5	71001
5	71073
5	71002
5	71003
5	71004
6	71002
6	71003
6	71001
6	71073
6	71004
7	70071
7	70041
7	70042
7	70031
9	71009
9	71011
16	71009
10	71009
11	71009
12	71009
13	71009
14	71009
17	71009
18	71009
19	71009
20	71009
21	71009
22	71009
23	71009
24	71009
17	71011
18	71011
19	71011
20	71011
21	71011
22	71011
23	71011
24	71011
10	71011
11	71011
12	71011
13	71011
14	71011
36	70041
36	70051
36	72001
36	72004
42	71016
42	71020
42	73962
42	73963
43	73968
44	71009
46	6010309
