mapId	jumpX	jumpY	toMapId	toX	toY	npcX	npcY	npcId
地图ID	传送点X	传送点Y	目标地图	目标X	目标Y	NpcX座标	npcY座标	npcId
01_FBSXD1_a	255	186	02_FBSXD1_b	1301	793			
02_FBSXD1_b	255	186	03_FBSXD1_c	1301	793			
03_FBSXD1_c	255	186	04_FBSXD1_d	1301	793			
04_FBSXD1_d	255	186	05_FBSXD1_e	1301	793			
05_FBSXD1_e	255	186	06_FBSXD1_f	1301	793			
06_FBSXD1_f	255	186	07_FBSXD1_g	1301	793			
07_FBSXD1_g	255	186	08_FBSXD1_h	1301	793			
08_FBSXD1_h	255	186	09_FBSXD1_i	1301	793			
09_FBSXD1_i	255	186	01_CG_zhucheng	1954	1327			
01_FBQXD2_a	95	165	02_FBQXD2_b	1465	916			
02_FBQXD2_b	95	165	03_FBQXD2_c	1465	916			
03_FBQXD2_c	95	165	04_FBQXD2_d	1465	916			
04_FBQXD2_d	95	165	05_FBQXD2_e	1465	916			
05_FBQXD2_e	95	165	06_FBQXD2_f	1465	916			
06_FBQXD2_f	95	165	07_FBQXD2_g	1465	916			
07_FBQXD2_g	95	165	08_FBQXD2_h	1465	916			
08_FBQXD2_h	95	165	09_FBQXD2_i	1465	916			
09_FBQXD2_i	95	165	01_CG_zhucheng	1954	1327			
01_FBBXD3_a	284	363	02_FBBXD3_b	1455	1047			
02_FBBXD3_b	284	363	03_FBBXD3_c	1455	1047			
03_FBBXD3_c	284	363	04_FBBXD3_d	1455	1047			
04_FBBXD3_d	284	363	05_FBBXD3_e	1455	1047			
05_FBBXD3_e	284	363	06_FBBXD3_f	1455	1047			
06_FBBXD3_f	284	363	07_FBBXD3_g	1455	1047			
07_FBBXD3_g	284	363	08_FBBXD3_h	1455	1047			
08_FBBXD3_h	284	363	09_FBBXD3_i	1455	1047			
09_FBBXD3_i	886	687	01_CG_zhucheng	1954	1327			
01_FBDXD4_a	206	218	02_FBDXD4_b	1413	865			
02_FBDXD4_b	206	218	03_FBDXD4_c	1413	865			
03_FBDXD4_c	206	218	04_FBDXD4_d	1413	865			
04_FBDXD4_d	206	218	05_FBDXD4_e	1413	865			
05_FBDXD4_e	206	218	06_FBDXD4_f	1413	865			
06_FBDXD4_f	206	218	07_FBDXD4_g	1413	865			
07_FBDXD4_g	206	218	08_FBDXD4_h	1413	865			
08_FBDXD4_h	206	218	09_FBDXD4_i	1413	865			
09_FBDXD4_i	206	218	01_CG_zhucheng	1954	1327			
01_FBJXD5_a	183	116	02_FBJXD5_b	1380	899			
02_FBJXD5_b	183	116	03_FBJXD5_c	1380	899			
03_FBJXD5_c	183	116	04_FBJXD5_d	1380	899			
04_FBJXD5_d	183	116	05_FBJXD5_e	1380	899			
05_FBJXD5_e	183	116	06_FBJXD5_f	1380	899			
06_FBJXD5_f	183	116	07_FBJXD5_g	1380	899			
07_FBJXD5_g	183	116	08_FBJXD5_h	1380	899			
08_FBJXD5_h	183	116	09_FBJXD5_i	1380	899			
09_FBJXD5_i	183	116	01_CG_zhucheng	1954	1327			
01_FBYXD6_a	679	532	02_FBYXD6_b	1299	847			
02_FBYXD6_b	679	532	03_FBYXD6_c	1299	847			
03_FBYXD6_c	679	532	04_FBYXD6_d	1299	847			
04_FBYXD6_d	679	532	05_FBYXD6_e	1299	847			
05_FBYXD6_e	679	532	06_FBYXD6_f	1299	847			
06_FBYXD6_f	679	532	07_FBYXD6_g	1299	847			
07_FBYXD6_g	679	532	08_FBYXD6_h	1299	847			
08_FBYXD6_h	679	532	09_FBYXD6_i	1299	847			
09_FBYXD6_i	679	532	01_CG_zhucheng	1954	1327			
01_FBZXD7_a	118	261	02_FBZXD7_b	1440	1051			
02_FBZXD7_b	118	261	03_FBZXD7_c	1440	1051			
03_FBZXD7_c	118	261	04_FBZXD7_d	1440	1051			
04_FBZXD7_d	118	261	05_FBZXD7_e	1440	1051			
05_FBZXD7_e	118	261	06_FBZXD7_f	1440	1051			
06_FBZXD7_f	118	261	07_FBZXD7_g	1440	1051			
07_FBZXD7_g	118	261	08_FBZXD7_h	1440	1051			
08_FBZXD7_h	118	261	09_FBZXD7_i	1440	1051			
09_FBZXD7_i	118	261	01_CG_zhucheng	1954	1327			
01_FBZXD8_a	78	209	02_FBZXD8_b	1432	1080			
02_FBZXD8_b	78	209	03_FBZXD8_c	1432	1080			
03_FBZXD8_c	78	209	04_FBZXD8_d	1432	1080			
04_FBZXD8_d	78	209	05_FBZXD8_e	1432	1080			
05_FBZXD8_e	78	209	06_FBZXD8_f	1432	1080			
06_FBZXD8_f	78	209	07_FBZXD8_g	1432	1080			
07_FBZXD8_g	78	209	08_FBZXD8_h	1432	1080			
08_FBZXD8_h	78	209	09_FBZXD8_i	1432	1080			
09_FBZXD8_i	78	209	01_CG_zhucheng	1954	1327			
01_FBTXD9_a	241	319	02_FBTXD9_b	1430	1052			
02_FBTXD9_b	241	319	03_FBTXD9_c	1430	1052			
03_FBTXD9_c	241	319	04_FBTXD9_d	1430	1052			
04_FBTXD9_d	241	319	05_FBTXD9_e	1430	1052			
05_FBTXD9_e	241	319	06_FBTXD9_f	1430	1052			
06_FBTXD9_f	241	319	07_FBTXD9_g	1430	1052			
07_FBTXD9_g	241	319	08_FBTXD9_h	1430	1052			
08_FBTXD9_h	241	319	09_FBTXD9_i	1430	1052			
09_FBTXD9_i	241	319	01_CG_zhucheng	1954	1327			
