mapId	scoreType	exp	silverMoney	bindGold	goodsId1	num1	bindType1	goodsId2	num2	bindType2	goodsId3	num3	bindType3	goodsId4	num4	bindType4	goodsId5	num5	bindType5	goodsId6	num6	bindType6	goodsId7	num7	bindType7	goodsId8	num8	bindType8	goodsId9	num9	bindType9	goodsId10	num10	bindType10
地图ID	评分等级	关卡奖励经验	关卡奖励金钱	关卡奖励绑金	关卡奖励物品	关卡奖励物品数量	物品1是否绑定	关卡奖励物品	关卡奖励物品数量	物品2是否绑定	关卡奖励物品	关卡奖励物品数量	物品3是否绑定	关卡奖励物品	关卡奖励物品数量	物品4是否绑定	关卡奖励物品	关卡奖励物品数量	物品5是否绑定	关卡奖励物品	关卡奖励物品数量	物品6是否绑定	关卡奖励物品	关卡奖励物品数量	物品7是否绑定	关卡奖励物品	关卡奖励物品数量	物品8是否绑定	关卡奖励物品	关卡奖励物品数量	物品9是否绑定	关卡奖励物品	关卡奖励物品数量	物品10是否绑定
01_FBSXD1_a	1				9025	1	1																											
01_FBSXD1_a	2				9026	1	1																											
01_FBSXD1_a	3				9027	1	1																											
01_FBSXD1_a	4				9028	1	1																											
01_FBSXD1_a	5				9029	1	1																											
01_FBSXD1_a	6				9030	1	1																											
02_FBSXD1_b	1				9025	1	1																											
02_FBSXD1_b	2				9026	1	1																											
02_FBSXD1_b	3				9027	1	1																											
02_FBSXD1_b	4				9028	1	1																											
02_FBSXD1_b	5				9029	1	1																											
02_FBSXD1_b	6				9030	1	1																											
03_FBSXD1_c	1				9025	1	1																											
03_FBSXD1_c	2				9026	1	1																											
03_FBSXD1_c	3				9027	1	1																											
03_FBSXD1_c	4				9028	1	1																											
03_FBSXD1_c	5				9029	1	1																											
03_FBSXD1_c	6				9030	1	1																											
04_FBSXD1_d	1				9025	1	1																											
04_FBSXD1_d	2				9026	1	1																											
04_FBSXD1_d	3				9027	1	1																											
04_FBSXD1_d	4				9028	1	1																											
04_FBSXD1_d	5				9029	1	1																											
04_FBSXD1_d	6				9030	1	1																											
05_FBSXD1_e	1				9025	1	1																											
05_FBSXD1_e	2				9026	1	1																											
05_FBSXD1_e	3				9027	1	1																											
05_FBSXD1_e	4				9028	1	1																											
05_FBSXD1_e	5				9029	1	1																											
05_FBSXD1_e	6				9030	1	1																											
06_FBSXD1_f	1				9025	1	1																											
06_FBSXD1_f	2				9026	1	1																											
06_FBSXD1_f	3				9027	1	1																											
06_FBSXD1_f	4				9028	1	1																											
06_FBSXD1_f	5				9029	1	1																											
06_FBSXD1_f	6				9030	1	1																											
07_FBSXD1_g	1				9025	1	1																											
07_FBSXD1_g	2				9026	1	1																											
07_FBSXD1_g	3				9027	1	1																											
07_FBSXD1_g	4				9028	1	1																											
07_FBSXD1_g	5				9029	1	1																											
07_FBSXD1_g	6				9030	1	1																											
08_FBSXD1_h	1				9025	1	1																											
08_FBSXD1_h	2				9026	1	1																											
08_FBSXD1_h	3				9027	1	1																											
08_FBSXD1_h	4				9028	1	1																											
08_FBSXD1_h	5				9029	1	1																											
08_FBSXD1_h	6				9030	1	1																											
09_FBSXD1_i	1				9025	1	1																											
09_FBSXD1_i	2				9026	1	1																											
09_FBSXD1_i	3				9027	1	1																											
09_FBSXD1_i	4				9028	1	1																											
09_FBSXD1_i	5				9029	1	1																											
09_FBSXD1_i	6				9030	1	1																											
01_FBQXD2_a	1				9031	1	1																											
01_FBQXD2_a	2				9032	1	1																											
01_FBQXD2_a	3				9033	1	1																											
01_FBQXD2_a	4				9034	1	1																											
01_FBQXD2_a	5				9035	1	1																											
01_FBQXD2_a	6				9036	1	1																											
02_FBQXD2_b	1				9031	1	1																											
02_FBQXD2_b	2				9032	1	1																											
02_FBQXD2_b	3				9033	1	1																											
02_FBQXD2_b	4				9034	1	1																											
02_FBQXD2_b	5				9035	1	1																											
02_FBQXD2_b	6				9036	1	1																											
03_FBQXD2_c	1				9031	1	1																											
03_FBQXD2_c	2				9032	1	1																											
03_FBQXD2_c	3				9033	1	1																											
03_FBQXD2_c	4				9034	1	1																											
03_FBQXD2_c	5				9035	1	1																											
03_FBQXD2_c	6				9036	1	1																											
04_FBQXD2_d	1				9031	1	1																											
04_FBQXD2_d	2				9032	1	1																											
04_FBQXD2_d	3				9033	1	1																											
04_FBQXD2_d	4				9034	1	1																											
04_FBQXD2_d	5				9035	1	1																											
04_FBQXD2_d	6				9036	1	1																											
05_FBQXD2_e	1				9031	1	1																											
05_FBQXD2_e	2				9032	1	1																											
05_FBQXD2_e	3				9033	1	1																											
05_FBQXD2_e	4				9034	1	1																											
05_FBQXD2_e	5				9035	1	1																											
05_FBQXD2_e	6				9036	1	1																											
06_FBQXD2_f	1				9031	1	1																											
06_FBQXD2_f	2				9032	1	1																											
06_FBQXD2_f	3				9033	1	1																											
06_FBQXD2_f	4				9034	1	1																											
06_FBQXD2_f	5				9035	1	1																											
06_FBQXD2_f	6				9036	1	1																											
07_FBQXD2_g	1				9031	1	1																											
07_FBQXD2_g	2				9032	1	1																											
07_FBQXD2_g	3				9033	1	1																											
07_FBQXD2_g	4				9034	1	1																											
07_FBQXD2_g	5				9035	1	1																											
07_FBQXD2_g	6				9036	1	1																											
08_FBQXD2_h	1				9031	1	1																											
08_FBQXD2_h	2				9032	1	1																											
08_FBQXD2_h	3				9033	1	1																											
08_FBQXD2_h	4				9034	1	1																											
08_FBQXD2_h	5				9035	1	1																											
08_FBQXD2_h	6				9036	1	1																											
09_FBQXD2_i	1				9031	1	1																											
09_FBQXD2_i	2				9032	1	1																											
09_FBQXD2_i	3				9033	1	1																											
09_FBQXD2_i	4				9034	1	1																											
09_FBQXD2_i	5				9035	1	1																											
09_FBQXD2_i	6				9036	1	1																											
01_FBBXD3_a	1				9037	1	1																											
01_FBBXD3_a	2				9038	1	1																											
01_FBBXD3_a	3				9039	1	1																											
01_FBBXD3_a	4				9040	1	1																											
01_FBBXD3_a	5				9041	1	1																											
01_FBBXD3_a	6				9042	1	1																											
02_FBBXD3_b	1				9037	1	1																											
02_FBBXD3_b	2				9038	1	1																											
02_FBBXD3_b	3				9039	1	1																											
02_FBBXD3_b	4				9040	1	1																											
