realmId	bossType	preBossType	timesLimit	mapId	mapX	mapY	baseTime	baseScore	limitTime	npcRuleId
境界id	boss类型	前提通关boss类型	每天挑战次数限制	挑战地图id	地图坐标x	地图坐标y	基础通关时间(秒)	基准分数	超时时间	刷怪规则
1	0	-1	20	xiuxian01	793	809	240	60	240	1776
1	1	0	20	xiuxian01	793	809	240	60	240	1777
1	2	1	20	xiuxian01	793	809	240	60	240	1778
2	0	-1	20	xiuxian02	793	809	240	60	240	1779
2	1	0	20	xiuxian02	793	809	240	60	240	1780
2	2	1	20	xiuxian02	793	809	240	60	240	1781
3	0	-1	20	xiuxian03	793	809	240	60	240	1782
3	1	0	20	xiuxian03	793	809	240	60	240	1783
3	2	1	20	xiuxian03	793	809	240	60	240	1784
4	0	-1	20	xiuxian04	762	606	240	60	240	1785
4	1	0	20	xiuxian04	762	606	240	60	240	1786
4	2	1	20	xiuxian04	762	606	240	60	240	1787
5	0	-1	20	xiuxian05	762	606	240	60	240	1788
5	1	0	20	xiuxian05	762	606	240	60	240	1789
5	2	1	20	xiuxian05	762	606	240	60	240	1790
6	0	-1	20	xiuxian06	762	606	240	60	240	1791
6	1	0	20	xiuxian06	762	606	240	60	240	1792
6	2	1	20	xiuxian06	762	606	240	60	240	1793
7	0	-1	20	xiuxian07	1354	832	240	60	240	1794
7	1	0	20	xiuxian07	1354	832	240	60	240	1795
7	2	1	20	xiuxian07	1354	832	240	60	240	1796
8	0	-1	20	xiuxian08	1354	832	240	60	240	1797
8	1	0	20	xiuxian08	1354	832	240	60	240	1798
8	2	1	20	xiuxian08	1354	832	240	60	240	1799
9	0	-1	20	xiuxian09	1354	832	240	60	240	1800
9	1	0	20	xiuxian09	1354	832	240	60	240	1801
9	2	1	20	xiuxian09	1354	832	240	60	240	1802
