realmId	level	name	lvUpRealmValue	attrType1	attrValue1	attrRate1	attrType2	attrValue2	attrRate2
境界id	等级	等级名称	等级提示真元值	附加属性1	附加属性值1	属性百分比	附加属性2	附加属性值2	属性百分比
1	0		85						
1	1	涌泉	130	8	290				
1	2	太溪	210	8	215		52	40	
1	3	昆仑	295	8	360		51	20	
1	4	解溪	380	8	505		55	40	
1	5	三阴交	550	8	650		50	40	
1	6	承山	630	8	940		52	165	
1	7	膝阳关	715	8	1085		51	60	
1	8	足三里	2395	8	1230		55	100	
1	9	委中	0	8	1805		50	105	
2	0		130						
2	1	承扶	210	8	435				
2	2	箕门	340	8	360		52	70	
2	3	血海	380	8	580		51	35	
2	4	阴廉	550	8	650		55	50	
2	5	八邪	715	8	940		50	50	
2	6	中渚	885	8	1230		52	235	
2	7	阳溪	1180	8	1520		51	90	
2	8	合谷	3025	8	2025		55	160	
2	9	腕骨	0	8	2890		50	160	
3	0		170						
3	1	内关	255	8	490				
3	2	青灵	590	8	370		52	65	
3	3	少海	715	8	860		51	45	
3	4	手三里	885	8	1040		55	80	
3	5	曲池	1050	8	1290		50	80	
3	6	曲泽	1220	8	1535		52	280	
3	7	尺泽	1390	8	1780		51	95	
3	8	巨骨	3150	8	2025		55	160	
3	9	长强	0	8	2635		50	160	
4	0		210						
4	1	肩井	380	8	520				
4	2	命门	675	8	470		52	85	
4	3	腰眼	800	8	835		51	45	
4	4	志室	1050	8	990		55	80	
4	5	胃仓	1305	8	1305		50	80	
4	6	肾俞	1555	8	1615		52	285	
4	7	意舍	1810	8	1930		51	105	
4	8	肝俞	3655	8	2240		55	175	
4	9	魂门	0	8	2865		50	175	
5	0		255						
5	1	脊中	465	8	570				
5	2	至阳	840	8	520		52	90	
5	3	天宗	1050	8	950		51	50	
5	4	风门	1305	8	1185		55	90	
5	5	大椎	1600	8	1470		50	95	
5	6	天枢	1850	8	1805		52	315	
5	7	关元	2145	8	2090		51	110	
5	8	带脉	3950	8	2420		55	185	
5	9	不容	0	8	2940		50	185	
6	0		295						
6	1	下脘	550	8	605				
6	2	中府	1010	8	560		52	100	
6	3	渊腋	1220	8	1035		51	55	
6	4	维道	1555	8	1250		55	100	
6	5	章门	1810	8	1595		50	100	
6	6	梁门	2145	8	1855		52	330	
6	7	急脉	2480	8	2200		51	115	
6	8	京门	4410	8	2545		55	200	
6	9	日月	0	8	3150		50	195	
7	0		340						
7	1	极泉	630	8	680				
7	2	步廊	1095	8	640		52	115	
7	3	期门	1390	8	1110		51	60	
7	4	腹哀	1725	8	1405		55	110	
7	5	气海	2060	8	1745		50	110	
7	6	膻中	2480	8	2085		52	370	
7	7	天突	2900	8	2515		51	135	
7	8	天鼎	4915	8	2940		55	225	
7	9	扶突	0	8	3620		50	225	
8	0		380						
8	1	人迎	715	8	760				
8	2	天柱	1260	8	720		52	125	
8	3	廉泉	1555	8	1270		51	70	
8	4	缺盆	1890	8	1565		55	120	
8	5	颈臂	2310	8	1905		50	120	
8	6	上廉泉	2730	8	2330		52	410	
8	7	脑户	3235	8	2750		51	145	
8	8	风池	5420	8	3260		55	250	
8	9	下关	0	8	4105		50	255	
9	0		420						
9	1	人中	800	8	840				
9	2	颊车	1390	8	800		52	145	
9	3	耳门	1680	8	1390		51	75	
9	4	晴明	2020	8	1680		55	135	
9	5	率谷	2440	8	2020		50	115	
9	6	听宫	2860	8	2440		52	450	
9	7	印堂	3360	8	2860		51	160	
9	8	太阳穴	6555	8	3365		55	275	
9	9	百会穴	0	8	5215		50	295	
