realmId	bossType	scoreType	realmValue
境界id	boss类型	奖励评级	奖励对应类型的真元值
1	0	1	20
1	0	2	20
1	0	3	10
1	0	4	10
1	0	5	5
1	0	6	5
1	1	1	20
1	1	2	20
1	1	3	10
1	1	4	10
1	1	5	5
1	1	6	5
1	2	1	20
1	2	2	20
1	2	3	10
1	2	4	10
1	2	5	5
1	2	6	5
2	0	1	20
2	0	2	20
2	0	3	10
2	0	4	10
2	0	5	5
2	0	6	5
2	1	1	20
2	1	2	20
2	1	3	10
2	1	4	10
2	1	5	5
2	1	6	5
2	2	1	20
2	2	2	20
2	2	3	10
2	2	4	10
2	2	5	5
2	2	6	5
3	0	1	20
3	0	2	20
3	0	3	10
3	0	4	10
3	0	5	5
3	0	6	5
3	1	1	20
3	1	2	20
3	1	3	10
3	1	4	10
3	1	5	5
3	1	6	5
3	2	1	20
3	2	2	20
3	2	3	10
3	2	4	10
3	2	5	5
3	2	6	5
4	0	1	20
4	0	2	20
4	0	3	10
4	0	4	10
4	0	5	5
4	0	6	5
4	1	1	20
4	1	2	20
4	1	3	10
4	1	4	10
4	1	5	5
4	1	6	5
4	2	1	20
4	2	2	20
4	2	3	10
4	2	4	10
4	2	5	5
4	2	6	5
5	0	1	20
5	0	2	20
5	0	3	10
5	0	4	10
5	0	5	5
5	0	6	5
5	1	1	20
5	1	2	20
5	1	3	10
5	1	4	10
5	1	5	5
5	1	6	5
5	2	1	20
5	2	2	20
5	2	3	10
5	2	4	10
5	2	5	5
5	2	6	5
6	0	1	20
6	0	2	20
6	0	3	10
6	0	4	10
6	0	5	5
6	0	6	5
6	1	1	20
6	1	2	20
6	1	3	10
6	1	4	10
6	1	5	5
6	1	6	5
6	2	1	20
6	2	2	20
6	2	3	10
6	2	4	10
6	2	5	5
6	2	6	5
7	0	1	20
7	0	2	20
7	0	3	10
7	0	4	10
7	0	5	5
7	0	6	5
7	1	1	20
7	1	2	20
7	1	3	10
7	1	4	10
7	1	5	5
7	1	6	5
7	2	1	20
7	2	2	20
7	2	3	10
7	2	4	10
7	2	5	5
7	2	6	5
8	0	1	20
8	0	2	20
8	0	3	10
8	0	4	10
8	0	5	5
8	0	6	5
8	1	1	20
8	1	2	20
8	1	3	10
8	1	4	10
8	1	5	5
8	1	6	5
8	2	1	20
8	2	2	20
8	2	3	10
8	2	4	10
8	2	5	5
8	2	6	5
9	0	1	20
9	0	2	20
9	0	3	10
9	0	4	10
9	0	5	5
9	0	6	5
9	1	1	20
9	1	2	20
9	1	3	10
9	1	4	10
9	1	5	5
9	1	6	5
9	2	1	20
9	2	2	20
9	2	3	10
9	2	4	10
9	2	5	5
9	2	6	5
