level	qualityType	addRate1	addRate2
强化等级\n（强化后）	装备品质	属性提升\n[10000=100%]	属性提升\n[10000=100%]
1	0	1000	1000
2	0	2000	2000
3	0	3000	3000
4	0	4000	4000
5	0	5000	5000
6	0	6500	6000
7	0	8000	7000
8	0	9500	8000
9	0	11000	9000
10	0	12500	10000
11	0	14500	11000
12	0	16500	12000
13	0	18500	13000
14	0	20500	14000
15	0	22500	15000
16	0	25000	16000
17	0	27500	17000
18	0	30000	18000
19	0	32500	19000
20	0	35000	20000
21	0	38000	21000
22	0	41000	22000
23	0	44000	23000
24	0	47000	24000
25	0	50000	25000
26	0	54000	26000
27	0	59000	27000
28	0	65000	28000
29	0	72000	29000
30	0	80000	30000
1	1	1000	1000
2	1	2000	2000
3	1	3000	3000
4	1	4000	4000
5	1	5000	5000
6	1	6500	6000
7	1	8000	7000
8	1	9500	8000
9	1	11000	9000
10	1	12500	10000
11	1	14500	11000
12	1	16500	12000
13	1	18500	13000
14	1	20500	14000
15	1	22500	15000
16	1	25000	16000
17	1	27500	17000
18	1	30000	18000
19	1	32500	19000
20	1	35000	20000
21	1	38000	21000
22	1	41000	22000
23	1	44000	23000
24	1	47000	24000
25	1	50000	25000
26	1	54000	26000
27	1	59000	27000
28	1	65000	28000
29	1	72000	29000
30	1	80000	30000
1	2	1000	1000
2	2	2000	2000
3	2	3000	3000
4	2	4000	4000
5	2	5000	5000
6	2	6500	6000
7	2	8000	7000
8	2	9500	8000
9	2	11000	9000
10	2	12500	10000
11	2	14500	11000
12	2	16500	12000
13	2	18500	13000
14	2	20500	14000
15	2	22500	15000
16	2	25000	16000
17	2	27500	17000
18	2	30000	18000
19	2	32500	19000
20	2	35000	20000
21	2	38000	21000
22	2	41000	22000
23	2	44000	23000
24	2	47000	24000
25	2	50000	25000
26	2	54000	26000
27	2	59000	27000
28	2	65000	28000
29	2	72000	29000
30	2	80000	30000
1	3	1000	1000
2	3	2000	2000
3	3	3000	3000
4	3	4000	4000
5	3	5000	5000
6	3	6500	6000
7	3	8000	7000
8	3	9500	8000
9	3	11000	9000
10	3	12500	10000
11	3	14500	11000
12	3	16500	12000
13	3	18500	13000
14	3	20500	14000
15	3	22500	15000
16	3	25000	16000
17	3	27500	17000
18	3	30000	18000
19	3	32500	19000
20	3	35000	20000
21	3	38000	21000
22	3	41000	22000
23	3	44000	23000
24	3	47000	24000
25	3	50000	25000
26	3	54000	26000
27	3	59000	27000
28	3	65000	28000
29	3	72000	29000
30	3	80000	30000
1	4	1000	1000
2	4	2000	2000
3	4	3000	3000
4	4	4000	4000
5	4	5000	5000
6	4	6500	6000
7	4	8000	7000
8	4	9500	8000
9	4	11000	9000
10	4	12500	10000
11	4	14500	11000
12	4	16500	12000
13	4	18500	13000
14	4	20500	14000
15	4	22500	15000
16	4	25000	16000
17	4	27500	17000
18	4	30000	18000
19	4	32500	19000
20	4	35000	20000
21	4	38000	21000
22	4	41000	22000
23	4	44000	23000
24	4	47000	24000
25	4	50000	25000
26	4	54000	26000
27	4	59000	27000
28	4	65000	28000
29	4	72000	29000
30	4	80000	30000
1	5	1000	1000
2	5	2000	2000
3	5	3000	3000
4	5	4000	4000
5	5	5000	5000
6	5	6500	6000
7	5	8000	7000
8	5	9500	8000
9	5	11000	9000
10	5	12500	10000
11	5	14500	11000
12	5	16500	12000
13	5	18500	13000
14	5	20500	14000
15	5	22500	15000
16	5	25000	16000
17	5	27500	17000
18	5	30000	18000
19	5	32500	19000
20	5	35000	20000
21	5	38000	21000
22	5	41000	22000
23	5	44000	23000
24	5	47000	24000
25	5	50000	25000
26	5	54000	26000
27	5	59000	27000
28	5	65000	28000
29	5	72000	29000
30	5	80000	30000
1	6	1000	1000
2	6	2000	2000
3	6	3000	3000
4	6	4000	4000
5	6	5000	5000
6	6	6500	6000
7	6	8000	7000
8	6	9500	8000
9	6	11000	9000
10	6	12500	10000
11	6	14500	11000
12	6	16500	12000
13	6	18500	13000
14	6	20500	14000
15	6	22500	15000
16	6	25000	16000
17	6	27500	17000
18	6	30000	18000
19	6	32500	19000
20	6	35000	20000
21	6	38000	21000
22	6	41000	22000
23	6	44000	23000
24	6	47000	24000
25	6	50000	25000
26	6	54000	26000
27	6	59000	27000
28	6	65000	28000
29	6	72000	29000
30	6	80000	30000
1	7	1000	1000
2	7	2000	2000
3	7	3000	3000
4	7	4000	4000
5	7	5000	5000
6	7	6500	6000
7	7	8000	7000
8	7	9500	8000
9	7	11000	9000
10	7	12500	10000
11	7	14500	11000
12	7	16500	12000
13	7	18500	13000
14	7	20500	14000
15	7	22500	15000
16	7	25000	16000
17	7	27500	17000
18	7	30000	18000
19	7	32500	19000
20	7	35000	20000
21	7	38000	21000
22	7	41000	22000
23	7	44000	23000
24	7	47000	24000
25	7	50000	25000
26	7	54000	26000
27	7	59000	27000
28	7	65000	28000
29	7	72000	29000
30	7	80000	30000
