0	帽子	level	qualityType	conditionType	material1	num1	material2	num2	material3	num3	gameMoney
1	项链	装备等级\n（升级前）	装备品质\n(升级前)	装备部位	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	游戏币
2	衣服	1	3	0	71073	1					1000
3	戒指	1	3	1	71073	1					1000
4	腰带	1	3	2	71073	1					1000
5	护手	1	3	3	71073	1					1000
6	裤子	1	3	4	71073	1					1000
7	武器	1	3	5	71001	1					1000
8	鞋子	1	3	6	71001	1					1000
9	手镯	1	3	7	71001	1					1000
		1	3	8	71001	1					1000
		1	3	9	71001	1					1000
		10	3	0	71073	1					1000
		10	3	1	71073	1					1000
		10	3	2	71073	1					1000
		10	3	3	71073	1					1000
		10	3	4	71073	1					1000
		10	3	5	71001	1					1000
		10	3	6	71001	1					1000
		10	3	7	71001	1					1000
		10	3	8	71001	1					1000
		10	3	9	71001	1					1000
		20	3	0	71073	1					1000
		20	3	1	71073	1					1000
		20	3	2	71073	1					1000
		20	3	3	71073	1					1000
		20	3	4	71073	1					1000
		20	3	5	71001	1					1000
		20	3	6	71001	1					1000
		20	3	7	71001	1					1000
		20	3	8	71001	1					1000
		20	3	9	71001	1					1000
		30	3	0	71073	1					1000
		30	3	1	71073	1					1000
		30	3	2	71073	1					1000
		30	3	3	71073	1					1000
		30	3	4	71073	1					1000
		30	3	5	71001	1					1000
		30	3	6	71001	1					1000
		30	3	7	71001	1					1000
		30	3	8	71001	1					1000
		30	3	9	71001	1					1000
		40	3	0	71073	1	71002	1			1000
		40	3	1	71073	1	71002	1			1000
		40	3	2	71073	1	71002	1			1000
		40	3	3	71073	1	71002	1			1000
		40	3	4	71073	1	71002	1			1000
		40	3	5	71001	1	71002	1			1000
		40	3	6	71001	1	71002	1			1000
		40	3	7	71001	1	71002	1			1000
		40	3	8	71001	1	71002	1			1000
		40	3	9	71001	1	71002	1			1000
		50	3	0	71073	1	71002	1	71003	1	1000
		50	3	1	71073	1	71002	1	71003	1	1000
		50	3	2	71073	1	71002	1	71003	1	1000
		50	3	3	71073	1	71002	1	71003	1	1000
		50	3	4	71073	1	71002	1	71003	1	1000
		50	3	5	71001	1	71002	1	71003	1	1000
		50	3	6	71001	1	71002	1	71003	1	1000
		50	3	7	71001	1	71002	1	71003	1	1000
		50	3	8	71001	1	71002	1	71003	1	1000
		50	3	9	71001	1	71002	1	71003	1	1000
		60	3	0	71073	1	71002	1	71003	1	1000
		60	3	1	71073	1	71002	1	71003	1	1000
		60	3	2	71073	1	71002	1	71003	1	1000
		60	3	3	71073	1	71002	1	71003	1	1000
		60	3	4	71073	1	71002	1	71003	1	1000
		60	3	5	71001	1	71002	1	71003	1	1000
		60	3	6	71001	1	71002	1	71003	1	1000
		60	3	7	71001	1	71002	1	71003	1	1000
		60	3	8	71001	1	71002	1	71003	1	1000
		60	3	9	71001	1	71002	1	71003	1	1000
		70	3	0	71073	1	71002	1	71003	1	1000
		70	3	1	71073	1	71002	1	71003	1	1000
		70	3	2	71073	1	71002	1	71003	1	1000
		70	3	3	71073	1	71002	1	71003	1	1000
		70	3	4	71073	1	71002	1	71003	1	1000
		70	3	5	71001	1	71002	1	71003	1	1000
		70	3	6	71001	1	71002	1	71003	1	1000
		70	3	7	71001	1	71002	1	71003	1	1000
		70	3	8	71001	1	71002	1	71003	1	1000
		70	3	9	71001	1	71002	1	71003	1	1000
		30	4	0	71073	42					5000
		30	4	1	71073	42					5000
		30	4	2	71073	42					5000
		30	4	3	71073	42					5000
		30	4	4	71073	42					5000
		30	4	5	71001	42					5000
		30	4	6	71001	42					5000
		30	4	7	71001	42					5000
		30	4	8	71001	42					5000
		30	4	9	71001	42					5000
		40	4	0	71073	42	71002	42			10000
		40	4	1	71073	42	71002	42			10000
		40	4	2	71073	42	71002	42			10000
		40	4	3	71073	42	71002	42			10000
		40	4	4	71073	42	71002	42			10000
		40	4	5	71001	42	71002	42			10000
		40	4	6	71001	42	71002	42			10000
		40	4	7	71001	42	71002	42			10000
		40	4	8	71001	42	71002	42			10000
		40	4	9	71001	42	71002	42			10000
		50	4	0	71073	42	71002	42	71003	42	20000
		50	4	1	71073	42	71002	42	71003	42	20000
		50	4	2	71073	42	71002	42	71003	42	20000
		50	4	3	71073	42	71002	42	71003	42	20000
		50	4	4	71073	42	71002	42	71003	42	20000
		50	4	5	71001	42	71002	42	71003	42	20000
		50	4	6	71001	42	71002	42	71003	42	20000
		50	4	7	71001	42	71002	42	71003	42	20000
		50	4	8	71001	42	71002	42	71003	42	20000
		50	4	9	71001	42	71002	42	71003	42	20000
		60	4	0	71073	42	71002	42	71003	42	40000
		60	4	1	71073	42	71002	42	71003	42	40000
		60	4	2	71073	42	71002	42	71003	42	40000
		60	4	3	71073	42	71002	42	71003	42	40000
		60	4	4	71073	42	71002	42	71003	42	40000
		60	4	5	71001	42	71002	42	71003	42	40000
		60	4	6	71001	42	71002	42	71003	42	40000
		60	4	7	71001	42	71002	42	71003	42	40000
		60	4	8	71001	42	71002	42	71003	42	40000
		60	4	9	71001	42	71002	42	71003	42	40000
		70	4	0	71073	42	71002	42	71003	42	50000
		70	4	1	71073	42	71002	42	71003	42	50000
		70	4	2	71073	42	71002	42	71003	42	50000
		70	4	3	71073	42	71002	42	71003	42	50000
		70	4	4	71073	42	71002	42	71003	42	50000
		70	4	5	71001	42	71002	42	71003	42	50000
		70	4	6	71001	42	71002	42	71003	42	50000
		70	4	7	71001	42	71002	42	71003	42	50000
		70	4	8	71001	42	71002	42	71003	42	50000
		70	4	9	71001	42	71002	42	71003	42	50000
		30	5	0	71073	42					10000
		30	5	1	71073	42					10000
		30	5	2	71073	42					10000
		30	5	3	71073	42					10000
		30	5	4	71073	42					10000
		30	5	5	71001	42					10000
		30	5	6	71001	42					10000
		30	5	7	71001	42					10000
		30	5	8	71001	42					10000
		30	5	9	71001	42					10000
		40	5	0	71073	42	71002	42			20000
		40	5	1	71073	42	71002	42			20000
		40	5	2	71073	42	71002	42			20000
		40	5	3	71073	42	71002	42			20000
		40	5	4	71073	42	71002	42			20000
		40	5	5	71001	42	71002	42			20000
		40	5	6	71001	42	71002	42			20000
		40	5	7	71001	42	71002	42			20000
		40	5	8	71001	42	71002	42			20000
		40	5	9	71001	42	71002	42			20000
		50	5	0	71073	42	71002	42	71003	42	40000
		50	5	1	71073	42	71002	42	71003	42	40000
		50	5	2	71073	42	71002	42	71003	42	40000
		50	5	3	71073	42	71002	42	71003	42	40000
		50	5	4	71073	42	71002	42	71003	42	40000
		50	5	5	71001	42	71002	42	71003	42	40000
		50	5	6	71001	42	71002	42	71003	42	40000
		50	5	7	71001	42	71002	42	71003	42	40000
		50	5	8	71001	42	71002	42	71003	42	40000
		50	5	9	71001	42	71002	42	71003	42	40000
		60	5	0	71073	42	71002	42	71003	42	80000
		60	5	1	71073	42	71002	42	71003	42	80000
		60	5	2	71073	42	71002	42	71003	42	80000
		60	5	3	71073	42	71002	42	71003	42	80000
		60	5	4	71073	42	71002	42	71003	42	80000
		60	5	5	71001	42	71002	42	71003	42	80000
		60	5	6	71001	42	71002	42	71003	42	80000
		60	5	7	71001	42	71002	42	71003	42	80000
		60	5	8	71001	42	71002	42	71003	42	80000
		60	5	9	71001	42	71002	42	71003	42	80000
		70	5	0	71073	42	71002	42	71003	42	100000
		70	5	1	71073	42	71002	42	71003	42	100000
		70	5	2	71073	42	71002	42	71003	42	100000
		70	5	3	71073	42	71002	42	71003	42	100000
		70	5	4	71073	42	71002	42	71003	42	100000
		70	5	5	71001	42	71002	42	71003	42	100000
		70	5	6	71001	42	71002	42	71003	42	100000
		70	5	7	71001	42	71002	42	71003	42	100000
		70	5	8	71001	42	71002	42	71003	42	100000
		70	5	9	71001	42	71002	42	71003	42	100000
