attrType	quality	minValue1	maxValue1	weight1	goldWeight1	minValue2	maxValue2	weight2	goldWeight2	minValue3	maxValue3	weight3	goldWeight3	minValue4	maxValue4	weight4	goldWeight4	minValue5	maxValue5	weight5	goldWeight5
属性类型	原装备品质	区间1下限	区间1上限	区间1权重	钻石权重1	区间2下限	区间2上限	区间2权重	钻石权重2	区间3下限	区间3上限	区间3权重	钻石权重3	区间4下限	区间4上限	区间4权重	钻石权重4	区间5下限	区间5上限	区间5权重	钻石权重5
50	3	200	250	300	200	251	300	300	300	301	350	300	200	351	400	100	270	500	500	10	30
51	3	120	150	300	200	151	180	300	300	181	210	300	200	211	240	100	270	300	300	10	30
8	3	2000	2500	300	200	2501	3000	300	300	3001	3500	300	200	3501	4000	100	270	5000	5000	10	30
9	3	1000	1250	300	200	1251	1500	300	300	1501	1750	300	200	1751	2000	100	270	2500	2500	10	30
60	3	80	100	300	200	101	120	300	300	121	140	300	200	141	160	100	270	200	200	10	30
61	3	80	100	300	200	101	120	300	300	121	140	300	200	141	160	100	270	200	200	10	30
62	3	80	100	300	200	101	120	300	300	121	140	300	200	141	160	100	270	200	200	10	30
63	3	80	100	300	200	101	120	300	300	121	140	300	200	141	160	100	270	200	200	10	30
52	3	400	500	300	200	501	600	300	300	601	700	300	200	701	800	100	270	1000	1000	10	30
53	3	400	500	300	200	501	600	300	300	601	700	300	200	701	800	100	270	1000	1000	10	30
54	3	400	500	300	200	501	600	300	300	601	700	300	200	701	800	100	270	1000	1000	10	30
56	3	240	300	300	200	301	360	300	300	361	420	300	200	421	480	100	270	600	600	10	30
57	3	240	300	300	200	301	360	300	300	361	420	300	200	421	480	100	270	600	600	10	30
58	3	240	300	300	200	301	360	300	300	361	420	300	200	421	480	100	270	600	600	10	30
50	4	200	250	300	200	251	300	300	300	301	350	300	200	351	400	100	270	500	500	10	30
51	4	120	150	300	200	151	180	300	300	181	210	300	200	211	240	100	270	300	300	10	30
8	4	2000	2500	300	200	2501	3000	300	300	3001	3500	300	200	3501	4000	100	270	5000	5000	10	30
9	4	1000	1250	300	200	1251	1500	300	300	1501	1750	300	200	1751	2000	100	270	2500	2500	10	30
60	4	80	100	300	200	101	120	300	300	121	140	300	200	141	160	100	270	200	200	10	30
61	4	80	100	300	200	101	120	300	300	121	140	300	200	141	160	100	270	200	200	10	30
62	4	80	100	300	200	101	120	300	300	121	140	300	200	141	160	100	270	200	200	10	30
63	4	80	100	300	200	101	120	300	300	121	140	300	200	141	160	100	270	200	200	10	30
52	4	400	500	300	200	501	600	300	300	601	700	300	200	701	800	100	270	1000	1000	10	30
53	4	400	500	300	200	501	600	300	300	601	700	300	200	701	800	100	270	1000	1000	10	30
54	4	400	500	300	200	501	600	300	300	601	700	300	200	701	800	100	270	1000	1000	10	30
56	4	240	300	300	200	301	360	300	300	361	420	300	200	421	480	100	270	600	600	10	30
57	4	240	300	300	200	301	360	300	300	361	420	300	200	421	480	100	270	600	600	10	30
58	4	240	300	300	200	301	360	300	300	361	420	300	200	421	480	100	270	600	600	10	30
50	5	200	350	300	200	351	500	300	300	501	650	300	200	651	800	100	270	1000	1000	10	30
51	5	120	210	300	200	211	300	300	300	301	390	300	200	391	480	100	270	600	600	10	30
8	5	2000	3500	300	200	3501	5000	300	300	5001	6500	300	200	6501	8000	100	270	10000	10000	10	30
9	5	1000	1750	300	200	1751	2500	300	300	2501	3250	300	200	3251	4000	100	270	5000	5000	10	30
60	5	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
61	5	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
62	5	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
63	5	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
52	5	400	700	300	200	701	1000	300	300	1001	1300	300	200	1301	1600	100	270	2000	2000	10	30
53	5	400	700	300	200	701	1000	300	300	1001	1300	300	200	1301	1600	100	270	2000	2000	10	30
