buildId	buildName	create	level	functionType	function	npcId	x	y	dir	factionLevel	factionMoney	factionRoleNum	desc
建筑ID	建筑名称	是否在创建公会时创建	建筑等级	建筑功能	对应的功能ID	npcId	坐标x	坐标y	方位	所需帮会等级	所需帮会财产	所需帮会人数	功能描述
1	仙兽堂	1	1	1						1	0		神兽
2	玲珑阁	1	1	2	1					1	0		门派商店建筑，出售着各种珍稀宝物，门派弟子可以消耗[\C]ff42ff46[C]个人贡献度[\C]ffffffff[C]来进行购买。随着玲珑阁建筑等级的提升，将会有更多宝贝出现在商店中。
2	玲珑阁	0	2	2	1					2	36000		门派商店建筑，出售着各种珍稀宝物，门派弟子可以消耗[\C]ff42ff46[C]个人贡献度[\C]ffffffff[C]来进行购买。随着玲珑阁建筑等级的提升，将会有更多宝贝出现在商店中。
2	玲珑阁	0	3	2	1					3	98000		门派商店建筑，出售着各种珍稀宝物，门派弟子可以消耗[\C]ff42ff46[C]个人贡献度[\C]ffffffff[C]来进行购买。随着玲珑阁建筑等级的提升，将会有更多宝贝出现在商店中。
2	玲珑阁	0	4	2	1					4	166000		门派商店建筑，出售着各种珍稀宝物，门派弟子可以消耗[\C]ff42ff46[C]个人贡献度[\C]ffffffff[C]来进行购买。随着玲珑阁建筑等级的提升，将会有更多宝贝出现在商店中。
2	玲珑阁	0	5	2	1					5	336000		门派商店建筑，出售着各种珍稀宝物，门派弟子可以消耗[\C]ff42ff46[C]个人贡献度[\C]ffffffff[C]来进行购买。随着玲珑阁建筑等级的提升，将会有更多宝贝出现在商店中。
3	乾坤殿	1	1	3						1	0		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	2	3						1	14400		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	3	3						2	16800		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	4	3						2	19200		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	5	3						3	21600		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	6	3						3	24000		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	7	3						4	26400		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	8	3						4	28800		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	9	3						5	31200		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	10	3						5	33600		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	11	3						5	36000		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	12	3						5	38400		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	13	3						5	40800		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	14	3						5	43200		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	15	3						5	45600		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
3	乾坤殿	0	16	3						5	48000		乾坤殿是门派弟子学习门派技能的建筑，随着乾坤殿建筑等级的提升，可以学习的门派技能越多，可以学习的技能等级上限也越高。
4	仓库	1	1	4	6					1	0		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
4	仓库	0	2	4	8					1	24000		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
4	仓库	0	3	4	10					2	25600		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
4	仓库	0	4	4	12					2	27200		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
4	仓库	0	5	4	14					3	28800		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
4	仓库	0	6	4	16					3	30400		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
4	仓库	0	7	4	18					4	32000		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
4	仓库	0	8	4	20					4	33600		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
4	仓库	0	9	4	22					5	35200		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
4	仓库	0	10	4	24					5	36800		门派仓库建筑，可以提供额外的位置供门派弟子存放不常用物品，随着仓库建筑等级的提升，仓库开放的存放空间也越大。
