id	level	goodsId	goodsNum	growValue	contribute	cri1	weight1	cri2	weight2	cri3	weight3	cri4	weight4
神兽ID	神兽等级	物品id	物品数量	成长值	获得的贡献度	暴击比率	权重	暴击比率	权重	暴击比率	权重	暴击比率	权重
1	1	70071	1	10	10	1	6800	2	2000	4	1000	10	200
1	2	70071	1	10	10	1	6970	2	1900	4	950	10	180
1	3	70071	1	10	10	1	7140	2	1800	4	900	10	160
1	4	70071	1	10	10	1	7310	2	1700	4	850	10	140
1	5	70071	1	10	10	1	7480	2	1600	4	800	10	120
1	6	70071	1	10	10	1	7749	2	1500	4	750	10	1
1	7	70071	1	10	10	1	7899	2	1400	4	700	10	1
1	8	70071	1	10	10	1	8049	2	1300	4	650	10	1
1	9	70071	1	10	10	1	8049	2	1300	4	650	10	1
													
