buffId	buffLevel	inspireType	costType	costValue	ratio	successInfo	failInfo	curDetail	nextDetail	needLevel
buffId	buff等级	鼓舞类型	消耗类型	消耗金钱/真气值	成功率	成功提示信息	失败提示信息	当前等级描述	下级等级描述	升级需要仙兽等级
9118	1	0	0	2000	10000	鼓舞成功,攻击力+100	鼓舞失败,当前攻击力+0	门派战时，每次鼓舞成功，可增加100攻击力，最多增加1000攻击力	每层增加200攻击力攻击力，最多可增加2000攻击力\n需要仙兽达到2级	1
9118	2	0	0	2000	9000	鼓舞成功,攻击力+200	鼓舞失败,当前攻击力+100			
9118	3	0	0	2000	7500	鼓舞成功,攻击力+300	鼓舞失败,当前攻击力+200			
9118	4	0	0	2000	6500	鼓舞成功,攻击力+400	鼓舞失败,当前攻击力+300			
9118	5	0	0	2000	5000	鼓舞成功,攻击力+500	鼓舞失败,当前攻击力+400			
9118	6	0	0	2000	4000	鼓舞成功,攻击力+600	鼓舞失败,当前攻击力+500			
9118	7	0	0	2000	3000	鼓舞成功,攻击力+700	鼓舞失败,当前攻击力+600			
9118	8	0	0	2000	2000	鼓舞成功,攻击力+800	鼓舞失败,当前攻击力+700			
9118	9	0	0	2000	1000	鼓舞成功,攻击力+900	鼓舞失败,当前攻击力+800			
9118	10	0	0	2000	500	鼓舞成功,攻击力+1000	鼓舞失败,当前攻击力+900			
9119	1	0	0	2000	10000	鼓舞成功,攻击力+200	鼓舞失败,当前攻击力+0	门派战时，每次鼓舞成功，可增加200攻击力，最多增加2000攻击力	每层增加300攻击力攻击力，最多可增加3000攻击力\n需要仙兽达到3级	2
9119	2	0	0	2000	9000	鼓舞成功,攻击力+400	鼓舞失败,当前攻击力+200			
9119	3	0	0	2000	7500	鼓舞成功,攻击力+600	鼓舞失败,当前攻击力+400			
9119	4	0	0	2000	6500	鼓舞成功,攻击力+800	鼓舞失败,当前攻击力+600			
9119	5	0	0	2000	5000	鼓舞成功,攻击力+1000	鼓舞失败,当前攻击力+800			
9119	6	0	0	2000	4000	鼓舞成功,攻击力+1200	鼓舞失败,当前攻击力+1000			
9119	7	0	0	2000	3000	鼓舞成功,攻击力+1400	鼓舞失败,当前攻击力+1200			
9119	8	0	0	2000	2000	鼓舞成功,攻击力+1600	鼓舞失败,当前攻击力+1400			
9119	9	0	0	2000	1000	鼓舞成功,攻击力+1800	鼓舞失败,当前攻击力+1600			
9119	10	0	0	2000	500	鼓舞成功,攻击力+2000	鼓舞失败,当前攻击力+1800			
9120	1	0	0	2000	10000	鼓舞成功,攻击力+300	鼓舞失败,当前攻击力+0	门派战时，每次鼓舞成功，可增加300攻击力，最多增加3000攻击力	每层增加450攻击力攻击力，最多可增加4500攻击力\n需要仙兽达到4级	3
9120	2	0	0	2000	9000	鼓舞成功,攻击力+600	鼓舞失败,当前攻击力+300			
9120	3	0	0	2000	7500	鼓舞成功,攻击力+900	鼓舞失败,当前攻击力+600			
9120	4	0	0	2000	6500	鼓舞成功,攻击力+1200	鼓舞失败,当前攻击力+900			
9120	5	0	0	2000	5000	鼓舞成功,攻击力+1500	鼓舞失败,当前攻击力+1200			
9120	6	0	0	2000	4000	鼓舞成功,攻击力+1800	鼓舞失败,当前攻击力+1500			
9120	7	0	0	2000	3000	鼓舞成功,攻击力+2100	鼓舞失败,当前攻击力+1800			
9120	8	0	0	2000	2000	鼓舞成功,攻击力+2400	鼓舞失败,当前攻击力+2100			
9120	9	0	0	2000	1000	鼓舞成功,攻击力+2700	鼓舞失败,当前攻击力+2400			
9120	10	0	0	2000	500	鼓舞成功,攻击力+3000	鼓舞失败,当前攻击力+2700			
9121	1	0	0	2000	10000	鼓舞成功,攻击力+450	鼓舞失败,当前攻击力+0	门派战时，每次鼓舞成功，可增加450攻击力，最多增加4500攻击力	每层增加600攻击力攻击力，最多可增加6000攻击力\n需要仙兽达到5级	4
9121	2	0	0	2000	9000	鼓舞成功,攻击力+900	鼓舞失败,当前攻击力+450			
9121	3	0	0	2000	7500	鼓舞成功,攻击力+1350	鼓舞失败,当前攻击力+900			
9121	4	0	0	2000	6500	鼓舞成功,攻击力+1800	鼓舞失败,当前攻击力+1350			
9121	5	0	0	2000	5000	鼓舞成功,攻击力+2250	鼓舞失败,当前攻击力+1800			
9121	6	0	0	2000	4000	鼓舞成功,攻击力+2700	鼓舞失败,当前攻击力+2250			
9121	7	0	0	2000	3000	鼓舞成功,攻击力+3150	鼓舞失败,当前攻击力+2700			
9121	8	0	0	2000	2000	鼓舞成功,攻击力+3600	鼓舞失败,当前攻击力+3150			
