goddessId	lingerNum	atk	rit	hp	mp	silverMoney	lq
女神id	缠绵次数	缠绵加成主角攻击	缠绵加成主角防御	缠绵加成主角血量	缠绵加成主角魔法	消耗游戏币	消耗灵气
2000000	1	9	0	0	0	100	
2000000	2	9	5	0	0	283	
2000000	3	9	5	64	0	520	
2000000	4	18	5	64	0	800	
2000000	5	18	10	64	0	1118	
2000000	6	18	10	128	0	1470	
2000000	7	27	10	128	0	1852	
2000000	8	27	15	128	0	2263	
2000000	9	27	15	192	0	2700	
2000000	10	27	15	192	96	3162	
2000000	11	37	15	192	96	3648	
2000000	12	37	21	192	96	4157	
2000000	13	37	21	264	96	4687	
2000000	14	47	21	264	96	5238	
2000000	15	47	27	264	96	5809	
2000000	16	47	27	336	96	6400	
2000000	17	57	27	336	96	7009	
2000000	18	57	33	336	96	7637	
2000000	19	57	33	408	96	8282	
2000000	20	57	33	408	204	8944	
2000000	21	68	33	408	204	9623	
2000000	22	68	39	408	204	10319	
2000000	23	68	39	488	204	11030	
2000000	24	79	39	488	204	11758	
2000000	25	79	45	488	204	12500	
2000000	26	79	45	568	204	13257	
2000000	27	90	45	568	204	14030	
2000000	28	90	51	568	204	14816	
2000000	29	90	51	648	204	15617	
2000000	30	90	51	648	324	16432	
2000000	31	102	51	648	324	17260	
2000000	32	102	58	648	324	18102	
2000000	33	102	58	736	324	18957	
2000000	34	114	58	736	324	19825	
2000000	35	114	65	736	324	20706	
2000000	36	114	65	824	324	21600	
2000000	37	126	65	824	324	22506	
2000000	38	126	72	824	324	23425	
2000000	39	126	72	912	324	24355	
2000000	40	126	72	912	456	25298	
2000000	41	139	72	912	456	26253	
2000000	42	139	80	912	456	27219	
2000000	43	139	80	1008	456	28197	
2000000	44	152	80	1008	456	29186	
2000000	45	152	88	1008	456	30187	
2000000	46	152	88	1104	456	31199	
2000000	47	165	88	1104	456	32222	
2000000	48	165	96	1104	456	33255	
2000000	49	165	96	1200	456	34300	
2000000	50	165	96	1200	600	35355	
2000000	51	179	96	1200	600	36421	
2000000	52	179	104	1200	600	37498	
2000000	53	179	104	1304	600	38585	
2000000	54	193	104	1304	600	39682	
2000000	55	193	112	1304	600	40789	
2000000	56	193	112	1408	600	41907	
2000000	57	207	112	1408	600	43034	
2000000	58	207	120	1408	600	44171	
2000000	59	207	120	1512	600	45319	
2000000	60	207	120	1512	756	46476	
2000000	61	222	120	1512	756	47643	
2000000	62	222	129	1512	756	48819	
2000000	63	222	129	1624	756	50005	
2000000	64	237	129	1624	756	51200	
2000000	65	237	138	1624	756	52405	
2000000	66	237	138	1736	756	53619	
2000000	67	252	138	1736	756	54842	
2000000	68	252	147	1736	756	56074	
2000000	69	252	147	1848	756	57316	
2000000	70	252	147	1848	924	58566	
2000000	71	268	147	1848	924	59826	
2000000	72	268	157	1848	924	61094	
2000000	73	268	157	1968	924	62371	
2000000	74	284	157	1968	924	63657	
2000000	75	284	167	1968	924	64952	
2000000	76	284	167	2088	924	66255	
2000000	77	300	167	2088	924	67567	
2000000	78	300	177	2088	924	68888	
2000000	79	300	177	2208	924	70217	
2000000	80	300	177	2208	1104	71554	
2000000	81	320	177	2208	1104	72900	
2000000	82	320	189	2208	1104	74254	
2000000	83	320	189	2360	1104	75617	
2000000	84	340	189	2360	1104	76987	
2000000	85	340	201	2360	1104	78366	
2000000	86	340	201	2512	1104	79753	
2000000	87	360	201	2512	1104	81148	
2000000	88	360	213	2512	1104	82551	
2000000	89	360	213	2664	1104	83962	
2000000	90	360	213	2664	1332	85381	
2000000	91	385	213	2664	1332	86808	
2000000	92	385	228	2664	1332	88243	
2000000	93	385	228	2848	1332	89686	
2000000	94	410	228	2848	1332	91136	
2000000	95	410	243	2848	1332	92595	
2000000	96	410	243	3032	1332	94060	
2000000	97	435	243	3032	1332	95534	
2000000	98	435	258	3032	1332	97015	
2000000	99	435	258	3216	1332	98504	
2000000	100	435	258	3216	1608	100000	
2000000	101	464	258	3216	1608	101504	
2000000	102	464	275	3216	1608	103015	
2000000	103	464	275	3432	1608	104534	
2000000	104	493	275	3432	1608	106060	
2000000	105	493	292	3432	1608	107593	
2000000	106	493	292	3648	1608	109134	
2000000	107	522	292	3648	1608	110682	
2000000	108	522	309	3648	1608	112237	
2000000	109	522	309	3864	1608	113799	
2000000	110	522	309	3864	1932	115369	
2000000	111	555	309	3864	1932	116946	
2000000	112	555	329	3864	1932	118530	
2000000	113	555	329	4112	1932	120121	
2000000	114	588	329	4112	1932	121719	
2000000	115	588	349	4112	1932	123324	
2000000	116	588	349	4360	1932	124936	
2000000	117	621	349	4360	1932	126555	
2000000	118	621	369	4360	1932	128181	
2000000	119	621	369	4608	1932	129814	
