id	name	goodsType	imageId	bindType	overlapCount	level	effectId	desc	recycling	recyclePrice	only	offlineDie	discard	printlog	qualityType	lvLimit	secondType	keyId	silverMoney	goldMoney	bindingGoldMoney	mustid1	number1	bind1	mustid2	number2	bind2	mustid3	number3	bind3	mustid4	number4	bind4	mustid5	number5	bind5	mustid6	number6	bind6	mustid7	number7	bind7	mustid8	number8	bind8	mustid9	number9	bind9	mustid10	number10	bind10	mustid11	number11	bind11	mustid12	number12	bind12	randomId1	randomNum1	prob1	randomBind1	randomId2	randomNum2	prob2	randomBind2	randomId3	randomNum3	prob3	randomBind3	randomId4	randomNum4	prob4	randomBind4	randomId5	randomNum5	prob5	randomBind5	randomId6	randomNum6	prob6	randomBind6	randomId7	randomNum7	prob7	randomBind7	randomId8	randomNum8	prob8	randomBind8	randomId9	randomNum9	prob9	randomBind9	randomId10	randomNum10	prob10	randomBind10	randomId11	randomNum11	prob11	randomBind11	randomId12	randomNum12	prob12	randomBind12	randomId13	randomNum13	prob13	randomBind13	randomId14	randomNum14	prob14	randomBind14	randomId15	randomNum15	prob15	randomNum15	randomId16	randomNum16	prob16	randomBind16	randomId17	randomNum17	prob17	randomBind17	randomId18	randomNum18	prob18	randomBind18	randomId19	randomNum19	prob19	randomBind19	randomId20	randomNum20	prob20	randomBind20
id	名称	物品分类	图标id	绑定类型	叠加数量	物品等级	效果id	描述	可否回收	回收价格	是否唯一	下线消失	可否丢弃	是否打印日志	物品品质	等级需求	物品小类	钥匙id	包含金币	包含金条	包含绑定金条	物品1   id	物品1   数量		物品2   id	物品2   数量		物品3   id	物品3   数量		物品4   id	物品4   数量		物品5   id	物品5   数量		物品6   id	物品6   数量		物品7   id	物品7   数量		物品8   id	物品8   数量		物品9   id	物品9   数量		物品10   id	物品10   数量		物品11   id	物品11   数量		物品12   id	物品12   数量		物品1 id	数量	几率1	绑定类型1	物品2 id	数量	几率2	绑定类型2	物品3 id	数量	几率3	绑定类型3	物品4 id	数量	几率4	绑定类型4	物品5 id	数量	几率5	绑定类型5	物品6 id	数量	几率6	绑定类型6	物品7 id	数量	几率7	绑定类型7	物品8 id	数量	几率8	绑定类型8	物品9 id	数量	几率9	绑定类型9	物品10 id	数量	几率10	绑定类型10	物品11 id	数量	几率11	绑定类型11	物品12 id	数量	几率12	绑定类型12	物品13 id	数量	几率13	绑定类型13	物品14 id	数量	几率14	绑定类型14	物品15 id	数量	几率15	绑定类型15	物品16 id	数量	几率16	绑定类型16	物品17 id	数量	几率17	绑定类型17	物品18 id	数量	几率18	绑定类型18	物品19 id	数量	几率19	绑定类型19	物品20 id	数量	几率20	绑定类型20
9002	10元宝礼包	9	7	3	200			使用后获得[\C]ff5aff4e[C]10绑定元宝！	0	1	0	0	0	0	4	0	0				10																																																																																																																				
9003	20元宝礼包	9	7	3	200			使用后获得[\C]ff5aff4e[C]20绑定元宝！	0	1	0	0	0	0	4	0	0				20																																																																																																																				
9004	50元宝礼包	9	7	3	200			使用后获得[\C]ff5aff4e[C]50绑定元宝！	0	1	0	0	0	0	4	0	0				50																																																																																																																				
9005	100元宝礼包	9	7	3	200			使用后获得[\C]ff5aff4e[C]100绑定元宝！	0	1	0	0	0	0	4	0	0				100																																																																																																																				
9006	200元宝礼包	9	7	3	200			使用后获得[\C]ff5aff4e[C]200绑定元宝！	0	1	0	0	0	0	4	0	0				200																																																																																																																				
9007	300元宝礼包	9	7	3	200			使用后获得[\C]ff5aff4e[C]300绑定元宝！	0	1	0	0	0	0	4	0	0				300																																																																																																																				
9008	400元宝礼包	9	7	3	200			使用后获得[\C]ff5aff4e[C]400绑定元宝！	0	1	0	0	0	0	4	0	0				400																																																																																																																				
9009	500元宝礼包	9	7	3	200			使用后获得[\C]ff5aff4e[C]500绑定元宝！	0	1	0	0	0	0	4	0	0				500																																																																																																																				
9010	vip礼包	9	7	3	200			vip礼包	0	1	0	0	0	0	4	0	0					71001	1	1	71073	1	1																																																																																																														
9011	门派工资礼包	9	29	3	200			门派每日工资礼包\n来源：加入门派后，在[\C]ff5aff4e[C]门派 - 门派活动 - 每日工资 [\C]ffffffff[C]界面领取！	0	1	0	0	0	0	4	0	0																																									70071	2	2000	1	70072	1	2	0	71033	1	1000	1	71034	1	200	1	71004	1	2000	1	71005	1	1000	1	20001	1	2000	1	20002	1	1300	1	20003	1	400	1	20004	1	100	1																																								
9012	微型小金卷	9	29	3	200			使用后获得[\C]ff5aff4e[C]100金币！	0	1	0	0	0	0	3	0	0		100																																																																																																																						
9013	袖珍小金卷	9	29	3	200			使用后获得[\C]ff5aff4e[C]500金币！	0	1	0	0	0	0	3	0	0		500																																																																																																																						
9014	精致小金卷	9	29	3	200			使用后获得[\C]ff5aff4e[C]1000金币！	0	1	0	0	0	0	3	0	0		1000																																																																																																																						
9015	珍贵小金卷	9	29	3	200			使用后获得[\C]ff5aff4e[C]5000金币！	0	1	0	0	0	0	4	0	0		5000																																																																																																																						
9016	豪华小金卷	9	29	3	200			使用后获得[\C]ff5aff4e[C]10000金币！	0	1	0	0	0	0	5	0	0		10000																																																																																																																						
9017	门派工资礼包	9	29	3	200			门派每日工资礼包\n来源：加入门派后，在[\C]ff5aff4e[C]门派 - 门派活动 - 每日工资 [\C]ffffffff[C]界面领取！	0	1	0	0	0	0	4	0	0																																									70071	2	2000	1	71033	1	2000	1	71034	1	1000	1	71004	1	2000	1	71005	1	500	1	20001	1	1500	1	20002	1	500	1	20003	1	400	1	20004	1	100	1																																												
9018	30元宝礼包	9	29	3	200			使用后获得[\C]ff5aff4e[C]30绑定元宝！	0	1	0	0	0	0	4	0	0				30																																																																																																																				
