id	name	goodsType	imageId	bindType	overlapCount	level	effectId	desc	recycling	recyclePrice	only	offlineDie	discard	printlog	qualityType	lvLimit	suitId	suitGroupId	activateType	deadline	expireType	secondType	equipslotType	career	resId	gemType	openHoleNum	maxStarLevel	attriNum	atk	rit	baseMaxHP	baseMaxMP	hit	dodge	critAtk	critRit	gs	sex	upgradeId
模板ID	名称	物品类型	图标ID	绑定类型	叠放数量	物品等级	效果id	物品描述	可否回收	回收价格	是否唯一	下线是否消失	可否丢弃	是否打印日志	物品品质	使用等级	套装ID	套装组ID	激活类型	有效期限（分钟）	到期处理类型	物品小类	装备部位	职业	资源ID	可镶嵌宝石类型	已开孔数	最高强化等级	洗练属性个数	攻击力	防御力	基本HP上限	基本MP上限	命中	闪避	暴击	韧性	装备评分	性别	升级模板ID
4001300	新兵的强击头盔	5	13	2	1	1		新兵的强击头盔	1	1000	0	0	1	0	3	1						0	0	-1		1	1	20	3	0	0	420	0	0	0	0	0		-1	
4001301	新兵的强击项链	5	23	2	1	1		新兵的强击项链	1	1000	0	0	1	0	3	1						1	1	-1	31002	4	1	20	3	0	0	0	0	0	0	100	0		-1	
4001302	新兵的强击肩甲	5	21	2	1	1		新兵的强击肩甲	1	1000	0	0	1	0	3	1						2	2	-1		5	1	20	3	0	0	0	0	0	0	0	100		-1	
4001303	新兵的强击武器	5	24	2	1	1		新兵的强击武器	1	1000	0	0	1	0	3	1						3	3	-1		2	1	20	3	56	0	0	0	0	0	0	0		-1	
4001304	新兵的强击胸甲	5	14	2	1	1		新兵的强击胸甲	1	1000	0	0	1	0	3	1						4	4	-1		3	1	20	3	0	34	0	0	0	0	0	0		-1	
4001305	新兵的强击戒指	5	22	2	1	1		新兵的强击戒指	1	1000	0	0	1	0	3	1						5	5	-1		7	1	20	3	0	0	0	0	0	100	0	0		-1	
4001306	新兵的强击裤子	5	16	2	1	1		新兵的强击裤子	1	1000	0	0	1	0	3	1						6	6	-1	51001	3	1	20	3	0	14	0	0	0	0	0	0		-1	
4001307	新兵的强击腰带	5	15	2	1	1		新兵的强击腰带	1	1000	0	0	1	0	3	1						7	7	-1		1	1	20	3	0	0	180	0	0	0	0	0		-1	
4001308	新兵的强击鞋子	5	17	2	1	1		新兵的强击鞋子	1	1000	0	0	1	0	3	1						8	8	-1		6	1	20	3	0	0	0	0	100	0	0	0		-1	
4001309	新兵的强击手套	5	20	2	1	1		新兵的强击手套	1	1000	0	0	1	0	3	1						9	9	-1		2	1	20	3	24	0	0	0	0	0	0	0		-1	
4001400	勇士的强击头盔	5	13	2	1	1		勇士的强击头盔	1	1000	0	0	1	0	4	1						0	0	-1		1	2	20	3	0	0	525	0	0	0	0	0		-1	
4001401	勇士的强击项链	5	23	2	1	1		勇士的强击项链	1	1000	0	0	1	0	4	1						1	1	-1		4	2	20	3	0	0	0	0	0	0	100	0		-1	
4001402	勇士的强击肩甲	5	21	2	1	1		勇士的强击肩甲	1	1000	0	0	1	0	4	1						2	2	-1		5	2	20	3	0	0	0	0	0	0	0	100		-1	
4001403	勇士的强击武器	5	24	2	1	1		勇士的强击武器	1	1000	0	0	1	0	4	1						3	3	-1		2	2	20	3	70	0	0	0	0	0	0	0		-1	
4001404	勇士的强击胸甲	5	14	2	1	1		勇士的强击胸甲	1	1000	0	0	1	0	4	1						4	4	-1		3	2	20	3	0	42	0	0	0	0	0	0		-1	
4001405	勇士的强击戒指	5	22	2	1	1		勇士的强击戒指	1	1000	0	0	1	0	4	1						5	5	-1		7	2	20	3	0	0	0	0	0	100	0	0		-1	
4001406	勇士的强击裤子	5	16	2	1	1		勇士的强击裤子	1	1000	0	0	1	0	4	1						6	6	-1		3	2	20	3	0	18	0	0	0	0	0	0		-1	
4001407	勇士的强击腰带	5	15	2	1	1		勇士的强击腰带	1	1000	0	0	1	0	4	1						7	7	-1		1	2	20	3	0	0	225	0	0	0	0	0		-1	
4001408	勇士的强击鞋子	5	17	2	1	1		勇士的强击鞋子	1	1000	0	0	1	0	4	1						8	8	-1		6	2	20	3	0	0	0	0	100	0	0	0		-1	
4001409	勇士的强击手套	5	20	2	1	1		勇士的强击手套	1	1000	0	0	1	0	4	1						9	9	-1		2	2	20	3	30	0	0	0	0	0	0	0		-1	
4001500	少校的强击头盔	5	13	2	1	1		少校的强击头盔	1	1000	0	0	1	0	5	1	15	5				0	0	-1		1	3	20	3	0	0	656	0	0	0	0	0		-1	
4001501	少校的强击项链	5	23	2	1	1		少校的强击项链	1	1000	0	0	1	0	5	1	15	5				1	1	-1		4	3	20	3	0	0	0	0	0	0	140	0		-1	
4001502	少校的强击肩甲	5	21	2	1	1		少校的强击肩甲	1	1000	0	0	1	0	5	1	15	5				2	2	-1		5	3	20	3	0	0	0	0	0	0	0	140		-1	
4001503	少校的强击武器	5	24	2	1	1		少校的强击武器	1	1000	0	0	1	0	5	1	15	5				3	3	-1		2	3	20	3	88	0	0	0	0	0	0	0		-1	
4001504	少校的强击胸甲	5	14	2	1	1		少校的强击胸甲	1	1000	0	0	1	0	5	1	15	5				4	4	-1		3	3	20	3	0	53	0	0	0	0	0	0		-1	
4001505	少校的强击戒指	5	22	2	1	1		少校的强击戒指	1	1000	0	0	1	0	5	1	15	5				5	5	-1		7	3	20	3	0	0	0	0	0	140	0	0		-1	
4001506	少校的强击裤子	5	16	2	1	1		少校的强击裤子	1	1000	0	0	1	0	5	1	15	5				6	6	-1		3	3	20	3	0	23	0	0	0	0	0	0		-1	
4001507	少校的强击腰带	5	15	2	1	1		少校的强击腰带	1	1000	0	0	1	0	5	1	15	5				7	7	-1		1	3	20	3	0	0	281	0	0	0	0	0		-1	
