level	qualityType	strength	intellect	agility	physique	spirit	maxHP	maxMP	physicsATK	physicsRIT	magicATK	magicRIT	dodge	critATK	critATK	critRIT	hit
物品等级	物品品质	力道	智慧	敏捷	体魄	精神	生命值上限	法力值上限	物理攻击力	物理防御力	法术攻击力	法术防御力	闪避值	暴击值	生命值恢复	法力值恢复	命中值
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
