id	name	goodsType	imageId	bindType	overlapCount	level	effectId	desc	recycling	recyclePrice	only	offlineDie	discard	printlog	qualityType	lvLimit	secondType	intervalId	intervalTime	applyDisappear	triggerBuffId	triggerBuffLv	cleanBuffIds
id	名称	物品分类	图标id	绑定类型	叠加数量	物品等级	效果ID	描述	可否回收	回收价格	是否唯一	下线消失	可否丢弃	是否打印日志	物品品质	等级需求	物品小类	使用冷却组	冷却时间\n[毫秒]	使用后是否消失\n[0不消失 1消失]	产生BUFFid	产生BUFF等级	清除的buffid列表,分隔
8000001	1级生命回复药水	1	26	1	999	1		可以回复少许生命值	1	1							5	1	5000	1	1	1	
8000002	2级生命回复药水	1	26	1	999	1		可以回复少许生命值	1	1							5	1	5000	1	2	2	
8000003	3级生命回复药水	1	26	1	999	1		可以回复少许生命值	1	1							5	1	5000	1	3	3	
8000004	4级生命回复药水	1	26	1	999	1		可以回复少许生命值	1	1							5	1	5000	1	4	4	
8000005	5级生命回复药水	1	26	1	999	1		可以回复少许生命值	1	1							5	1	5000	1	5	5	
8000101	1级法力回复药水	1	28	1	999	1		可以回复少许法力值	1	1							5	2	5000	1	101	1	
8000102	2级法力回复药水	1	28	1	999	1		可以回复少许法力值	1	1							5	2	5000	1	102	2	
8000103	3级法力回复药水	1	28	1	999	1		可以回复少许法力值	1	1							5	2	5000	1	103	3	
8000104	4级法力回复药水	1	28	1	999	1		可以回复少许法力值	1	1							5	2	5000	1	104	4	
8000105	5级法力回复药水	1	28	1	999	1		可以回复少许法力值	1	1							5	2	5000	1	105	5	
8000201	攻击秘药	1	25	1	999	1		服用之后永久增加主角攻击	1	1							6			1	201	1	
8000202	防御秘药	1	25	1	999	1		服用之后永久增加主角防御	1	1							6			1	202	1	
8000203	生命秘药	1	27	1	999	1		服用之后永久增加主角生命	1	1							6			1	203	1	
8000204	法力秘药	1	27	1	999	1		服用之后永久增加主角法力	1	1							6			1	204	1	
