id	name	goodsType	imageId	bindType	overlapCount	level	effectId	desc	recycling	recyclePrice	only	offlineDie	discard	printlog	qualityType	lvLimit	secondType	gs	attrType1	attrValue1	attrType2	attrValue2	attrType3	attrValue3
id	名称	物品分类	图标id	绑定类型	叠加数量	物品等级	效果ID	描述	可否回收	回收价格	是否唯一	下线消失	可否丢弃	是否打印日志	物品品质	等级需求	物品小类	宝石评分	属性种类1	属性值1	属性种类2	属性值2	属性种类3	属性值3
6000101	1级生命宝石	13	2	3	200	1		1级生命宝石，可镶嵌在装备上提升角色属性。\n镶嵌部位：[\C]ff5aff4e[C]帽子、项链。[\C]ffffffff[C]\n使用方法：打开 [\C]ff5aff4e[C]轩辕鼎 - 镶嵌 [\C]ffffffff[C]界面。\n主要来源：[\C]ff5aff4e[C]轮回转盘箱子、活跃度领奖、淘宝、怪物攻城活动 [\C]ffffffff[C]获得。	1	1	0	0	1	0	2	1	1	1	8	180				
6000102	2级生命宝石	13	2	3	200	2		2级生命宝石，可镶嵌在装备上提升角色属性。\n镶嵌部位：[\C]ff5aff4e[C]帽子、项链。[\C]ffffffff[C]\n使用方法：打开 [\C]ff5aff4e[C]轩辕鼎 - 镶嵌 [\C]ffffffff[C]界面。\n主要来源：[\C]ff5aff4e[C]轮回转盘箱子、活跃度领奖、淘宝、怪物攻城活动 [\C]ffffffff[C]获得。	1	1	0	0	1	0	3	1	1	1	8	360				
6000103	3级生命宝石	13	2	3	200	3		3级生命宝石，可镶嵌在装备上提升角色属性。\n镶嵌部位：[\C]ff5aff4e[C]帽子、项链。[\C]ffffffff[C]\n使用方法：打开 [\C]ff5aff4e[C]轩辕鼎 - 镶嵌 [\C]ffffffff[C]界面。\n主要来源：[\C]ff5aff4e[C]轮回转盘箱子、活跃度领奖、淘宝、怪物攻城活动 [\C]ffffffff[C]获得。	1	1	0	0	1	0	3	1	1	1	8	540				
6000104	4级生命宝石	13	2	3	200	4		4级生命宝石，可镶嵌在装备上提升角色属性。\n镶嵌部位：[\C]ff5aff4e[C]帽子、项链。[\C]ffffffff[C]\n使用方法：打开 [\C]ff5aff4e[C]轩辕鼎 - 镶嵌 [\C]ffffffff[C]界面。\n主要来源：[\C]ff5aff4e[C]轮回转盘箱子、活跃度领奖、淘宝、怪物攻城活动 [\C]ffffffff[C]获得。	1	1	0	0	1	0	4	1	1	1	8	900				
6000105	5级生命宝石	13	2	3	200	5		5级生命宝石，可镶嵌在装备上提升角色属性。\n镶嵌部位：[\C]ff5aff4e[C]帽子、项链。[\C]ffffffff[C]\n使用方法：打开 [\C]ff5aff4e[C]轩辕鼎 - 镶嵌 [\C]ffffffff[C]界面。\n主要来源：[\C]ff5aff4e[C]轮回转盘箱子、活跃度领奖、淘宝、怪物攻城活动 [\C]ffffffff[C]获得。	1	1	0	0	1	0	4	1	1	1	8	1400				
6000106	6级生命宝石	13	2	3	200	6		6级生命宝石，可镶嵌在装备上提升角色属性。\n镶嵌部位：[\C]ff5aff4e[C]帽子、项链。[\C]ffffffff[C]\n使用方法：打开 [\C]ff5aff4e[C]轩辕鼎 - 镶嵌 [\C]ffffffff[C]界面。\n主要来源：[\C]ff5aff4e[C]轮回转盘箱子、活跃度领奖、淘宝、怪物攻城活动 [\C]ffffffff[C]获得。	1	1	0	0	1	0	5	1	1	1	8	2800				
6000107	7级生命宝石	13	2	3	200	7		7级生命宝石，可镶嵌在装备上提升角色属性。\n镶嵌部位：[\C]ff5aff4e[C]帽子、项链。[\C]ffffffff[C]\n使用方法：打开 [\C]ff5aff4e[C]轩辕鼎 - 镶嵌 [\C]ffffffff[C]界面。\n主要来源：[\C]ff5aff4e[C]轮回转盘箱子、活跃度领奖、淘宝、怪物攻城活动 [\C]ffffffff[C]获得。	1	1	0	0	1	0	5	1	1	1	8	5300				
6000108	8级生命宝石	13	2	3	200	8		8级生命宝石，可镶嵌在装备上提升角色属性。\n镶嵌部位：[\C]ff5aff4e[C]帽子、项链。[\C]ffffffff[C]\n使用方法：打开 [\C]ff5aff4e[C]轩辕鼎 - 镶嵌 [\C]ffffffff[C]界面。\n主要来源：[\C]ff5aff4e[C]轮回转盘箱子、活跃度领奖、淘宝、怪物攻城活动 [\C]ffffffff[C]获得。	1	1	0	0	1	0	5	1	1	1	8	10047				
6000201	1级攻击宝石	13	2	3	200	1		9级生命宝石，可镶嵌在装备上提升角色属性。\n镶嵌部位：[\C]ff5aff4e[C]帽子、项链。[\C]ffffffff[C]\n使用方法：打开 [\C]ff5aff4e[C]轩辕鼎 - 镶嵌 [\C]ffffffff[C]界面。\n主要来源：[\C]ff5aff4e[C]轮回转盘箱子、活跃度领奖、淘宝、怪物攻城活动 [\C]ffffffff[C]获得。	1	1	0	0	1	0	3	1	2	1	50	20				
