id	name	goodsType	imageId	bindType	overlapCount	level	effectId	recycling	recyclePrice	only	offlineDie	discard	qualityType	lvLimit	secondType	headImageId	resId	shadowId	shadowNum	swallowExp	weaponResId	commonSkill	skill1	skill2	skill3	skill4	desc
id	名称	物品分类	图标id	绑定类型	叠加数量	物品等级	效果ID	可否回收	回收价格	是否唯一	下线消失	可否丢弃	物品品质	等级需求	物品小类\n	头像ID	资源ID	影子物品ID	影子物品数目	吞噬经验	武器资源ID	普通攻击技能	技能id1	技能id2	技能id3	技能id4	描述
1000000	战士	4	8	1	1								2	1		9	30000	13000001	20	150	51001	200	201				测试英雄
1000001	大剑师	4	9	1	1								2	1		9	30000	13000002	20	150	51001	205	206	207			测试英雄
1000002	刺客	4	10	1	1								2	1		9	30000	13000003	20	150	51001	210	211	212	213		测试英雄
1000003	狂战士	4	11	1	1								3	1		9	30000	13000004	20	150	51001	215	216	217	218		测试英雄
1000004	牛头人酋长	4	12	1	1								4	1		9	30000	13000005	20	150	51001	220	221	222	223		测试英雄
1000005	不详之刃	4	8	1	1								4	1		9	30000	13000006	20	150	51001	225	226	227	228		测试英雄
1000006	盖伦	4	9	1	1								4	1		9	30000	13000007	20	150	51001	230	231	232	233		测试英雄
1000007	寒冰射手	4	10	1	1								4	1		9	30000	13000008	20	150	51001	235	236	237	238		测试英雄
1000008	凯尔塞斯	4	11	1	1								4	1		9	30000	13000009	20	150	51001	240	241	242	243		测试英雄
1000009	三季稻	4	12	1	1								4	1		9	30000	13000010	20	150	51001	245	246	247	248		测试英雄
