id	name	goodsType	imageId	bindType	overlapCount	level	effectId	desc	recycling	recyclePrice	only	offlineDie	discard	qualityType	lvLimit	secondType	swallowExp	attriIds	attriValues	attriPercents
id	名称	物品分类	图标id	绑定类型	叠加数量	物品等级	效果ID	描述	可否回收	回收价格	是否唯一	下线消失	可否丢弃	物品品质	等级需求	物品小类\n1.英雄影子\n2.变身经验卡\n3.勇气印记\n4.正义印记	吞噬获得经验	印记属性id组(多个用,分隔)	印记添加属性值(多个用,分隔)	印记添加属性百分比(多个用,分隔)
13000001	战士碎片	8	29	3	999	1		集齐一定数量战士碎片可以兑换英雄卡：名称	1	1	0	0	0	2	1	1	100			
13000002	大剑师碎片	8	29	3	999	1		集齐一定数量大剑师碎片可以兑换英雄卡：战士	1	1	0	0	0	2	1	1	100			
13000003	刺客碎片	8	29	3	999	1		集齐一定数量刺客碎片可以兑换英雄卡：大剑师	1	1	0	0	0	2	1	1	100			
13000004	狂战士碎片	8	29	3	999	1		集齐一定数量狂战士碎片可以兑换英雄卡：刺客	1	1	0	0	0	3	1	1	100			
13000005	牛头人酋长碎片	8	29	3	999	1		集齐一定数量牛头人酋长碎片可以兑换英雄卡：狂战士	1	1	0	0	0	4	1	1	100			
13000006	不详之刃碎片	8	29	3	999	1		集齐一定数量不详之刃碎片可以兑换英雄卡：牛头人酋长	1	1	0	0	0	4	1	1	100			
13000007	盖伦碎片	8	29	3	999	1		集齐一定数量盖伦碎片可以兑换英雄卡：不详之刃	1	1	0	0	0	4	1	1	100			
13000008	寒冰射手碎片	8	29	3	999	1		集齐一定数量寒冰射手碎片可以兑换英雄卡：盖伦	1	1	0	0	0	4	1	1	100			
13000009	凯尔塞斯碎片	8	29	3	999	1		集齐一定数量凯尔塞斯碎片可以兑换英雄卡：寒冰射手	1	1	0	0	0	4	1	1	100			
13000010	三季稻碎片	8	29	3	999	1		集齐一定数量三季稻碎片可以兑换英雄卡：凯尔塞斯	1	1	0	0	0	4	1	1	100			
13001001	初级英雄经验药剂	8	29	3	999	1		可以用来提升英雄的经验	1	1	0	0	0	2	1	2	100			
13001002	中级英雄经验药剂	8	29	3	999	1		可以用来提升英雄的经验	1	1	0	0	0	3	1	2	500			
13001003	高级英雄经验药剂	8	29	3	999	1		可以用来提升英雄的经验	1	1	0	0	0	4	1	2	2000			
13002001	勇气印记	8	29	3	999	1		可以永久提升英雄的能力	1	1	0	0	0	4	1	3		50,51,8,9	10,6,75,37	
13003001	正义印记	8	29	3	999	1		可以永久提升英雄的能力	1	1	0	0	0	4	1	4		50,51,8,9		100100100100
