id	name	goodsType	imageId	bindType	overlapCount	level	effectId	desc	recycling	recyclePrice	only	offlineDie	discard	printlog	qualityType	lvLimit	secondType
id	名称	物品分类	图标id	绑定类型	叠加数量	物品等级	效果ID	描述	可否回收	回收价格	是否唯一	下线消失	可否丢弃	是否打印日志	物品品质	等级需求	物品小类
7000001	低级装备升级材料	7	29	3	999	1		一些材料，可以用来合成高级装备	1	1	0	0	1	1	3	1	4
7000002	高级装备升级材料	7	29	3	999	1		一些材料，可以用来合成低级装备	1	1	0	0	1	1	3	1	4
7000003	女神进化材料	7	29	3	999	1		一些材料，可以用来合成低级装备	1	1	0	0	1	1	3	1	4
7000004	女神招募材料	7	29	3	999	1		一些材料，可以用来合成低级装备	1	1	0	0	1	1	3	1	4
7000005	1级强化石	7	2	3	999	1		可用来强化装备	1	1	0	0	1	1	3	1	0
7000006	2级强化石	7	3	3	999	1		可用来强化装备	1	1	0	0	1	1	4	1	0
7000007	3级强化石	7	4	3	999	1		可用来强化装备	1	1	0	0	1	1	5	1	0
7000008	1级保护符文	7	12	3	999	1		可用来保护装备在强化时不掉级	1	1	0	0	1	1	4	1	0
7000009	2级保护符文	7	3	3	999	1		可用来保护装备在强化时不掉级	1	1	0	0	1	1	5	1	0
7000010	坐骑经验药剂	7	29	3	999	1		可以用来给坐骑升级	1	1	0	0	1	1	3	1	0
7000011	骑乘心得	7	29	3	999	1		可以用来升级坐骑骑术	1	1	0	0	1	1	3	1	0
7000012	装备洗练石	7	29	3	999	1		可以用来洗练装备	1	1	0	0	1	1	3	1	0
7001001	座狼的项圈碎片	7	29	3	999	1		可以用来合成座狼的项圈		1	0	0	1	1	2	1	0
7001002	战马的马鞭碎片	7	29	3	999	1		可以用来合成战马的马鞭		1	0	0	1	1	2	1	0
7001003	猛虎的面罩碎片	7	29	3	999	1		可以用来合成猛虎的项圈		1	0	0	1	1	2	1	0
7001004	山羊的蹄铁碎片	7	29	3	999	1		可以用来合成山羊的缰绳		1	0	0	1	1	2	1	0
7001005	迅猛龙的鞍座碎片	7	29	3	999	1		可以用来合成迅猛龙的鞍座		1	0	0	1	1	2	1	0
7001006	战熊的衔铁碎片	7	29	3	999	1		可以用来合成战熊的项圈		1	0	0	1	1	2	1	0
7001007	甲虫的缰绳碎片	7	29	3	999	1		可以用来合成甲虫的鞍座		1	0	0	1	1	2	1	0
7001008	机械陆行鸟的遥控器碎片	7	29	3	999	1		可以用来合成陆行鸟的缰绳		1	0	0	1	1	2	1	0
