id	name	goodsType	imageId	bindType	overlapCount	level	effectId	desc	recycling	recyclePrice	only	offlineDie	discard	printlog	qualityType	lvLimit	pay	composeGroupId	activateType	deadline	gold	bindGold	expireType	secondType	secondTypeName	nameColor	strokeColor	backImageId	titleEffectId	broadcast	broadcastInfo	killBroadcast	killBroadcastInfo	expAddRate	expMultRate	attriTypes	values	precValues	groupId	startDateStr	endDateStr	startDay	endDay
id	名称	物品分类	图标id	绑定类型	叠加数量	物品等级	效果ID	描述	可否回收	回收价格	是否唯一	下线消失	可否丢弃	是否打印日志	物品品质	等级要求	是否可续费	合成组ID	激活类型	有效期限（分钟）	续费金条数	续费绑金数	到期处理类型	物品小类	物品小类名称\n用户称号列表显示	称号字体颜色\n格式:FFFFFFFF	描边颜色\n格式:FFFFFFFF	背景图片\nbyte	称号特效\nshort	是否需要广播	获得需要广播内容	死亡广播	死亡广播的内容	经验获得加法加成	经验获得乘法加成	影响的属性	影响的值	影响的百分比	称号组(相同组同一时刻只能激活一个)	开始日期	结束日期	开始日期(天)\n开服的第X天	结束日期(天)\n开服的第X天
12000101	骑士身份	20	29	3	200			\n效果：[\C]ff5aff4e[C]\n防御+20\n韧性+100\n[\C]ffffffff[C]来源：用威望勋章找[\C]ff5aff4e[C]威望勋章长老（朝歌）[\C]ffffffff[C]兑换	0	0	1	0	1	0	3	1	0	12000101	0	0			0	1	王者	ff6cff00	ff001834	0								51,55	20,100		1				
12000102	男爵	20	29	3	200			\n效果：[\C]ff5aff4e[C]\n防御+80\n韧性+200\n[\C]ffffffff[C]来源：用威望勋章找[\C]ff5aff4e[C]威望勋章长老（朝歌）[\C]ffffffff[C]兑换	0	0	1	0	1	0	3	1	0	12000102	0	0			0	1	王者	ff25ffe8	ff001834	1								51,55	80,200		1				
12000103	子爵	20	29	3	200			\n效果：[\C]ff5aff4e[C]\n防御+160\n韧性+400\n[\C]ffffffff[C]来源：用威望勋章找[\C]ff5aff4e[C]威望勋章长老（朝歌）[\C]ffffffff[C]兑换	0	0	1	0	1	0	3	1	0	12000103	0	0			0	1	王者	fff600ff	ffffffff	2								51,55	160,400		1				
12000104	伯爵	20	29	3	200			\n效果：[\C]ff5aff4e[C]\n防御+280\n韧性+600\n[\C]ffffffff[C]来源：用威望勋章找[\C]ff5aff4e[C]威望勋章长老（朝歌）[\C]ffffffff[C]兑换	0	0	1	0	1	0	4	1	0	12000104	0	0			0	1	王者	ffffe400	ff001834	3								51,55	280,600		1				
12000105	侯爵	20	29	3	200			\n效果：[\C]ff5aff4e[C]\n防御+400\n韧性+900\n[\C]ffffffff[C]来源：用威望勋章找[\C]ff5aff4e[C]威望勋章长老（朝歌）[\C]ffffffff[C]兑换	0	0	1	0	1	0	4	1	0	12000105	0	0			0	1	王者	ffff45b2	ff001834	4								51,55	400,900		1				
12000106	公爵	20	29	3	200			\n效果：[\C]ff5aff4e[C]\n防御+600\n韧性+1200\n[\C]ffffffff[C]来源：用威望勋章找[\C]ff5aff4e[C]威望勋章长老（朝歌）[\C]ffffffff[C]兑换	0	0	1	0	1	0	4	1	0	12000106	0	0			0	1	王者	ffffe400	ff001834	5								51,55	600,1200		1				
12000107	亲王	20	29	3	200			\n效果：[\C]ff5aff4e[C]\n防御+800\n韧性+1500\n[\C]ffffffff[C]来源：用威望勋章找[\C]ff5aff4e[C]威望勋章长老（朝歌）[\C]ffffffff[C]兑换	0	0	1	0	1	0	5	1	0	12000107	0	0			0	1	王者	ff00ffea	ff001834	6								51,55	800,1500		1				
12000108	士官长	20	29	3	200			\n效果：[\C]ff5aff4e[C]\n攻击+1000\n命中+900\n[\C]ffffffff[C]来源：消耗荣誉值找[\C]ff5aff4e[C]荣誉值仙子（朝歌）[\C]ffffffff[C]领取	0	0	1	0	1	0	4	1	0	12000108	0	0			0	1	王者	ffff45b2	ff001834	11								50,52	1000,900		1				
12000109	少尉	20	29	3	200			\n效果：[\C]ff5aff4e[C]\n攻击+1500\n命中+1200\n[\C]ffffffff[C]来源：消耗荣誉值找[\C]ff5aff4e[C]荣誉值仙子（朝歌）[\C]ffffffff[C]领取	0	0	1	0	1	0	4	1	0	12000109	0	0			0	1	王者	ffffe400	ff001834	12								50,52	1500,1200		1				
