heroQuality	level	maxExp	maxValorNum	maxJusticeNum
英雄品质	等级	升到下级需要的经验	勇气印记最大镶嵌数	正义印记最大镶嵌数
2	1	100	1	
2	2	200	2	
2	3	300	3	
2	4	400	4	
2	5	500	5	
2	6	600	6	
2	7	700	7	
2	8	800	8	
2	9	900	9	
2	10	1000	10	
2	11	1100	11	
2	12	1200	12	
2	13	1300	13	
2	14	1400	14	
2	15	1500	15	
2	16	1600	16	
2	17	1700	17	
2	18	1800	18	
2	19	1900	19	
2	20	2000	20	
2	21	2100	21	1
2	22	2200	22	2
2	23	2300	23	3
2	24	2400	24	4
2	25	2500	25	5
2	26	2600	26	6
2	27	2700	27	7
2	28	2800	28	8
2	29	2900	29	9
2	30	3000	30	10
3	1	200	1	
3	2	400	2	
3	3	600	3	
3	4	800	4	
3	5	1000	5	
3	6	1200	6	
3	7	1400	7	
3	8	1600	8	
3	9	1800	9	
3	10	2000	10	
3	11	2200	11	
3	12	2400	12	
3	13	2600	13	
3	14	2800	14	
3	15	3000	15	
3	16	3200	16	
3	17	3400	17	
3	18	3600	18	
3	19	3800	19	
3	20	4000	20	
3	21	4200	21	1
3	22	4400	22	2
3	23	4600	23	3
3	24	4800	24	4
3	25	5000	25	5
3	26	5200	26	6
3	27	5400	27	7
3	28	5600	28	8
3	29	5800	29	9
3	30	6000	30	10
4	1	300	1	
4	2	600	2	
4	3	900	3	
4	4	1200	4	
4	5	1500	5	
4	6	1800	6	
4	7	2100	7	
4	8	2400	8	
4	9	2700	9	
4	10	3000	10	
4	11	3300	11	
4	12	3600	12	
4	13	3900	13	
4	14	4200	14	
4	15	4500	15	
4	16	4800	16	
4	17	5100	17	
4	18	5400	18	
4	19	5700	19	
4	20	6000	20	
4	21	6300	21	1
4	22	6600	22	2
4	23	6900	23	3
4	24	7200	24	4
4	25	7500	25	5
4	26	7800	26	6
4	27	8100	27	7
4	28	8400	28	8
4	29	8700	29	9
4	30	9000	30	10
