heroId	loveType	ids	desc	attriValue	attriPercent
英雄ID	0 坐骑\n1 女神\n2 神兵	相关id,\n多个用,分割	相关提示	具体属性值\nId1:value1,id2:value2	具体属性百分比(10000=100%)\nId1:value1,id2:value2
1000000	0	2000000			2000
1000001	0	2000001			2000
1000002	0	2000002			2000
1000003	0	2000003			2000
1000004	0	2000004			2000
1000005	0	2000005			2000
1000006	0	2000006			2000
1000007	0	2000007			2000
1000008	0	2000008			2000
1000009	0	2000009			2000
1000000	1	3000001			2000
1000001	1	3000002			2000
1000002	1	3000003			2000
1000003	1	3000004			2000
1000004	1	3000005			2000
1000005	1	3000006			2000
1000006	1	3000007			2000
1000007	1	3000008			2000
1000008	1	3000009			2000
1000009	1	3000010			2000
