typeId	goodsId	goodsNum	weights	weightsType	broadcast
类型ID	物品ID	物品数量	权重	0 默认\n1 (一般是非英雄)表示由于算法减少的英雄权重，\n会平均添加到此物品权重上	广播信息
1	13000001	1	100		
1	13000002	1	100		
1	13000003	1	100		
1	13000004	1	100		
1	13000005	1	100		
1	13000006	1	100		
1	13000007	1	100		
1	13000008	1	100		
1	13000009	1	100		
1	13000010	1	100		
1	13001001	1	300	1	
1	13001002	1	300	1	
1	13001003	1	300	1	
1	13002001	1	100		
1	13002002	1	100		
1	13002003	1	100		
1	13002004	1	100		
1	13003001	1	100		
1	13003001	1	100		
1	13003001	1	100		
1	13003001	1	100		
2	13000001	1	100		
2	13000002	1	100		
2	13000003	1	100		
2	13000004	1	100		
2	13000005	1	100		
2	13000006	1	100		
2	13000007	1	100		
2	13000008	1	100		
2	13000009	1	100		
2	13000010	1	100		
2	13001001	1	300	1	
2	13001002	1	300	1	
2	13001003	1	300	1	
2	13002001	1	100		
2	13002002	1	100		
2	13002003	1	100		
2	13002004	1	100		
2	13003001	1	100		
2	13003001	1	100		
2	13003001	1	100		
2	13003001	1	100		
2	13000001	1	100		
3	13000002	1	100		
3	13000003	1	100		
3	13000004	1	100		
3	13000005	1	100		
3	13000006	1	100		
3	13000007	1	100		
3	13000008	1	100		
3	13000009	1	100		
3	13000010	1	100		
3	13001001	1	300	1	
3	13001002	1	300	1	
3	13001003	1	300	1	
3	13002001	1	100		
3	13002002	1	100		
3	13002003	1	100		
3	13002004	1	100		
3	13003001	1	100		
3	13003001	1	100		
3	13003001	1	100		
3	13003001	1	100		
