horseLevel	horseId	additionAttack	additionRit	additionHp	additionMp
坐骑等级	坐骑Id	攻击加成	防御加成	生命加成	法力加成
1	1	48	29	361	181
2	1	50	30	379	189
3	1	53	32	396	198
4	1	55	33	413	207
5	1	57	34	430	215
6	1	60	36	448	224
7	1	62	37	465	232
8	1	64	39	482	241
9	1	67	40	499	250
10	1	69	41	516	258
11	1	71	43	534	267
12	1	73	44	551	275
13	1	76	45	568	284
14	1	78	47	585	293
15	1	80	48	602	301
16	1	83	50	620	310
17	1	85	51	637	318
18	1	87	52	654	327
19	1	90	54	671	336
20	1	92	55	689	344
1	2	64	39	482	241
2	2	67	40	505	252
3	2	70	42	528	264
4	2	73	44	551	275
5	2	77	46	574	287
6	2	80	48	597	298
7	2	83	50	620	310
8	2	86	51	643	321
9	2	89	53	666	333
10	2	92	55	689	344
11	2	95	57	711	356
12	2	98	59	734	367
13	2	101	61	757	379
14	2	104	62	780	390
15	2	107	64	803	402
16	2	110	66	826	413
17	2	113	68	849	425
18	2	116	70	872	436
19	2	119	72	895	448
20	2	122	73	918	459
1	3	80	48	602	301
2	3	84	50	631	316
3	3	88	53	660	330
4	3	92	55	689	344
5	3	96	57	717	359
6	3	99	60	746	373
7	3	103	62	775	387
8	3	107	64	803	402
9	3	111	67	832	416
10	3	115	69	861	430
11	3	119	71	889	445
12	3	122	73	918	459
13	3	126	76	947	473
14	3	130	78	975	488
15	3	134	80	1004	502
16	3	138	83	1033	516
17	3	142	85	1061	531
18	3	145	87	1090	545
19	3	149	90	1119	559
20	3	153	92	1148	574
1	4	96	58	723	361
2	4	101	61	757	379
3	4	106	63	792	396
4	4	110	66	826	413
5	4	115	69	861	430
6	4	119	72	895	448
7	4	124	74	929	465
8	4	129	77	964	482
9	4	133	80	998	499
10	4	138	83	1033	516
11	4	142	85	1067	534
12	4	147	88	1102	551
13	4	151	91	1136	568
14	4	156	94	1170	585
15	4	161	96	1205	602
16	4	165	99	1239	620
17	4	170	102	1274	637
18	4	174	105	1308	654
19	4	179	107	1343	671
20	4	184	110	1377	689
1	5	48	29	361	181
2	5	50	30	379	189
3	5	53	32	396	198
4	5	55	33	413	207
5	5	57	34	430	215
6	5	60	36	448	224
7	5	62	37	465	232
8	5	64	39	482	241
9	5	67	40	499	250
10	5	69	41	516	258
11	5	71	43	534	267
12	5	73	44	551	275
13	5	76	45	568	284
14	5	78	47	585	293
15	5	80	48	602	301
16	5	83	50	620	310
17	5	85	51	637	318
18	5	87	52	654	327
19	5	90	54	671	336
20	5	92	55	689	344
1	6	64	39	482	241
2	6	67	40	505	252
3	6	70	42	528	264
4	6	73	44	551	275
5	6	77	46	574	287
6	6	80	48	597	298
7	6	83	50	620	310
8	6	86	51	643	321
9	6	89	53	666	333
10	6	92	55	689	344
11	6	95	57	711	356
12	6	98	59	734	367
13	6	101	61	757	379
14	6	104	62	780	390
15	6	107	64	803	402
16	6	110	66	826	413
17	6	113	68	849	425
18	6	116	70	872	436
19	6	119	72	895	448
20	6	122	73	918	459
1	7	80	48	602	301
2	7	84	50	631	316
3	7	88	53	660	330
4	7	92	55	689	344
5	7	96	57	717	359
6	7	99	60	746	373
7	7	103	62	775	387
8	7	107	64	803	402
9	7	111	67	832	416
10	7	115	69	861	430
11	7	119	71	889	445
12	7	122	73	918	459
13	7	126	76	947	473
14	7	130	78	975	488
15	7	134	80	1004	502
16	7	138	83	1033	516
17	7	142	85	1061	531
18	7	145	87	1090	545
19	7	149	90	1119	559
20	7	153	92	1148	574
1	8	96	58	723	361
2	8	101	61	757	379
3	8	106	63	792	396
4	8	110	66	826	413
5	8	115	69	861	430
6	8	119	72	895	448
7	8	124	74	929	465
8	8	129	77	964	482
9	8	133	80	998	499
10	8	138	83	1033	516
11	8	142	85	1067	534
12	8	147	88	1102	551
13	8	151	91	1136	568
14	8	156	94	1170	585
15	8	161	96	1205	602
16	8	165	99	1239	620
17	8	170	102	1274	637
18	8	174	105	1308	654
19	8	179	107	1343	671
20	8	184	110	1377	689
1	9	48	29	361	181
2	9	50	30	379	189
3	9	53	32	396	198
4	9	55	33	413	207
5	9	57	34	430	215
6	9	60	36	448	224
7	9	62	37	465	232
8	9	64	39	482	241
9	9	67	40	499	250
10	9	69	41	516	258
11	9	71	43	534	267
12	9	73	44	551	275
13	9	76	45	568	284
14	9	78	47	585	293
15	9	80	48	602	301
16	9	83	50	620	310
17	9	85	51	637	318
18	9	87	52	654	327
19	9	90	54	671	336
20	9	92	55	689	344
1	10	64	39	482	241
2	10	67	40	505	252
3	10	70	42	528	264
4	10	73	44	551	275
5	10	77	46	574	287
6	10	80	48	597	298
7	10	83	50	620	310
8	10	86	51	643	321
9	10	89	53	666	333
10	10	92	55	689	344
11	10	95	57	711	356
12	10	98	59	734	367
13	10	101	61	757	379
14	10	104	62	780	390
15	10	107	64	803	402
16	10	110	66	826	413
17	10	113	68	849	425
18	10	116	70	872	436
19	10	119	72	895	448
20	10	122	73	918	459
1	11	80	48	602	301
2	11	84	50	631	316
3	11	88	53	660	330
4	11	92	55	689	344
5	11	96	57	717	359
6	11	99	60	746	373
7	11	103	62	775	387
8	11	107	64	803	402
9	11	111	67	832	416
10	11	115	69	861	430
11	11	119	71	889	445
12	11	122	73	918	459
13	11	126	76	947	473
14	11	130	78	975	488
15	11	134	80	1004	502
16	11	138	83	1033	516
17	11	142	85	1061	531
18	11	145	87	1090	545
19	11	149	90	1119	559
20	11	153	92	1148	574
1	12	96	58	723	361
2	12	101	61	757	379
3	12	106	63	792	396
4	12	110	66	826	413
5	12	115	69	861	430
6	12	119	72	895	448
7	12	124	74	929	465
8	12	129	77	964	482
9	12	133	80	998	499
10	12	138	83	1033	516
11	12	142	85	1067	534
12	12	147	88	1102	551
13	12	151	91	1136	568
14	12	156	94	1170	585
15	12	161	96	1205	602
16	12	165	99	1239	620
17	12	170	102	1274	637
18	12	174	105	1308	654
19	12	179	107	1343	671
20	12	184	110	1377	689
1	13	48	29	361	181
2	13	50	30	379	189
3	13	53	32	396	198
4	13	55	33	413	207
5	13	57	34	430	215
6	13	60	36	448	224
7	13	62	37	465	232
8	13	64	39	482	241
9	13	67	40	499	250
10	13	69	41	516	258
11	13	71	43	534	267
12	13	73	44	551	275
13	13	76	45	568	284
14	13	78	47	585	293
15	13	80	48	602	301
16	13	83	50	620	310
17	13	85	51	637	318
18	13	87	52	654	327
19	13	90	54	671	336
20	13	92	55	689	344
1	14	64	39	482	241
2	14	67	40	505	252
3	14	70	42	528	264
4	14	73	44	551	275
5	14	77	46	574	287
6	14	80	48	597	298
7	14	83	50	620	310
8	14	86	51	643	321
9	14	89	53	666	333
10	14	92	55	689	344
11	14	95	57	711	356
12	14	98	59	734	367
13	14	101	61	757	379
14	14	104	62	780	390
15	14	107	64	803	402
16	14	110	66	826	413
17	14	113	68	849	425
18	14	116	70	872	436
19	14	119	72	895	448
20	14	122	73	918	459
1	15	80	48	602	301
2	15	84	50	631	316
3	15	88	53	660	330
4	15	92	55	689	344
5	15	96	57	717	359
6	15	99	60	746	373
7	15	103	62	775	387
8	15	107	64	803	402
9	15	111	67	832	416
10	15	115	69	861	430
11	15	119	71	889	445
12	15	122	73	918	459
13	15	126	76	947	473
14	15	130	78	975	488
15	15	134	80	1004	502
16	15	138	83	1033	516
17	15	142	85	1061	531
18	15	145	87	1090	545
19	15	149	90	1119	559
20	15	153	92	1148	574
1	16	96	58	723	361
2	16	101	61	757	379
3	16	106	63	792	396
4	16	110	66	826	413
5	16	115	69	861	430
6	16	119	72	895	448
7	16	124	74	929	465
8	16	129	77	964	482
9	16	133	80	998	499
10	16	138	83	1033	516
11	16	142	85	1067	534
12	16	147	88	1102	551
13	16	151	91	1136	568
14	16	156	94	1170	585
15	16	161	96	1205	602
16	16	165	99	1239	620
17	16	170	102	1274	637
18	16	174	105	1308	654
19	16	179	107	1343	671
20	16	184	110	1377	689
1	17	48	29	361	181
2	17	50	30	379	189
3	17	53	32	396	198
4	17	55	33	413	207
5	17	57	34	430	215
6	17	60	36	448	224
7	17	62	37	465	232
8	17	64	39	482	241
9	17	67	40	499	250
10	17	69	41	516	258
11	17	71	43	534	267
12	17	73	44	551	275
13	17	76	45	568	284
14	17	78	47	585	293
15	17	80	48	602	301
16	17	83	50	620	310
17	17	85	51	637	318
18	17	87	52	654	327
19	17	90	54	671	336
20	17	92	55	689	344
1	18	64	39	482	241
2	18	67	40	505	252
3	18	70	42	528	264
4	18	73	44	551	275
5	18	77	46	574	287
6	18	80	48	597	298
7	18	83	50	620	310
8	18	86	51	643	321
9	18	89	53	666	333
10	18	92	55	689	344
11	18	95	57	711	356
12	18	98	59	734	367
13	18	101	61	757	379
14	18	104	62	780	390
15	18	107	64	803	402
16	18	110	66	826	413
17	18	113	68	849	425
18	18	116	70	872	436
19	18	119	72	895	448
20	18	122	73	918	459
1	19	80	48	602	301
2	19	84	50	631	316
3	19	88	53	660	330
4	19	92	55	689	344
5	19	96	57	717	359
6	19	99	60	746	373
7	19	103	62	775	387
8	19	107	64	803	402
9	19	111	67	832	416
10	19	115	69	861	430
11	19	119	71	889	445
12	19	122	73	918	459
13	19	126	76	947	473
14	19	130	78	975	488
15	19	134	80	1004	502
16	19	138	83	1033	516
17	19	142	85	1061	531
18	19	145	87	1090	545
19	19	149	90	1119	559
20	19	153	92	1148	574
1	20	96	58	723	361
2	20	101	61	757	379
3	20	106	63	792	396
4	20	110	66	826	413
5	20	115	69	861	430
6	20	119	72	895	448
7	20	124	74	929	465
8	20	129	77	964	482
9	20	133	80	998	499
10	20	138	83	1033	516
11	20	142	85	1067	534
12	20	147	88	1102	551
13	20	151	91	1136	568
14	20	156	94	1170	585
15	20	161	96	1205	602
16	20	165	99	1239	620
17	20	170	102	1274	637
18	20	174	105	1308	654
19	20	179	107	1343	671
20	20	184	110	1377	689
1	21	48	29	361	181
2	21	50	30	379	189
3	21	53	32	396	198
4	21	55	33	413	207
5	21	57	34	430	215
6	21	60	36	448	224
7	21	62	37	465	232
8	21	64	39	482	241
9	21	67	40	499	250
10	21	69	41	516	258
11	21	71	43	534	267
12	21	73	44	551	275
13	21	76	45	568	284
14	21	78	47	585	293
15	21	80	48	602	301
16	21	83	50	620	310
17	21	85	51	637	318
18	21	87	52	654	327
19	21	90	54	671	336
20	21	92	55	689	344
1	22	64	39	482	241
2	22	67	40	505	252
3	22	70	42	528	264
4	22	73	44	551	275
5	22	77	46	574	287
6	22	80	48	597	298
7	22	83	50	620	310
8	22	86	51	643	321
9	22	89	53	666	333
10	22	92	55	689	344
11	22	95	57	711	356
12	22	98	59	734	367
13	22	101	61	757	379
14	22	104	62	780	390
15	22	107	64	803	402
16	22	110	66	826	413
17	22	113	68	849	425
18	22	116	70	872	436
19	22	119	72	895	448
20	22	122	73	918	459
1	23	80	48	602	301
2	23	84	50	631	316
3	23	88	53	660	330
4	23	92	55	689	344
5	23	96	57	717	359
6	23	99	60	746	373
7	23	103	62	775	387
8	23	107	64	803	402
9	23	111	67	832	416
10	23	115	69	861	430
11	23	119	71	889	445
12	23	122	73	918	459
13	23	126	76	947	473
14	23	130	78	975	488
15	23	134	80	1004	502
16	23	138	83	1033	516
17	23	142	85	1061	531
18	23	145	87	1090	545
19	23	149	90	1119	559
20	23	153	92	1148	574
1	24	96	58	723	361
2	24	101	61	757	379
