id	name	quality	race	skillId	maxLevel	nextHorseId	attack	rit	hp	mp	moveSpeed	goodsType	goodsId	goodsNum	imageId	iconId
坐骑ID	坐骑名称	品质	种族	坐骑技能	等级上限	下阶坐骑ID	基础攻击	基础防御	基础生命	基础法力	移动速度	升品需要物品类型	升品需要物品Id	升品需要物品数量	资源Id	小图标Id
1	座狼	2	1	0	20	2	48	29	361	181	360	7	3000001	3	20001	1
2	快速座狼	3	1	0	20	3	64	39	482	241	360	7	3000001	9	20001	1
3	迅捷座狼	4	1	0	20	4	80	48	602	301	360	7	3000001	27	20001	1
4	霜狼嗥叫者	5	1	0	20	0	96	58	723	361	360	7	3000001	81	20001	1
5	骸骨战马	2	2	0	20	6	48	29	361	181	360	7	3000002	3	20001	1
6	快速骸骨战马	3	2	0	20	7	64	39	482	241	360	7	3000002	9	20001	1
7	迅捷骸骨战马	4	2	0	20	8	80	48	602	301	360	7	3000002	27	20001	1
8	瑞文戴尔战马	5	2	0	20	0	96	58	723	361	360	7	3000002	81	20001	1
9	猛虎	2	3	0	20	10	48	29	361	181	360	7	3000003	3	20001	1
10	快速猛虎	3	3	0	20	11	64	39	482	241	360	7	3000003	9	20001	1
11	迅捷猛虎	4	3	0	20	12	80	48	602	301	360	7	3000003	27	20001	1
12	祖利安猛虎	5	3	0	20	0	96	58	723	361	360	7	3000003	81	20001	1
13	山羊	2	4	0	20	14	48	29	361	181	360	7	3000004	3	20001	1
14	快速山羊	3	4	0	20	15	64	39	482	241	360	7	3000004	9	20001	1
15	迅捷山羊	4	4	0	20	16	80	48	602	301	360	7	3000004	27	20001	1
16	黑色战羊	5	4	0	20	0	96	58	723	361	360	7	3000004	81	20001	1
17	迅猛龙	2	5	0	20	18	48	29	361	181	360	7	3000005	3	20001	1
18	快速迅猛龙	3	5	0	20	19	64	39	482	241	360	7	3000005	9	20001	1
19	迅捷迅猛龙	4	5	0	20	20	80	48	602	301	360	7	3000005	27	20001	1
20	拉扎什迅猛龙	5	5	0	20	0	96	58	723	361	360	7	3000005	81	20001	1
21	战熊	2	6	0	20	22	48	29	361	181	360	7	3000006	3	20001	1
22	快速战熊	3	6	0	20	23	64	39	482	241	360	7	3000006	9	20001	1
23	迅捷战熊	4	6	0	20	24	80	48	602	301	360	7	3000006	27	20001	1
24	阿曼尼战熊	5	6	0	20	0	96	58	723	361	360	7	3000006	81	20001	1
25	甲虫	2	7	0	20	26	48	29	361	181	360	7	3000007	3	20001	1
26	快速甲虫	3	7	0	20	27	64	39	482	241	360	7	3000007	9	20001	1
27	迅捷甲虫	4	7	0	20	28	80	48	602	301	360	7	3000007	27	20001	1
28	其拉共鸣水晶	5	7	0	20	0	96	58	723	361	360	7	3000007	81	20001	1
29	机械陆行鸟	2	8	0	20	30	48	29	361	181	360	7	3000008	3	20001	1
30	快速机械陆行鸟	3	8	0	20	31	64	39	482	241	360	7	3000008	9	20001	1
31	机械迅捷陆行鸟	4	8	0	20	32	80	48	602	301	360	7	3000008	27	20001	1
32	诺莫瑞根机械陆行鸟	5	8	0	20	0	96	58	723	361	360	7	3000008	81	20001	1
