level	exp	quality	goodsId
等级	经验	品质	升级需要物品Id
1	10	2	7000010
2	20	2	7000010
3	30	2	7000010
4	40	2	7000010
5	50	2	7000010
6	60	2	7000010
7	70	2	7000010
8	80	2	7000010
9	90	2	7000010
10	100	2	7000010
11	110	2	7000010
12	120	2	7000010
13	130	2	7000010
14	140	2	7000010
15	150	2	7000010
16	160	2	7000010
17	170	2	7000010
18	180	2	7000010
19	190	2	7000010
20	200	2	7000010
1	15	3	7000010
2	30	3	7000010
3	45	3	7000010
4	60	3	7000010
5	75	3	7000010
6	90	3	7000010
7	105	3	7000010
8	120	3	7000010
9	135	3	7000010
10	150	3	7000010
11	165	3	7000010
12	180	3	7000010
13	195	3	7000010
14	210	3	7000010
15	225	3	7000010
16	240	3	7000010
17	255	3	7000010
18	270	3	7000010
19	285	3	7000010
20	300	3	7000010
1	20	4	7000010
2	40	4	7000010
3	60	4	7000010
4	80	4	7000010
5	100	4	7000010
6	120	4	7000010
7	140	4	7000010
8	160	4	7000010
9	180	4	7000010
10	200	4	7000010
11	220	4	7000010
12	240	4	7000010
13	260	4	7000010
14	280	4	7000010
15	300	4	7000010
16	320	4	7000010
17	340	4	7000010
18	360	4	7000010
19	380	4	7000010
20	400	4	7000010
1	25	5	7000010
2	50	5	7000010
3	75	5	7000010
4	100	5	7000010
5	125	5	7000010
6	150	5	7000010
7	175	5	7000010
8	200	5	7000010
9	225	5	7000010
10	250	5	7000010
11	275	5	7000010
12	300	5	7000010
13	325	5	7000010
14	350	5	7000010
15	375	5	7000010
16	400	5	7000010
17	425	5	7000010
18	450	5	7000010
19	475	5	7000010
20	500	5	7000010
