manshipLevel	additionProp
骑术等级	属性加成（攻击、防御、生命、法力）
1	1000
2	2000
3	3000
4	4000
5	5000
6	6000
7	7000
8	8000
9	9000
10	10000
11	11200
12	12400
13	13600
14	14800
15	16000
16	17200
17	18400
18	19600
19	20800
20	22000
21	23400
22	24800
23	26200
24	27600
25	29000
26	30400
27	31800
28	33200
29	34600
30	36000
31	37600
32	39200
33	40800
34	42400
35	44000
36	45600
37	47200
38	48800
39	50400
40	52000
41	53800
42	55600
43	57400
44	59200
45	61000
46	62800
47	64600
48	66400
49	68200
50	70000
51	72000
52	74000
53	76000
54	78000
55	80000
56	82000
57	84000
58	86000
59	88000
60	90000
61	92200
62	94400
63	96600
64	98800
65	101000
66	103200
67	105400
68	107600
69	109800
70	112000
71	114400
72	116800
73	119200
74	121600
75	124000
76	126400
77	128800
78	131200
79	133600
80	136000
81	138600
82	141200
83	143800
84	146400
85	149000
86	151600
87	154200
88	156800
89	159400
90	162000
91	164800
92	167600
93	170400
94	173200
95	176000
96	178800
97	181600
98	184400
99	187200
100	190000
