manshipLevel	goldMoney	zp	goodsType	goodsId	goodsNum
骑术等级	金币	真气	物品类型	物品Id	物品数量
0	100	200	7	7000011	1
1	200	400	7	7000011	2
2	300	600	7	7000011	3
3	400	800	7	7000011	4
4	500	1000	7	7000011	5
5	600	1200	7	7000011	6
6	700	1400	7	7000011	7
7	800	1600	7	7000011	8
8	900	1800	7	7000011	9
9	1000	2000	7	7000011	10
10	1100	2200	7	7000011	11
11	1200	2400	7	7000011	12
12	1300	2600	7	7000011	13
13	1400	2800	7	7000011	14
14	1500	3000	7	7000011	15
15	1600	3200	7	7000011	16
16	1700	3400	7	7000011	17
17	1800	3600	7	7000011	18
18	1900	3800	7	7000011	19
19	2000	4000	7	7000011	20
20	2100	4200	7	7000011	21
21	2200	4400	7	7000011	22
22	2300	4600	7	7000011	23
23	2400	4800	7	7000011	24
24	2500	5000	7	7000011	25
25	2600	5200	7	7000011	26
26	2700	5400	7	7000011	27
27	2800	5600	7	7000011	28
28	2900	5800	7	7000011	29
29	3000	6000	7	7000011	30
30	3100	6200	7	7000011	31
31	3200	6400	7	7000011	32
32	3300	6600	7	7000011	33
33	3400	6800	7	7000011	34
34	3500	7000	7	7000011	35
35	3600	7200	7	7000011	36
36	3700	7400	7	7000011	37
37	3800	7600	7	7000011	38
38	3900	7800	7	7000011	39
39	4000	8000	7	7000011	40
40	4100	8200	7	7000011	41
41	4200	8400	7	7000011	42
42	4300	8600	7	7000011	43
43	4400	8800	7	7000011	44
44	4500	9000	7	7000011	45
45	4600	9200	7	7000011	46
46	4700	9400	7	7000011	47
47	4800	9600	7	7000011	48
48	4900	9800	7	7000011	49
49	5000	10000	7	7000011	50
50	5100	10200	7	7000011	51
51	5200	10400	7	7000011	52
52	5300	10600	7	7000011	53
53	5400	10800	7	7000011	54
54	5500	11000	7	7000011	55
55	5600	11200	7	7000011	56
56	5700	11400	7	7000011	57
57	5800	11600	7	7000011	58
58	5900	11800	7	7000011	59
59	6000	12000	7	7000011	60
60	6100	12200	7	7000011	61
61	6200	12400	7	7000011	62
62	6300	12600	7	7000011	63
63	6400	12800	7	7000011	64
64	6500	13000	7	7000011	65
65	6600	13200	7	7000011	66
66	6700	13400	7	7000011	67
67	6800	13600	7	7000011	68
68	6900	13800	7	7000011	69
69	7000	14000	7	7000011	70
70	7100	14200	7	7000011	71
71	7200	14400	7	7000011	72
72	7300	14600	7	7000011	73
73	7400	14800	7	7000011	74
74	7500	15000	7	7000011	75
75	7600	15200	7	7000011	76
76	7700	15400	7	7000011	77
77	7800	15600	7	7000011	78
78	7900	15800	7	7000011	79
79	8000	16000	7	7000011	80
80	8100	16200	7	7000011	81
81	8200	16400	7	7000011	82
82	8300	16600	7	7000011	83
83	8400	16800	7	7000011	84
84	8500	17000	7	7000011	85
85	8600	17200	7	7000011	86
86	8700	17400	7	7000011	87
87	8800	17600	7	7000011	88
88	8900	17800	7	7000011	89
89	9000	18000	7	7000011	90
90	9100	18200	7	7000011	91
91	9200	18400	7	7000011	92
92	9300	18600	7	7000011	93
93	9400	18800	7	7000011	94
94	9500	19000	7	7000011	95
95	9600	19200	7	7000011	96
96	9700	19400	7	7000011	97
97	9800	19600	7	7000011	98
98	9900	19800	7	7000011	99
99	10000	20000	7	7000011	100
