type	manshipLevel	roleLevel
种族类型	骑术等级	角色等级
1	1	2
1	2	4
1	3	6
1	4	8
1	5	10
1	6	12
1	7	14
1	8	16
1	9	18
1	10	20
1	11	22
1	12	24
1	13	26
1	14	28
1	15	30
1	16	32
1	17	34
1	18	36
1	19	38
1	20	40
1	21	42
1	22	44
1	23	46
1	24	48
1	25	50
1	26	52
1	27	54
1	28	56
1	29	58
1	30	60
1	31	62
1	32	64
1	33	66
1	34	68
1	35	70
1	36	72
1	37	74
1	38	76
1	39	78
1	40	80
1	41	82
1	42	84
1	43	86
1	44	88
1	45	90
1	46	92
1	47	94
1	48	96
1	49	98
1	50	100
1	51	102
1	52	104
1	53	106
1	54	108
1	55	110
1	56	112
1	57	114
1	58	116
1	59	118
1	60	120
1	61	122
1	62	124
1	63	126
1	64	128
1	65	130
1	66	132
1	67	134
1	68	136
1	69	138
1	70	140
1	71	142
1	72	144
1	73	146
1	74	148
1	75	150
1	76	152
1	77	154
1	78	156
1	79	158
1	80	160
1	81	162
1	82	164
1	83	166
1	84	168
1	85	170
1	86	172
1	87	174
1	88	176
1	89	178
1	90	180
1	91	182
1	92	184
1	93	186
1	94	188
1	95	190
1	96	192
1	97	194
1	98	196
1	99	198
1	100	200
2	1	2
2	2	4
2	3	6
2	4	8
2	5	10
2	6	12
2	7	14
2	8	16
2	9	18
2	10	20
2	11	22
2	12	24
2	13	26
2	14	28
2	15	30
2	16	32
2	17	34
2	18	36
2	19	38
2	20	40
2	21	42
2	22	44
2	23	46
2	24	48
2	25	50
2	26	52
2	27	54
2	28	56
2	29	58
2	30	60
2	31	62
2	32	64
2	33	66
2	34	68
2	35	70
2	36	72
2	37	74
2	38	76
2	39	78
2	40	80
2	41	82
2	42	84
2	43	86
2	44	88
2	45	90
2	46	92
2	47	94
2	48	96
2	49	98
2	50	100
2	51	102
2	52	104
2	53	106
2	54	108
2	55	110
2	56	112
2	57	114
2	58	116
2	59	118
2	60	120
2	61	122
2	62	124
2	63	126
2	64	128
2	65	130
2	66	132
2	67	134
2	68	136
2	69	138
2	70	140
2	71	142
2	72	144
2	73	146
2	74	148
2	75	150
2	76	152
2	77	154
2	78	156
2	79	158
2	80	160
2	81	162
2	82	164
2	83	166
2	84	168
2	85	170
2	86	172
2	87	174
2	88	176
2	89	178
2	90	180
2	91	182
2	92	184
2	93	186
2	94	188
2	95	190
2	96	192
2	97	194
2	98	196
2	99	198
2	100	200
3	1	2
3	2	4
3	3	6
3	4	8
3	5	10
3	6	12
3	7	14
3	8	16
3	9	18
3	10	20
3	11	22
3	12	24
3	13	26
3	14	28
3	15	30
3	16	32
3	17	34
3	18	36
3	19	38
3	20	40
3	21	42
3	22	44
3	23	46
3	24	48
3	25	50
3	26	52
3	27	54
3	28	56
3	29	58
3	30	60
3	31	62
3	32	64
3	33	66
3	34	68
3	35	70
3	36	72
3	37	74
3	38	76
3	39	78
3	40	80
3	41	82
3	42	84
3	43	86
3	44	88
3	45	90
3	46	92
3	47	94
3	48	96
3	49	98
3	50	100
3	51	102
3	52	104
3	53	106
3	54	108
3	55	110
3	56	112
3	57	114
3	58	116
3	59	118
3	60	120
3	61	122
3	62	124
3	63	126
3	64	128
3	65	130
3	66	132
3	67	134
3	68	136
3	69	138
3	70	140
3	71	142
3	72	144
3	73	146
3	74	148
3	75	150
3	76	152
3	77	154
3	78	156
3	79	158
3	80	160
3	81	162
3	82	164
3	83	166
3	84	168
3	85	170
3	86	172
3	87	174
3	88	176
3	89	178
3	90	180
3	91	182
3	92	184
3	93	186
3	94	188
3	95	190
3	96	192
3	97	194
3	98	196
3	99	198
3	100	200
4	1	2
4	2	4
4	3	6
4	4	8
4	5	10
4	6	12
4	7	14
4	8	16
4	9	18
4	10	20
4	11	22
4	12	24
4	13	26
4	14	28
4	15	30
4	16	32
4	17	34
4	18	36
4	19	38
4	20	40
4	21	42
4	22	44
4	23	46
4	24	48
4	25	50
4	26	52
4	27	54
4	28	56
4	29	58
4	30	60
4	31	62
4	32	64
4	33	66
4	34	68
4	35	70
4	36	72
4	37	74
4	38	76
4	39	78
4	40	80
4	41	82
4	42	84
4	43	86
4	44	88
4	45	90
4	46	92
4	47	94
4	48	96
4	49	98
4	50	100
4	51	102
4	52	104
4	53	106
4	54	108
4	55	110
4	56	112
4	57	114
4	58	116
4	59	118
4	60	120
4	61	122
4	62	124
4	63	126
4	64	128
4	65	130
4	66	132
4	67	134
4	68	136
4	69	138
4	70	140
4	71	142
4	72	144
4	73	146
4	74	148
4	75	150
4	76	152
4	77	154
4	78	156
4	79	158
4	80	160
4	81	162
4	82	164
4	83	166
4	84	168
4	85	170
4	86	172
4	87	174
4	88	176
4	89	178
4	90	180
4	91	182
4	92	184
4	93	186
4	94	188
4	95	190
4	96	192
4	97	194
4	98	196
4	99	198
4	100	200
5	1	2
5	2	4
5	3	6
5	4	8
5	5	10
5	6	12
